지역명,측정소명,측정소 주소,운영기관,설치년도
충북,송정동(봉명동),충북 청주시 흥덕구 직지대로 393(송정동) 충북문화재연구원 옥상,충청북도보건환경연구원,1989
충북,영동읍,충청북도 영동군 영동읍 계산로2길 25 레인보우도서관 옥상,충청북도보건환경연구원,2018
충북,영천동,충청북도 제천시 청풍호로8길 7 비점오염원 관리시설 뒤편 공터 (영천동),충청북도보건환경연구원,
충북,오송읍,충청북도 청주시 흥덕구 오송읍 오송생명로 150 오송읍 사무소 별관 지상,충청북도보건환경연구원,2018
충북,오창읍,충청북도 청주시 청원구 오창읍 오창대로 197 오창중앙공원내,충청북도보건환경연구원,2010
충북,옥천읍,충북 옥천군 옥천읍 중앙로 99(옥천군청 통합관제 센터 옥상) 옥천군청 통합관제 센터 옥상,충청북도보건환경연구원,2017
충북,용담동,충북 청주시 상당구 교동로139번길 20 라일락소공원 지상 (용담동),충청북도보건환경연구원,2002
충북,용암동,"충북 청주시 상당구 용암동 1590(중흥로 29), 용암1동 주민센터 3층 옥상 용암1동 주민센터 옥상",충청북도보건환경연구원,2004
충북,음성읍,충청북도 음성군 음성읍 중앙로 49 읍성보건소 옥상,충청북도보건환경연구원,2018
충북,장락동,"충북 제천시 장락동 672-8(내제로 318),(시립도서관 주차장 옆, 화단) 의병도서관 지상",충청북도보건환경연구원,1991
충북,중앙탑면,충청북도 충주시 중앙탑면 기업도시로 237 서충주 국공립어린이집 측면부지,충청북도보건환경연구원,
충북,증평읍,충청북도 증평군 증평읍 남하용강로 16 증평자전거공원 내 부지,충청북도보건환경연구원,2021
충북,진천읍,충북 진천군 진천읍 상산로 65 읍내리 370-1 진천읍사무소 옥상,충청북도보건환경연구원,2016
충북,청풍면,충청북도 제천시 청풍면 청풍호로 2115 청풍면행정복지센터 옆쪽 공터,충청북도보건환경연구원,
충북,칠금동,충북 충주시 칠금동 874번지(칠금동 주민센터 옥상)(칠금 중랑로 37) 칠금금릉동 주민센터 옥상,충청북도보건환경연구원,2006
충북,호암동,충북 충주시 호암동 562(충주시 청소년수련원 옥상)(중원대로 3324) 청소년수련원 옥상,충청북도보건환경연구원,1988
충북,황간면,충청북도 영동군 황간면 남성리 185 황간근린공원,충청북도보건환경연구원,2021
세종,부강면,세종특별자치시 부강면 부강외천로 20 문화복지회관 옥상,세종특별자치시보건환경연구원,2018
세종,신흥동,세종 조치원읍 군청로 87-16(신흥동) 세종특별자치시 조치원청사 옥상,세종특별자치시보건환경연구원,2015
세종,아름동,세종특별자치시 보듬3로 114 아름동커뮤니티센터 옥상 (아름동),세종특별자치시보건환경연구원,2014
세종,전의면,세종특별자치시 전의면 운주산로 1270 행정복지센터 지상,세종특별자치시보건환경연구원,2022
세종,한솔동,"세종특별자치시 누리로 27 첫마을 6단지 관리사무소 옥상 (한솔동, 첫마을6단지)",세종특별자치시보건환경연구원,2018
부산,개금동,부산광역시 부산진구 개금온정로17번길 51 개금3동 어린이놀이터 지상 (개금동),부산광역시보건환경연구원,2019
부산,광복동,부산 중구 광복로 55번길 10 광복동주민센터 옥상,부산광역시보건환경연구원,1985
