지역명,측정소명,측정소 주소,운영기관,설치년도
경기,가남읍,경기도 여주시 가남읍 태평중앙1길 20 가남읍행정복지센터 옥상,경기도보건환경연구원,2020
경기,가평,경기도 가평군 가평읍 석봉로 181 가평군청 의회동,경기도보건환경연구원,2010
경기,경안동,경기 광주시 중앙로 128 농협중앙회,경기도보건환경연구원,2006
경기,고덕동,경기도 평택시 고덕면 고덕국제2로 111 종덕초등학교 2층 옥상,경기도보건환경연구원,2020
경기,고색동,경기 수원시 권선구 서부로 1600 수원시도로교통관리사업소,경기도보건환경연구원,2006
경기,고읍,경기 양주시 고읍남로 205 청소년문화의 집,경기도보건환경연구원,2017
경기,고잔동,경기 안산시 단원구 화랑로 387 안산시청,경기도보건환경연구원,1987
경기,고천동,경기 의왕시 시청로 11 의왕시청 민원실,경기도보건환경연구원,1995
경기,고촌읍,경기 김포시 고촌읍 신곡로 152 김포시상하수도사업소,경기도보건환경연구원,2001
경기,곤지암,경기도 광주시 곤지암읍 광여로 59 곤지암읍 행정복지센터 옥상,경기도보건환경연구원,2020
경기,공도읍,경기도 안성시 공도읍 공도4로 8 공도읍행정복지센터 옥상,경기도보건환경연구원,2019
경기,과천동,경기 과천시 상하벌로 17 과천시 환경사업소,경기도보건환경연구원,2000
경기,광교동,경기도 수원시 영통구 광교중앙로 216 광교중앙공원 관리동 옥상 (하동),경기도보건환경연구원,1992
경기,교문동,경기 구리시 아차산로 439 구리시청 구리시의회,경기도보건환경연구원,1987
경기,금곡동,경기 남양주시 경춘로 1037 남양주시청 신관,경기도보건환경연구원,1999
경기,금촌동,경기 파주시 후곡로 13 교육문화회관 별관,경기도보건환경연구원,2004
경기,기흥,경기 용인시 기흥구 관곡로 95 기흥구청,경기도보건환경연구원,2007
경기,김량장동,경기 용인시 처인구 금령로 50 처인구청,경기도보건환경연구원,1999
경기,남양읍,경기 화성시 남양읍 남양성지로 192-5 남양읍행정복지센터,경기도보건환경연구원,2003
경기,내동,경기 부천시 삼작로 109 신흥동주민센터 앞 도로변,경기도보건환경연구원,1986
경기,단대동,경기 성남시 수정구 희망로 506번길 21 단대동행정복지센터,경기도보건환경연구원,1993
경기,당동,경기 군포시 산본로197번길 36 당동도서관,경기도보건환경연구원,1997
경기,대부동,경기 안산시 단원구 대부중앙로 97-9 대부동 행정복지센터,경기도보건환경연구원,2001
경기,대신면,경기도 여주시 대신면 율촌1길 12-10 대신도서관 옥상,경기도보건환경연구원,2019
경기,대야동,경기 시흥시 복지로 37 다다커뮤니티센터,경기도보건환경연구원,2002
경기,동구동,경기 구리시 동구릉로 217-14 시립동구어린이집,경기도보건환경연구원,2001
경기,동탄,경기 화성시 동탄반석로 87 동탄2동 행정복지센터,경기도보건환경연구원,2008
경기,모현읍,경기도 용인시 처인구 모현읍 독점로 31-6 모현읍주민자치센터,경기도보건환경연구원,2019
경기,목감동,경기도 시흥시 솔고개길 33 목감공원 지상 (목감동),경기도보건환경연구원,2019
경기,미사,경기도 하남시 아리수로 531 미사2동 행정복지센터 (망월동),경기도보건환경연구원,2020
경기,배곧동,경기도 시흥시 배곧4로 102 배곧도서관 옥상 (배곧동),경기도보건환경연구원,2021
경기,백석읍,경기 양주시 백석읍 꿈나무로 199 꿈나무도서관,경기도보건환경연구원,2005
경기,백암면,경기도 용인시 처인구 백암면 백암로185번길 8-11 백암면주민자치센터,경기도보건환경연구원,2019
경기,별내동,경기도 남양주시 별내중앙로 148 화접초등학교 (별내동),경기도보건환경연구원,2018
경기,별양동,경기 과천시 코오롱로 53 문원초등학교,경기도보건환경연구원,1991
경기,보산동,경기 동두천시 싸리말로 28 보산동행정복지센터,경기도보건환경연구원,2006
경기,복정동,경기 성남시 수정구 성남대로 1416번길 22 복정정수장,경기도보건환경연구원,2005
경기,본오동,경기도 안산시 상록구 오목로7길 15 본오1동 작은도서관 (본오동),경기도보건환경연구원,1998
경기,봉담읍,경기도 화성시 봉담읍 샘마을1길 8-4 화성시립봉담도서관 옥상,경기도보건환경연구원,2020
경기,봉산동,경기 안성시 시청길 25 안성시청 식당동,경기도보건환경연구원,2007
경기,부곡3동,경기도 의왕시 덕영대로 166 부곡청소년문화의 집 (삼동),경기도보건환경연구원,2002
경기,부곡동1,경기 안산시 상록구 성호로 326 부곡동 행정복지센터,경기도보건환경연구원,2001
경기,부림동,경기 안양시 동안구 시민대로 235 안양시청 민원실,경기도보건환경연구원,1998
경기,부발읍,경기도 이천시 부발읍 무촌로 117 부발보건지소 옥상,경기도보건환경연구원,2019
경기,비전동,경기 평택시 중앙로 275 자원봉사센터,경기도보건환경연구원,1996
경기,사우동,경기 김포시 돌문로 51 사우동행정복지센터,경기도보건환경연구원,1999
경기,산본동,경기 군포시 청백리길 6 군포시청 별관,경기도보건환경연구원,2002
경기,상대원동,경기 성남시 중원구 둔촌대로 425 상대원1동행정복지센터,경기도보건환경연구원,2008
경기,새솔동,경기도 화성시 수노을중앙로 178 새솔동 행정복지센터 (새솔동),경기도보건환경연구원,2020
경기,서신면,경기도 화성시 서신면 궁평항로 1702 서신면사무소 옥상,경기도보건환경연구원,2020
경기,선단동,경기 포천시 삼육사로 2186번길 11-15 선단보건지소,경기도보건환경연구원,2004
경기,설악면,경기도 가평군 설악면 한서로 8 설악면 문화센터 옥상,경기도보건환경연구원,2020
경기,소사본동,경기 부천시 경인옛로 73 소사어울마당 소향관,한국환경공단 수도권동부환경본부,1986
경기,소하동,경기 광명시 소하일로 7 소하도서관,경기도보건환경연구원,1998
경기,송북동,경기도 평택시 지산2로 113 송북동행정복지센터 (지산동),경기도보건환경연구원,2018
경기,송산3동,경기도 의정부시 민락로243번길 94 푸른마당 근린공원 인근 연결녹지(송양유치원과 민락천 사이) (민락동),경기도보건환경연구원,2020
경기,수내동,경기 성남시 분당구 분당로 50 분당구청,경기도보건환경연구원,2003
경기,수지,경기 용인시 수지구 수지로 342번길3 풍덕천1동주민자치센터,경기도보건환경연구원,2005
경기,시화산단,경기 시흥시 공단1대로 204 시화유통상가 27동,경기도보건환경연구원,1998
경기,식사동,경기 고양시 일산동구 위시티로 151 양일초등학교,경기도보건환경연구원,2002
경기,신원동,경기 고양시 덕양구 신원2로 24 신원도서관,경기도보건환경연구원,2015
경기,신장동,경기 하남시 대청로 10 하남시청 종합민원실,경기도보건환경연구원,2001
