날짜,이름,측정망 정보,아황산가스 농도,일산화탄소 농도,오존 농도,이산화질소 농도,미세먼지(PM10) 농도,초미세먼지(PM2.5) 농도
2023-11-27 15:00,가남읍,도시대기,0.003,0.4,0.006,0.024,31,27
2023-11-27 15:00,가평,도시대기,0.002,0.5,0.006,0.022,21,15
2023-11-27 15:00,경안동,도시대기,0.002,0.5,0.005,0.033,33,23
2023-11-27 15:00,고덕동,도시대기,0.004,0.4,0.011,0.032,37,20
2023-11-27 15:00,고색동,도시대기,0.002,0.6,0.008,0.034,31,22
2023-11-27 15:00,고읍,도시대기,0.002,0.4,0.017,0.034,23,20
2023-11-27 15:00,고잔동,도시대기,-,-,-,-,-,-
2023-11-27 15:00,고천동,도시대기,0.001,0.4,0.007,0.038,26,17
2023-11-27 15:00,고촌읍,도시대기,0.003,0.4,0.021,0.014,35,27
2023-11-27 15:00,곤지암,도시대기,0.002,0.6,0.010,0.025,31,23
2023-11-27 15:00,공도읍,도시대기,0.003,0.6,0.016,0.022,30,22
2023-11-27 15:00,과천동,도시대기,0.002,0.5,0.015,0.028,21,17
2023-11-27 15:00,광교동,도시대기,0.002,0.4,0.013,0.031,31,29
2023-11-27 15:00,교문동,도시대기,0.002,0.5,0.005,0.036,28,20
2023-11-27 15:00,금곡동,도시대기,0.003,0.4,0.011,0.024,20,19
2023-11-27 15:00,금촌동,도시대기,0.003,0.5,0.021,0.023,30,29
2023-11-27 15:00,기흥,도시대기,0.002,0.5,0.012,0.029,26,14
2023-11-27 15:00,김량장동,도시대기,0.002,0.6,0.002,0.035,35,23
2023-11-27 15:00,남양읍,도시대기,0.003,0.3,0.012,0.020,37,28
2023-11-27 15:00,내동,도시대기,0.001,0.6,0.016,0.032,43,24
2023-11-27 15:00,단대동,도시대기,0.002,0.4,0.008,0.032,15,-
2023-11-27 15:00,당동,도시대기,0.003,0.5,0.015,0.030,41,30
2023-11-27 15:00,대부동,도시대기,0.003,0.4,0.029,0.013,23,15
2023-11-27 15:00,대신면,도시대기,0.003,0.4,0.014,0.013,21,-
2023-11-27 15:00,대야동,도시대기,0.004,0.7,0.016,0.032,30,27
2023-11-27 15:00,동구동,도시대기,0.004,0.4,0.003,0.037,28,20
2023-11-27 15:00,동탄,도시대기,0.003,0.3,0.010,0.020,28,18
2023-11-27 15:00,모현읍,도시대기,0.001,0.6,0.007,0.029,48,27
2023-11-27 15:00,목감동,도시대기,-,-,-,-,-,-
2023-11-27 15:00,미사,도시대기,0.002,0.4,0.006,0.028,20,13
2023-11-27 15:00,배곧동,도시대기,0.003,0.4,0.018,0.024,37,26
2023-11-27 15:00,백석읍,도시대기,0.003,0.5,0.019,0.019,28,17
2023-11-27 15:00,백암면,도시대기,0.001,0.5,0.005,0.023,37,-
2023-11-27 15:00,별내동,도시대기,0.002,0.3,0.004,0.035,22,21
2023-11-27 15:00,별양동,도시대기,0.002,0.6,0.006,0.039,30,18
2023-11-27 15:00,보산동,도시대기,0.002,0.5,0.008,0.034,28,15
2023-11-27 15:00,복정동,도시대기,0.002,0.6,0.011,0.030,14,-
2023-11-27 15:00,본오동,도시대기,0.002,0.5,0.015,0.026,32,17
2023-11-27 15:00,봉담읍,도시대기,0.004,0.4,0.012,0.027,30,27
2023-11-27 15:00,봉산동,도시대기,-,0.7,0.011,0.029,29,20
2023-11-27 15:00,부곡3동,도시대기,0.001,0.2,0.012,0.034,18,17
2023-11-27 15:00,부곡동1,도시대기,-,-,-,-,-,-
2023-11-27 15:00,부림동,도시대기,0.003,0.4,0.008,0.036,44,25
2023-11-27 15:00,부발읍,도시대기,0.003,0.4,0.005,0.027,34,31
2023-11-27 15:00,비전동,도시대기,0.005,0.4,0.017,0.021,28,-
2023-11-27 15:00,사우동,도시대기,0.004,0.3,0.024,0.021,31,22
2023-11-27 15:00,산본동,도시대기,0.002,0.4,0.018,0.021,31,18
2023-11-27 15:00,상대원동,도시대기,0.002,0.6,0.008,0.038,23,20
2023-11-27 15:00,새솔동,도시대기,0.002,0.5,0.020,0.022,26,19
2023-11-27 15:00,서신면,도시대기,0.003,0.4,0.019,0.021,26,20
2023-11-27 15:00,선단동,도시대기,-,-,-,-,-,-
2023-11-27 15:00,설악면,도시대기,0.002,0.4,0.013,0.015,26,22
2023-11-27 15:00,소사본동,도시대기,0.002,0.6,0.019,0.026,50,30
2023-11-27 15:00,소하동,도시대기,0.002,0.5,0.017,0.028,34,24
2023-11-27 15:00,송북동,도시대기,0.004,0.4,0.013,0.029,30,17
2023-11-27 15:00,송산3동,도시대기,0.002,0.4,0.010,0.034,18,13
2023-11-27 15:00,수내동,도시대기,0.002,0.5,0.009,0.033,18,17
2023-11-27 15:00,수지,도시대기,0.001,0.5,0.011,0.030,30,23
2023-11-27 15:00,시화산단,도시대기,0.004,0.7,0.016,0.016,35,24
2023-11-27 15:00,식사동,도시대기,0.005,0.6,0.014,0.033,34,24
2023-11-27 15:00,신원동,도시대기,0.003,0.5,0.012,0.022,39,22
2023-11-27 15:00,신장동,도시대기,0.002,0.3,0.009,0.026,16,12
2023-11-27 15:00,신풍동,도시대기,-,-,-,-,-,-
2023-11-27 15:00,안양2동,도시대기,0.002,0.7,0.012,0.035,32,19
2023-11-27 15:00,안양8동,도시대기,0.002,0.4,0.015,0.026,31,27
2023-11-27 15:00,안중,도시대기,0.003,0.4,0.014,0.027,31,26
2023-11-27 15:00,양평읍,도시대기,0.002,0.5,0.014,0.021,35,23
2023-11-27 15:00,연천,도시대기,-,-,-,-,-,-
2023-11-27 15:00,영통동,도시대기,0.002,0.5,0.009,0.030,25,24
2023-11-27 15:00,오남읍,도시대기,0.002,0.4,0.012,0.028,34,21
2023-11-27 15:00,오포1동,도시대기,0.003,0.6,0.006,0.033,37,20
2023-11-27 15:00,용문면,도시대기,0.003,0.4,0.014,0.015,23,17
2023-11-27 15:00,우정읍,도시대기,0.004,0.4,0.013,0.024,27,25
2023-11-27 15:00,운중동,도시대기,-,-,-,-,-,-
2023-11-27 15:00,원곡동,도시대기,0.003,0.3,0.017,0.025,41,26
2023-11-27 15:00,원시동,도시대기,0.005,0.4,0.016,0.025,39,25
2023-11-27 15:00,월곶면,도시대기,0.003,0.5,0.030,0.009,31,25
2023-11-27 15:00,의정부1동,도시대기,0.003,0.5,0.007,0.036,32,23
2023-11-27 15:00,의정부동,도시대기,0.004,0.4,0.008,0.038,30,22
2023-11-27 15:00,이동읍,도시대기,0.001,0.5,0.014,0.023,24,16
2023-11-27 15:00,인계동,도시대기,0.002,0.5,0.010,0.033,31,22
2023-11-27 15:00,일동면,도시대기,0.002,0.4,0.020,0.017,18,14
2023-11-27 15:00,장현동,도시대기,0.004,0.4,0.020,0.025,35,26
2023-11-27 15:00,장호원읍,도시대기,0.003,0.3,0.010,0.021,20,17
2023-11-27 15:00,전곡,도시대기,0.002,0.3,0.007,0.018,29,28
2023-11-27 15:00,정왕동,도시대기,0.003,0.3,0.019,0.022,30,24
2023-11-27 15:00,정자동,도시대기,0.002,0.6,0.010,0.033,25,20
2023-11-27 15:00,주엽동,도시대기,0.003,0.5,0.009,0.031,35,16
2023-11-27 15:00,죽산면,도시대기,0.001,0.5,0.015,0.020,32,24
2023-11-27 15:00,중2동,도시대기,0.002,0.7,0.020,0.026,44,30
2023-11-27 15:00,중앙동(경기),도시대기,0.002,0.3,0.008,0.020,16,-
2023-11-27 15:00,진접읍,도시대기,0.002,0.4,0.010,0.035,22,13
2023-11-27 15:00,창전동,도시대기,0.003,0.4,0.008,0.022,26,15
2023-11-27 15:00,천천동,도시대기,0.002,0.5,0.011,0.035,24,11
2023-11-27 15:00,철산동,도시대기,0.002,0.6,0.016,0.029,30,28
2023-11-27 15:00,청계동,도시대기,0.003,0.4,0.009,0.026,26,17
2023-11-27 15:00,청북읍,도시대기,0.004,0.4,0.013,0.029,32,19
2023-11-27 15:00,파주읍,도시대기,0.002,0.6,0.019,0.023,29,21
2023-11-27 15:00,평택항,도시대기,0.003,0.5,0.012,0.033,62,32
2023-11-27 15:00,한강신도시,도시대기,0.004,0.4,0.031,0.017,37,36
2023-11-27 15:00,행신동,도시대기,0.004,0.5,0.010,0.030,36,26
2023-11-27 15:00,향남읍,도시대기,0.004,0.4,0.011,0.027,34,26
2023-11-27 15:00,호계동,도시대기,0.004,0.5,0.011,0.033,40,25
2023-11-27 15:00,호매실,도시대기,0.002,0.4,0.012,0.027,17,12
2023-11-27 15:00,호수동,도시대기,0.003,0.3,0.013,0.028,22,12
2023-11-27 16:00,고잔,도시대기,0.005,0.6,0.026,0.025,43,26
