날짜,이름,측정망 정보,아황산가스 농도,일산화탄소 농도,오존 농도,이산화질소 농도,미세먼지(PM10) 농도,초미세먼지(PM2.5) 농도
2023-12-11 09:00,종로구,도시대기,0.003,0.4,0.022,0.019,3,2
2023-12-11 09:00,중구,도시대기,0.003,0.4,0.016,0.025,3,1
2023-12-11 09:00,용산구,도시대기,0.002,0.3,0.023,0.017,3,1
2023-12-11 09:00,성동구,도시대기,0.003,0.3,0.023,0.019,6,2
2023-12-11 09:00,광진구,도시대기,0.003,0.6,0.026,0.016,4,1
2023-12-11 09:00,동대문구,도시대기,0.003,0.4,0.018,0.022,4,1
2023-12-11 09:00,중랑구,도시대기,0.002,0.3,0.025,0.011,4,1
2023-12-11 09:00,성북구,도시대기,0.002,0.5,0.014,0.022,4,-
2023-12-11 09:00,강북구,도시대기,0.002,0.4,0.023,0.011,3,1
2023-12-11 09:00,도봉구,도시대기,0.002,0.6,0.023,0.016,3,1
2023-12-11 09:00,노원구,도시대기,0.002,0.4,0.020,0.018,3,1
2023-12-11 09:00,은평구,도시대기,0.002,0.6,0.023,0.010,3,1
2023-12-11 09:00,서대문구,도시대기,0.003,0.5,0.029,0.011,4,1
2023-12-11 09:00,마포구,도시대기,0.003,0.4,0.019,0.021,9,1
2023-12-11 09:00,양천구,도시대기,0.002,0.5,0.012,0.030,8,1
2023-12-11 09:00,강서구,도시대기,0.002,0.5,0.017,0.023,4,1
2023-12-11 09:00,구로구,도시대기,0.002,0.4,0.018,0.014,3,1
2023-12-11 09:00,금천구,도시대기,0.002,0.4,0.022,0.017,4,1
2023-12-11 09:00,영등포구,도시대기,0.002,0.4,0.019,0.022,4,1
2023-12-11 09:00,동작구,도시대기,0.002,0.3,0.020,0.020,3,2
2023-12-11 09:00,관악구,도시대기,0.002,0.4,0.020,0.019,7,2
2023-12-11 09:00,서초구,도시대기,0.003,0.3,0.015,0.019,4,-
2023-12-11 09:00,강남구,도시대기,0.003,0.3,0.025,0.015,5,1
2023-12-11 09:00,송파구,도시대기,0.002,0.4,0.017,0.024,5,2
2023-12-11 09:00,강동구,도시대기,0.002,0.7,0.020,0.019,3,-
2023-12-11 09:00,광복동,도시대기,0.002,0.3,0.032,0.016,44,15
2023-12-11 09:00,대신동,도시대기,0.002,0.3,0.041,0.008,45,13
2023-12-11 09:00,수정동,도시대기,0.002,0.3,0.043,0.009,43,18
2023-12-11 09:00,청학동,도시대기,0.002,0.2,0.040,0.009,47,14
2023-12-11 09:00,개금동,도시대기,0.004,0.4,0.025,0.021,54,14
2023-12-11 09:00,명장동,도시대기,-,-,0.035,0.009,31,15
2023-12-11 09:00,대연동,도시대기,0.002,0.4,0.040,0.008,47,21
2023-12-11 09:00,덕천동,도시대기,0.002,0.3,0.037,0.011,30,17
2023-12-11 09:00,재송동,도시대기,0.004,0.3,0.037,0.009,33,18
2023-12-11 09:00,당리동,도시대기,0.003,0.6,0.033,0.015,45,16
2023-12-11 09:00,부곡동,도시대기,0.003,0.6,0.022,0.022,30,14
2023-12-11 09:00,대저동,도시대기,0.002,0.4,0.015,0.029,42,27
2023-12-11 09:00,연산동,도시대기,0.003,0.3,0.032,0.009,30,10
2023-12-11 09:00,광안동,도시대기,-,-,0.043,0.005,38,15
2023-12-11 09:00,덕포동,도시대기,0.005,0.3,0.039,0.013,35,16
2023-12-11 09:00,기장읍,도시대기,0.003,0.2,0.042,0.003,38,15
2023-12-11 09:00,남산1동,도시대기,0.002,0.8,0.001,0.042,56,36
2023-12-11 09:00,서호동,도시대기,0.002,0.5,0.028,0.011,7,-
2023-12-11 09:00,내당동,도시대기,0.002,0.8,0.001,0.044,45,27
2023-12-11 09:00,대명동,도시대기,0.002,0.8,0.002,0.040,39,21
2023-12-11 09:00,산격동,도시대기,0.002,0.8,0.002,0.035,47,31
2023-12-11 09:00,만촌동,도시대기,0.002,0.5,0.030,0.014,18,10
2023-12-11 09:00,본동,도시대기,0.002,1.0,0.007,0.040,48,28
2023-12-11 09:00,다사읍,도시대기,0.002,0.3,0.004,0.030,53,33
2023-12-11 09:00,신흥,도시대기,0.003,0.4,0.008,0.033,15,4
2023-12-11 09:00,송림,도시대기,0.004,0.5,0.007,0.034,17,4
2023-12-11 09:00,숭의,도시대기,0.003,0.5,0.006,0.030,10,5
2023-12-11 09:00,동춘,도시대기,0.002,0.4,0.014,0.026,4,2
2023-12-11 09:00,고잔,도시대기,0.003,0.4,0.016,0.028,7,5
2023-12-11 09:00,부평,도시대기,0.002,0.6,0.003,0.032,10,4
2023-12-11 09:00,계산,도시대기,0.002,0.3,0.014,0.018,9,6
2023-12-11 09:00,검단,도시대기,0.003,0.4,0.012,0.019,6,5
2023-12-11 09:00,길상,도시대기,0.003,0.4,0.026,0.004,3,1
2023-12-11 09:00,영흥,도시대기,0.004,0.3,0.020,0.021,7,5
2023-12-11 09:00,서석동,도시대기,0.002,0.7,0.008,0.039,31,19
2023-12-11 09:00,농성동,도시대기,0.003,0.5,0.035,0.017,38,25
2023-12-11 09:00,노대동,도시대기,0.002,0.1,0.034,0.017,30,16
2023-12-11 09:00,건국동,도시대기,0.002,0.4,0.033,0.014,35,21
2023-12-11 09:00,오선동,도시대기,0.003,0.6,0.030,0.018,33,23
2023-12-11 09:00,대성동,도시대기,0.002,0.4,0.032,0.014,28,12
2023-12-11 09:00,문창동,도시대기,0.002,0.3,0.035,0.014,27,9
2023-12-11 09:00,둔산동,도시대기,0.002,0.5,0.027,0.022,63,24
2023-12-11 09:00,관평동,도시대기,0.002,0.5,0.035,0.012,27,14
2023-12-11 09:00,문평동,도시대기,0.001,0.4,0.032,0.014,19,8
2023-12-11 09:00,성남동,도시대기,0.002,0.5,0.033,0.011,46,12
2023-12-11 09:00,무거동,도시대기,0.002,0.4,0.027,0.024,52,13
2023-12-11 09:00,대송동,도시대기,0.002,0.4,0.039,0.009,53,18
2023-12-11 09:00,농소동,도시대기,0.003,0.3,0.043,0.005,34,20
2023-12-11 09:00,덕신리,도시대기,0.011,0.4,0.035,0.011,-,21
2023-12-11 09:00,부강면,도시대기,0.003,0.3,0.030,0.018,24,7
,,,,,,,,
2023-12-11 09:00,고색동,도시대기,0.001,0.4,0.012,0.024,5,2
2023-12-11 09:00,신풍동,도시대기,0.002,0.4,0.017,0.021,3,3
2023-12-11 09:00,광교동,도시대기,0.002,0.3,0.022,0.017,7,0
2023-12-11 09:00,단대동,도시대기,0.001,0.3,0.028,0.009,3,3
2023-12-11 08:00,상대원동,도시대기,0.002,0.5,0.029,0.011,2,0
2023-12-11 09:00,수내동,도시대기,0.001,0.3,0.019,0.020,4,1
2023-12-11 09:00,송산3동,도시대기,0.003,0.2,0.011,0.029,5,-
2023-12-11 09:00,안양2동,도시대기,0.002,0.6,0.018,0.018,6,2
2023-12-11 09:00,부림동,도시대기,0.003,0.3,0.015,0.018,12,0
2023-12-11 09:00,내동,도시대기,0.002,0.5,0.003,0.059,35,27
2023-12-11 09:00,소하동,도시대기,0.001,0.6,0.021,0.017,4,1
2023-12-11 09:00,고덕동,도시대기,0.004,0.3,0.023,0.015,8,0
2023-12-11 09:00,보산동,도시대기,0.002,0.4,0.025,0.010,3,0
2023-12-11 09:00,본오동,도시대기,0.001,0.3,0.017,0.022,6,0
2023-12-11 09:00,고잔동,도시대기,0.002,0.3,0.017,0.021,1,0
2023-12-11 09:00,신원동,도시대기,0.005,0.3,0.030,0.012,9,3
2023-12-11 09:00,식사동,도시대기,0.004,0.3,0.013,0.027,34,6
2023-12-11 09:00,주엽동,도시대기,0.003,0.4,0.012,0.021,6,2
2023-12-11 09:00,별양동,도시대기,0.001,0.4,0.014,0.021,3,1
2023-12-11 09:00,교문동,도시대기,0.005,0.2,0.023,0.012,1,1
2023-12-11 09:00,금곡동,도시대기,0.003,0.2,0.031,0.005,2,0
2023-12-11 09:00,오산동,도시대기,0.002,0.3,0.023,0.020,2,0
2023-12-11 09:00,대야동,도시대기,0.003,0.4,0.020,0.026,4,1
2023-12-11 09:00,당동,도시대기,0.003,0.4,0.012,0.029,6,4
2023-12-11 09:00,고천동,도시대기,0.001,0.3,0.020,0.020,5,0
2023-12-11 09:00,미사,도시대기,0.002,0.3,0.032,0.007,2,1
2023-12-11 09:00,김량장동,도시대기,0.001,0.3,0.018,0.017,1,1
2023-12-11 09:00,기흥,도시대기,0.001,0.4,0.023,0.015,6,3
2023-12-11 09:00,수지,도시대기,0.001,0.4,0.014,0.023,3,2
2023-12-11 09:00,금촌동,도시대기,0.002,0.4,0.018,0.013,3,1
2023-12-11 09:00,부발읍,도시대기,0.003,0.3,0.024,0.008,6,3
2023-12-11 09:00,공도읍,도시대기,0.002,0.3,0.023,0.010,2,-
2023-12-11 09:00,고촌읍,도시대기,0.003,0.3,0.013,0.013,5,-
2023-12-11 09:00,남양읍,도시대기,0.003,0.3,0.012,0.027,9,7
2023-12-11 09:00,경안동,도시대기,0.001,0.4,0.025,0.015,4,1
2023-12-11 07:00,고읍,도시대기,0.002,0.2,0.034,0.006,2,0
2023-12-11 09:00,선단동,도시대기,0.003,0.2,0.021,0.012,3,1
2023-12-11 09:00,가남읍,도시대기,0.003,0.3,0.005,0.019,10,6
2023-12-11 09:00,연천,도시대기,0.001,0.4,0.028,0.004,1,-
2023-12-11 08:00,가평,도시대기,0.001,0.5,0.027,0.005,1,1
2023-12-11 09:00,양평읍,도시대기,0.002,0.4,0.031,0.011,4,3
2023-12-11 09:00,가덕면,도시대기,0.001,0.3,0.042,0.005,18,8
2023-12-11 09:00,산남동,도시대기,0.002,0.4,0.030,0.016,28,6
2023-12-11 09:00,송정동(봉명동),도시대기,0.001,0.5,0.035,0.013,27,12
2023-12-11 09:00,사천동,도시대기,0.001,0.5,0.032,0.013,13,12
2023-12-11 09:00,살미면,도시대기,0.002,1.0,0.030,0.009,7,2
2023-12-11 09:00,영천동,도시대기,0.002,0.5,0.020,0.020,9,0
2023-12-11 09:00,보은읍,도시대기,0.002,0.3,0.048,0.004,14,7
2023-12-11 09:00,옥천읍,도시대기,0.002,0.6,0.034,0.012,29,12
2023-12-11 09:00,영동읍,도시대기,0.002,0.4,0.038,0.007,47,24
2023-12-11 09:00,도안면,도시대기,0.002,0.3,0.036,0.010,22,20
2023-12-11 09:00,덕산읍,도시대기,0.002,0.3,0.028,0.012,11,8
2023-12-11 09:00,감물면,도시대기,0.003,0.3,0.038,0.005,4,4
2023-12-11 09:00,소이면,도시대기,0.002,0.5,0.035,0.009,5,5
2023-12-11 09:00,단성면,도시대기,0.004,1.0,0.009,0.019,20,8
2023-12-11 09:00,성황동,도시대기,0.003,0.5,0.023,0.025,25,8
2023-12-11 09:00,백석동,도시대기,0.004,0.4,0.012,0.030,15,11
2023-12-11 09:00,공주,도시대기,0.003,0.3,0.032,0.018,31,18
2023-12-11 09:00,대천2동,도시대기,0.004,0.4,0.037,0.008,41,16
2023-12-11 09:00,도고면,도시대기,0.004,0.4,0.019,0.020,32,20
2023-12-11 09:00,대산리,도시대기,0.002,0.4,0.021,0.015,9,1
2023-12-11 09:00,논산,도시대기,0.002,0.5,0.030,0.013,42,14
2023-12-11 09:00,엄사면,도시대기,0.003,0.5,0.038,0.012,50,15
2023-12-11 09:00,당진시청사,도시대기,0.003,0.4,0.008,0.029,20,9
2023-12-11 09:00,금산읍,도시대기,0.003,0.4,0.042,0.009,43,19
2023-12-11 09:00,부여읍,도시대기,0.002,0.6,0.030,0.015,38,23
,,,,,,,,
2023-12-11 09:00,정산면,도시대기,-,0.5,0.041,0.009,38,16
2023-12-11 09:00,내포,도시대기,0.002,0.4,0.024,0.012,33,12
2023-12-11 09:00,고덕면(충남),도시대기,0.003,0.4,0.017,0.015,16,14
2023-12-11 09:00,원북면,도시대기,0.002,0.5,0.019,0.015,19,8
2023-12-11 09:00,노송동,도시대기,0.003,0.5,0.003,0.029,49,16
