Unnamed: 0,지역명,측정소명,주소,위도,경도,광역시도,시군구,구읍,중복확인
0,서울,강남구,서울 강남구 학동로 426 강남구청 별관 1동,37.5179681611717,127.047059839521,서울특별시,강남구,학동로,서울 강남
1,서울,강동구,서울 강동구 구천면로 42길 59 천호1동 주민센터,37.5450208674213,127.13679935135,서울특별시,강동구,구천면로,서울 강동
2,서울,강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,37.6479342499954,127.011869707413,서울특별시,강북구,삼양로,서울 강북
3,서울,강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,37.5446697303679,126.835179100171,서울특별시,강서구,강서로,서울 강서
4,서울,관악구,서울 관악구 신림동길 14 신림동 주민센터,37.4873960036367,126.927113892829,서울특별시,관악구,신림동길,서울 관악
5,서울,광진구,서울특별시 광진구 광나루로 571 구의 아리수정수센터,37.5459473143709,127.09295071199,서울특별시,광진구,광나루로,서울 광진
6,서울,구로구,서울 구로구 가마산로 27길 45 구로고등학교,37.4988400846064,126.890309191986,서울특별시,구로구,가마산로,서울 구로
7,서울,금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,,,서울특별시,금천구,금하로21길,서울 금천
8,서울,노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),37.6574831321849,127.067864123732,서울특별시,노원구,상계로,서울 노원
9,서울,도봉구,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,37.6542176014875,127.029080065774,서울특별시,도봉구,시루봉로2길,서울 도봉
10,서울,동대문구,서울 동대문구 천호대로13길 43 용두초등학교,37.5764130924206,127.028387192811,서울특별시,동대문구,천호대로13길,서울 동대문
11,서울,동작구,서울 동작구 사당로16아길 6 사당4동 주민센터,37.4809757528847,126.971633687906,서울특별시,동작구,사당로16아길,서울 동작
12,서울,마포구,서울 마포구 포은로 6길 10 망원1동주민센터 옥상,37.5555883684512,126.905591296196,서울특별시,마포구,포은로,서울 마포
13,서울,서대문구,서울 서대문구 세검정로4길 32(홍제3동 주민센터) ,37.5937665695472,126.949691080182,서울특별시,서대문구,세검정로4길,서울 서대문
14,서울,서초구,서울 서초구 신반포로15길 16 반포 2동 주민센터,37.5045865893249,126.994471501866,서울특별시,서초구,신반포로15길,서울 서초
15,서울,성동구,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,37.5420323828235,127.049688457046,서울특별시,성동구,뚝섬로3길,서울 성동
16,서울,성북구,서울 성북구 삼양로2길 70 길음2동 주민센터,37.6068073305341,127.027279365525,서울특별시,성북구,삼양로2길,서울 성북
17,서울,송파구,서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동),37.5027249577567,127.092523102,서울특별시,송파구,백제고분로,서울 송파
18,서울,양천구,서울 양천구 중앙로52길 56 신정4동 문화센터,37.5259751797829,126.856602131412,서울특별시,양천구,중앙로52길,서울 양천
19,서울,영등포구,서울특별시 영등포구 당산로 123 영등포구청 (당산동3가),37.525963157053,126.896367130558,서울특별시,영등포구,당산로,서울 영등포
20,서울,용산구,서울 용산구 한남대로 136 서울특별시중부기술교육원,37.5404404203161,127.004301422814,서울특별시,용산구,한남대로,서울 용산
21,서울,은평구,서울 은평구 진흥로 215 (한국환경산업기술원 온실동2층 ),37.6098717913874,126.934324904596,서울특별시,은평구,진흥로,서울 은평
22,서울,종로구,"서울 종로구 종로35가길 19 종로5,6가 동 주민센터",37.5720611697886,127.005031333474,서울특별시,종로구,종로35가길,서울 종로
23,서울,중구,서울 중구 덕수궁길 15 시청서소문별관 3동,37.5645541852439,126.975613605737,서울특별시,중구,덕수궁길,서울 중구
24,서울,중랑구,서울 중랑구 용마산로 369 건강가정지원센터,37.5849127213259,127.094036329091,서울특별시,중랑구,용마산로,서울 중랑
25,경기,가남읍,경기도 여주시 가남읍 태평중앙1길 20 가남읍행정복지센터 옥상,37.2016541764562,127.544872949932,경기도,여주시,가남읍,여주
26,경기,가평,경기도 가평군 가평읍 석봉로 181 가평군청 의회동,37.8313195480319,127.509705314726,경기도,가평군,가평읍,가평
27,경기,경안동,경기 광주시 중앙로 128 농협중앙회,37.4112391198746,127.258027762826,경기도,광주시,중앙로,광주
28,경기,고덕동,경기도 평택시 고덕면 고덕국제2로 111 종덕초등학교 2층 옥상,,,경기도,평택시,고덕면,평택
29,경기,고색동,경기 수원시 권선구 서부로 1600 수원시도로교통관리사업소,37.2523881010926,126.976423917681,경기도,수원시,권선구,수원 권선
30,경기,고읍,경기 양주시 고읍남로 205 청소년문화의 집,37.7916887633938,127.084748199463,경기도,양주시,고읍남로,양주
31,경기,고잔동,경기 안산시 단원구 화랑로 387 안산시청,37.3225569017972,126.83271351583,경기도,안산시,단원구,안산 단원
32,경기,고천동,경기 의왕시 시청로 11 의왕시청 민원실,37.3454377013608,126.968239442296,경기도,의왕시,시청로,의왕
33,경기,고촌읍,경기 김포시 고촌읍 신곡로 152 김포시상하수도사업소,37.6078416102089,126.762669067783,경기도,김포시,고촌읍,김포
35,경기,공도읍,경기도 안성시 공도읍 공도4로 8 공도읍행정복지센터 옥상,37.0010180527506,127.172517131455,경기도,안성시,공도읍,안성
36,경기,과천동,경기 과천시 상하벌로 17 과천시 환경사업소,,,경기도,과천시,상하벌로,과천
37,경기,광교동,경기도 수원시 영통구 광교중앙로 216 광교중앙공원 관리동 옥상 (하동),37.2907652401614,127.064003249231,경기도,수원시,영통구,수원 영통
38,경기,교문동,경기 구리시 아차산로 439 구리시청 구리시의회,37.5943497638182,127.129640137928,경기도,구리시,아차산로,구리
39,경기,금곡동,경기 남양주시 경춘로 1037 남양주시청 신관,37.636616841679,127.217995427756,경기도,남양주시,경춘로,남양주
40,경기,금촌동,경기 파주시 후곡로 13 교육문화회관 별관,37.7563488390734,126.773911313978,경기도,파주시,후곡로,파주
41,경기,기흥,경기 용인시 기흥구 관곡로 95 기흥구청,37.2804471236926,127.114689044329,경기도,용인시,기흥구,용인 기흥
42,경기,김량장동,경기 용인시 처인구 금령로 50 처인구청,37.2343799583504,127.201337164542,경기도,용인시,처인구,용인 처인
43,경기,남양읍,경기 화성시 남양읍 남양성지로 192-5 남양읍행정복지센터,37.2117634183788,126.823770163255,경기도,화성시,남양읍,화성
44,경기,내동,경기 부천시 삼작로 109 신흥동주민센터 앞 도로변,37.5204599085828,126.77334163943,경기도,부천시,삼작로,부천
45,경기,단대동,경기 성남시 수정구 희망로 506번길 21 단대동행정복지센터,37.4496808511685,127.1556537813,경기도,성남시,수정구,성남 수정
46,경기,당동,경기 군포시 산본로197번길 36 당동도서관,37.353715480848,126.945167965447,경기도,군포시,산본로197번길,군포
49,경기,대야동,경기 시흥시 복지로 37 다다커뮤니티센터,37.4430478658519,126.788537263782,경기도,시흥시,복지로,시흥
54,경기,미사,경기도 하남시 아리수로 531 미사2동 행정복지센터 (망월동),37.5671830730789,127.186067879556,경기도,하남시,아리수로,하남
60,경기,보산동,경기 동두천시 싸리말로 28 보산동행정복지센터,37.9176426372764,127.061316992389,경기도,동두천시,싸리말로,동두천
62,경기,본오동,경기도 안산시 상록구 오목로7길 15 본오1동 작은도서관 (본오동),37.2892643238539,126.864505545253,경기도,안산시,상록구,안산 상록
67,경기,부림동,경기 안양시 동안구 시민대로 235 안양시청 민원실,37.3942980869639,126.956858356687,경기도,안양시,동안구,안양 동안
68,경기,부발읍,경기도 이천시 부발읍 무촌로 117 부발보건지소 옥상,37.2832844074694,127.486656096576,경기도,이천시,부발읍,이천
72,경기,상대원동,경기 성남시 중원구 둔촌대로 425 상대원1동행정복지센터,37.4332105671312,127.164383769366,경기도,성남시,중원구,성남 중원
75,경기,선단동,경기 포천시 삼육사로 2186번길 11-15 선단보건지소,37.8541560902089,127.159162625756,경기도,포천시,삼육사로,포천
78,경기,소하동,경기 광명시 소하일로 7 소하도서관,37.4454588390211,126.887992771261,경기도,광명시,소하일로,광명
80,경기,송산3동,경기도 의정부시 민락로243번길 94 푸른마당 근린공원 인근 연결녹지(송양유치원과 민락천 사이) (민락동),37.7476304009553,127.106836949527,경기도,의정부시,민락로243번길,의정부
81,경기,수내동,경기 성남시 분당구 분당로 50 분당구청,37.3826312209875,127.118955311185,경기도,성남시,분당구,성남 분당
82,경기,수지,경기 용인시 수지구 수지로 342번길3 풍덕천1동주민자치센터,37.3279574101003,127.095028732286,경기도,용인시,수지구,용인 수지
84,경기,식사동,경기 고양시 일산동구 위시티로 151 양일초등학교,37.6853441200697,126.813609451696,경기도,고양시,일산동구,고양 일산동
85,경기,신원동,경기 고양시 덕양구 신원2로 24 신원도서관,37.6663812292634,126.886357964454,경기도,고양시,덕양구,고양 덕양
87,경기,신풍동,경기 수원시 팔달구 신풍로 23번길 68 선경도서관,37.2838622883287,127.010432152228,경기도,수원시,팔달구,수원 팔달
88,경기,안양2동,경기 안양시 만안구 안양로 384번길 50 안양2동 행정복지센터,37.4050865997381,126.917831990321,경기도,안양시,만안구,안양 만안
91,경기,양평읍,경기도 양평군 양평읍 마유산로 17 양평군보건소 옥상,37.4970350781635,127.48668110758,경기도,양평군,양평읍,양평
92,경기,연천,경기 연천군 연천읍 차현로 58 연천군청 지역경제과,38.0964663433964,127.07627458821,경기도,연천군,연천읍,연천
95,경기,오산동,경기 오산시 경기동로 51 오산고용복지플러스센터,37.1588828017874,127.077316212246,경기도,오산시,경기동로,오산
116,경기,주엽동,경기도 고양시 일산서구 주엽로 104 주엽어린이도서관 (주엽동),37.6684631292165,126.756504603614,경기도,고양시,일산서구,고양 일산서
122,경기,천천동,경기 수원시 장안구 서부로 2066 성균관대학교 제2공학관,37.2959755681328,126.974208675283,경기도,수원시,장안구,수원 장안
135,인천,검단,인천 서구 검단로502번길 15(마전동) 검단출장소 옥상,37.6019662602512,126.661631572154,인천광역시,서구,검단로502번길,인천 서구
136,인천,계산,인천 계양구 계양산로134번길 18(계산동) 계양도서관 옥상,37.5460036103084,126.730110081149,인천광역시,계양구,계양산로134번길,인천 계양
137,인천,고잔,인천 남동구 은봉로 82 인천지방중소벤처기업청옥상,37.4096749083189,126.699284060833,인천광역시,남동구,은봉로,인천 남동
