,ID,광역시도,시군구,격자 X,격자 Y,y,x
0,서울 종로,서울특별시,종로구,60,127,4,6
1,서울 중구,서울특별시,중구,60,127,5,6
2,서울 용산,서울특별시,용산구,60,126,6,6
3,서울 성동,서울특별시,성동구,61,127,5,7
4,서울 광진,서울특별시,광진구,62,126,6,7
5,서울 동대문,서울특별시,동대문구,61,127,4,7
6,서울 중랑,서울특별시,중랑구,62,128,4,8
7,서울 성북,서울특별시,성북구,61,127,3,6
8,서울 강북,서울특별시,강북구,61,128,3,5
9,서울 도봉,서울특별시,도봉구,61,129,2,5
10,서울 노원,서울특별시,노원구,61,129,2,6
11,서울 은평,서울특별시,은평구,59,127,4,4
12,서울 서대문,서울특별시,서대문구,59,127,4,5
13,서울 마포,서울특별시,마포구,59,127,5,5
14,서울 양천,서울특별시,양천구,58,126,6,4
15,서울 강서,서울특별시,강서구,58,126,5,4
16,서울 구로,서울특별시,구로구,58,125,8,4
17,서울 금천,서울특별시,금천구,59,124,7,4
18,서울 영등포,서울특별시,영등포구,58,126,7,5
19,서울 동작,서울특별시,동작구,59,125,6,5
20,서울 관악,서울특별시,관악구,59,125,8,5
21,서울 서초,서울특별시,서초구,61,125,7,6
22,서울 강남,서울특별시,강남구,61,126,7,7
23,서울 송파,서울특별시,송파구,62,126,6,8
24,서울 강동,서울특별시,강동구,62,126,5,8
25,부산 중구,부산광역시,중구,97,74,19,10
26,부산 서구,부산광역시,서구,97,74,18,9
27,부산 동구,부산광역시,동구,98,75,18,10
28,부산 영도,부산광역시,영도구,98,74,20,10
29,부산 부산진,부산광역시,부산진구,97,75,17,10
30,부산 동래,부산광역시,동래구,98,76,17,11
31,부산 남구,부산광역시,남구,98,75,20,11
32,부산 북구,부산광역시,북구,96,76,16,10
33,부산 해운대,부산광역시,해운대구,99,75,17,12
34,부산 사하,부산광역시,사하구,96,74,19,9
35,부산 금정,부산광역시,금정구,98,77,16,11
36,부산 강서,부산광역시,강서구,96,76,18,8
37,부산 연제,부산광역시,연제구,98,76,18,11
38,부산 수영,부산광역시,수영구,99,75,19,11
39,부산 사상,부산광역시,사상구,96,75,17,9
40,부산 기장,부산광역시,기장군,100,77,16,12
41,대구 중구,대구광역시,중구,89,90,15,9
42,대구 동구,대구광역시,동구,90,91,14,10
43,대구 서구,대구광역시,서구,88,90,14,8
44,대구 남구,대구광역시,남구,89,90,15,8
45,대구 북구,대구광역시,북구,89,91,14,9
46,대구 수성,대구광역시,수성구,89,90,15,10
47,대구 달서,대구광역시,달서구,88,90,16,8
48,대구 달성,대구광역시,달성군,86,88,16,9
49,인천 중구,인천광역시,중구,54,125,9,1
50,인천 동구,인천광역시,동구,54,125,6,2
51,인천 미추홀,인천광역시,미추홀구,54,124,9,2
52,인천 연수,인천광역시,연수구,55,123,10,1
53,인천 남동,인천광역시,남동구,56,124,10,2
54,인천 부평,인천광역시,부평구,55,125,8,2
55,인천 계양,인천광역시,계양구,56,126,7,2
56,인천 서구,인천광역시,서구,55,126,6,1
57,인천 강화,인천광역시,강화군,51,130,5,1
58,인천 옹진,인천광역시,옹진군,54,124,10,0
59,광주 동구,광주광역시,동구,60,74,23,3
60,광주 서구,광주광역시,서구,59,74,22,2
61,광주 남구,광주광역시,남구,59,73,23,2
62,광주 북구,광주광역시,북구,59,75,22,3
63,광주 광산,광주광역시,광산구,57,74,21,2
64,대전 동구,대전광역시,동구,68,100,14,5
65,대전 중구,대전광역시,중구,68,100,15,5
66,대전 서구,대전광역시,서구,67,100,16,4
67,대전 유성,대전광역시,유성구,67,101,15,4
68,대전 대덕,대전광역시,대덕구,68,100,13,5
69,울산 중구,울산광역시,중구,102,84,15,11
70,울산 남구,울산광역시,남구,102,84,15,12
71,울산 동구,울산광역시,동구,104,83,14,12
72,울산 북구,울산광역시,북구,103,85,13,12
73,울산 울주,울산광역시,울주군,101,84,14,11
74,세종,세종특별자치시,세종특별자치시,66,103,13,4
75,수원 장안,경기도,수원시장안구,60,121,10,6
76,수원 권선,경기도,수원시권선구,60,120,9,6
77,수원 팔달,경기도,수원시팔달구,61,121,10,5
78,수원 영통,경기도,수원시영통구,61,120,9,7
79,성남 수정,경기도,성남시수정구,63,124,8,8
80,성남 중원,경기도,성남시중원구,63,124,7,8
81,성남 분당,경기도,성남시분당구,62,123,8,7
82,의정부,경기도,의정부시,61,130,1,7
