날짜,이름,측정망 정보,아황산가스 농도,일산화탄소 농도,오존 농도,이산화질소 농도,미세먼지(PM10) 농도,초미세먼지(PM2.5) 농도
2023-11-29 09:00,종로구,도시대기,0.003,0.5,0.013,0.030,8,2
2023-11-29 09:00,중구,도시대기,0.003,0.5,0.011,0.034,9,5
2023-11-29 09:00,용산구,도시대기,0.003,0.4,0.015,0.030,17,8
2023-11-29 09:00,성동구,도시대기,0.003,0.4,0.011,0.027,14,6
2023-11-29 09:00,광진구,도시대기,0.002,0.5,0.008,0.043,11,3
2023-11-29 09:00,동대문구,도시대기,0.003,0.5,0.009,0.038,16,6
2023-11-29 09:00,중랑구,도시대기,0.002,0.5,0.007,0.037,17,5
2023-11-29 09:00,성북구,도시대기,0.003,0.5,0.009,0.031,13,3
2023-11-29 09:00,강북구,도시대기,0.002,0.5,0.014,0.025,7,1
2023-11-29 09:00,도봉구,도시대기,0.002,0.3,0.015,0.027,16,10
2023-11-29 09:00,노원구,도시대기,0.003,0.5,0.009,0.035,11,3
2023-11-29 09:00,은평구,도시대기,0.003,0.3,0.011,0.030,14,3
2023-11-29 09:00,서대문구,도시대기,0.004,0.3,0.013,0.030,12,6
2023-11-29 09:00,마포구,도시대기,0.002,0.5,0.011,0.034,13,8
2023-11-29 09:00,양천구,도시대기,0.003,0.5,0.008,0.041,10,4
2023-11-29 09:00,강서구,도시대기,0.003,0.5,0.009,0.039,13,3
2023-11-29 09:00,구로구,도시대기,0.002,0.5,0.012,0.029,14,5
2023-11-29 09:00,금천구,도시대기,0.002,0.7,0.005,0.047,18,7
2023-11-29 09:00,영등포구,도시대기,0.003,0.4,0.008,0.038,12,7
2023-11-29 09:00,동작구,도시대기,0.002,0.4,0.013,0.035,10,5
2023-11-29 09:00,관악구,도시대기,0.002,0.5,0.009,0.036,15,6
2023-11-29 09:00,서초구,도시대기,0.003,0.4,0.005,0.036,35,8
2023-11-29 09:00,강남구,도시대기,0.003,0.4,0.005,0.040,14,5
2023-11-29 09:00,송파구,도시대기,0.003,0.5,0.007,0.040,16,8
2023-11-29 09:00,강동구,도시대기,0.004,0.6,0.005,0.041,-,1
2023-11-29 09:00,광복동,도시대기,0.003,0.3,0.026,0.013,15,13
2023-11-29 09:00,대신동,도시대기,0.003,0.4,0.018,0.023,28,15
2023-11-29 09:00,수정동,도시대기,0.003,0.3,0.031,0.009,21,13
2023-11-29 09:00,청학동,도시대기,0.002,0.3,0.018,0.022,16,9
2023-11-29 09:00,개금동,도시대기,0.004,0.6,0.002,0.058,36,22
2023-11-29 09:00,명장동,도시대기,-,-,0.004,0.047,30,18
2023-11-29 09:00,대연동,도시대기,0.002,0.5,0.014,0.028,23,21
2023-11-29 09:00,덕천동,도시대기,0.003,0.3,0.001,0.042,30,24
2023-11-29 09:00,재송동,도시대기,0.003,0.4,0.005,0.029,19,12
2023-11-29 09:00,당리동,도시대기,0.004,0.5,0.003,0.045,36,22
2023-11-29 09:00,부곡동,도시대기,0.003,0.4,0.007,0.028,21,14
2023-11-29 09:00,녹산동,도시대기,0.002,0.3,0.012,0.022,30,17
2023-11-29 09:00,연산동,도시대기,0.003,0.3,0.011,0.025,19,12
2023-11-29 09:00,광안동,도시대기,-,-,0.015,0.017,30,17
2023-11-29 09:00,덕포동,도시대기,0.006,0.5,0.002,0.047,56,36
2023-11-29 09:00,기장읍,도시대기,0.002,0.3,0.008,0.012,22,14
2023-11-29 09:00,남산1동,도시대기,0.002,0.3,0.016,0.021,36,27
2023-11-29 09:00,서호동,도시대기,0.003,0.5,0.004,0.036,53,26
2023-11-29 09:00,내당동,도시대기,0.002,0.3,0.014,0.023,31,21
2023-11-29 09:00,대명동,도시대기,0.002,0.5,0.016,0.020,30,21
2023-11-29 09:00,산격동,도시대기,0.002,0.4,0.010,0.026,30,27
2023-11-29 09:00,만촌동,도시대기,0.002,0.5,0.019,0.021,30,22
2023-11-29 09:00,본동,도시대기,0.003,0.4,0.010,0.034,45,25
2023-11-29 09:00,다사읍,도시대기,0.002,0.3,0.004,0.027,62,24
2023-11-29 09:00,신흥,도시대기,0.004,0.5,0.008,0.042,21,7
2023-11-29 09:00,송림,도시대기,0.004,0.6,0.007,0.043,22,10
2023-11-29 09:00,숭의,도시대기,0.003,0.6,0.007,0.035,12,6
2023-11-29 09:00,동춘,도시대기,0.003,0.6,0.007,0.043,25,12
2023-11-29 09:00,고잔,도시대기,0.004,0.6,0.005,0.049,34,15
2023-11-29 09:00,부평,도시대기,0.003,0.6,0.008,0.034,17,5
2023-11-29 09:00,계산,도시대기,0.003,0.8,0.005,0.043,16,11
2023-11-29 09:00,검단,도시대기,0.003,0.6,0.005,0.040,24,12
2023-11-29 09:00,길상,도시대기,0.003,0.5,0.010,0.023,37,17
2023-11-29 09:00,영흥,도시대기,0.003,0.3,0.036,0.007,11,6
2023-11-29 09:00,서석동,도시대기,0.003,0.7,0.004,0.028,23,8
2023-11-29 09:00,농성동,도시대기,0.003,0.8,0.004,0.035,26,19
2023-11-29 09:00,노대동,도시대기,0.002,0.6,0.007,0.018,20,9
2023-11-29 09:00,건국동,도시대기,0.003,0.4,0.009,0.020,22,15
2023-11-29 09:00,오선동,도시대기,0.003,0.5,0.006,0.024,25,13
2023-11-29 09:00,대성동,도시대기,0.003,0.4,0.006,0.031,19,14
2023-11-29 09:00,문창동,도시대기,0.003,0.5,0.008,0.029,13,-
2023-11-29 09:00,둔산동,도시대기,0.004,0.4,0.014,0.028,42,26
2023-11-29 09:00,관평동,도시대기,0.003,0.6,0.003,0.032,31,26
2023-11-29 09:00,문평동,도시대기,0.004,0.3,0.005,0.034,32,27
2023-11-29 09:00,성남동,도시대기,0.003,0.7,0.005,0.032,30,12
2023-11-29 09:00,무거동,도시대기,0.003,0.5,0.004,0.040,37,13
2023-11-29 09:00,대송동,도시대기,0.002,0.3,0.024,0.016,19,15
2023-11-29 09:00,농소동,도시대기,0.004,0.6,0.004,0.033,21,19
2023-11-29 09:00,덕신리,도시대기,0.002,0.7,0.006,0.011,-,10
2023-11-29 09:00,부강면,도시대기,0.003,0.5,0.004,0.031,37,21
2023-11-29 09:00,천천동,도시대기,0.002,0.7,0.007,0.040,6,1
2023-11-29 09:00,고색동,도시대기,0.003,0.6,0.007,0.038,9,2
2023-11-29 09:00,신풍동,도시대기,0.003,0.4,0.009,0.040,10,9
2023-11-29 09:00,광교동,도시대기,0.003,0.2,0.008,0.038,17,9
2023-11-29 09:00,단대동,도시대기,0.002,0.6,0.012,0.029,14,9
2023-11-29 09:00,상대원동,도시대기,0.002,0.4,0.013,0.038,14,8
2023-11-29 09:00,수내동,도시대기,0.002,0.5,0.004,0.035,9,5
2023-11-29 09:00,송산3동,도시대기,0.001,0.3,0.005,0.037,22,6
2023-11-29 09:00,안양2동,도시대기,0.002,0.6,0.007,0.043,14,8
2023-11-29 09:00,부림동,도시대기,0.003,0.4,0.007,0.038,19,2
2023-11-29 09:00,내동,도시대기,0.003,0.6,0.006,0.051,37,17
2023-11-29 09:00,소하동,도시대기,0.002,0.4,0.006,0.034,24,9
2023-11-29 09:00,고덕동,도시대기,0.005,0.4,0.005,0.039,35,10
2023-11-29 09:00,보산동,도시대기,0.003,0.4,0.008,0.022,9,4
2023-11-29 09:00,본오동,도시대기,0.003,0.7,0.005,0.040,21,12
2023-11-29 09:00,고잔동,도시대기,0.003,0.5,0.005,0.038,11,8
2023-11-29 09:00,신원동,도시대기,0.002,0.5,0.005,0.026,27,11
