,index,지역명,측정소명,주소,운영기관,설치년도,위도,경도,구
0,0,서울,강남구,서울 강남구 학동로 426 강남구청 별관 1동,서울특별시보건환경연구원,1978.0,37.5179681611717,127.047059839521,강남구
1,1,서울,강동구,서울 강동구 구천면로 42길 59 천호1동 주민센터,서울특별시보건환경연구원,1997.0,37.5450208674213,127.13679935135,강동구
2,2,서울,강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,서울특별시보건환경연구원,1997.0,37.6479342499954,127.011869707413,강북구
3,3,서울,강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,서울특별시보건환경연구원,1992.0,37.5446697303679,126.835179100171,강서구
4,4,서울,관악구,서울 관악구 신림동길 14 신림동 주민센터,서울특별시보건환경연구원,1979.0,37.4873960036367,126.927113892829,관악구
5,5,서울,광진구,서울특별시 광진구 광나루로 571 구의 아리수정수센터,서울특별시보건환경연구원,1980.0,37.5459473143709,127.09295071199,광진구
6,6,서울,구로구,서울 구로구 가마산로 27길 45 구로고등학교,서울특별시보건환경연구원,1980.0,37.4988400846064,126.890309191986,구로구
7,7,서울,금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,서울특별시보건환경연구원,1997.0,,,금천구
8,8,서울,노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),서울특별시보건환경연구원,1997.0,37.6574831321849,127.067864123732,노원구
9,9,서울,도봉구,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,서울특별시보건환경연구원,1982.0,37.6542176014875,127.029080065774,도봉구
10,10,서울,동대문구,서울 동대문구 천호대로13길 43 용두초등학교,서울특별시보건환경연구원,1973.0,37.5764130924206,127.028387192811,동대문구
11,11,서울,동작구,서울 동작구 사당로16아길 6 사당4동 주민센터,서울특별시보건환경연구원,1997.0,37.4809757528847,126.971633687906,동작구
12,12,서울,마포구,서울 마포구 포은로 6길 10 망원1동주민센터 옥상,서울특별시보건환경연구원,1979.0,37.5555883684512,126.905591296196,마포구
13,13,서울,서대문구,서울 서대문구 세검정로4길 32(홍제3동 주민센터) ,서울특별시보건환경연구원,1980.0,37.5937665695472,126.949691080182,서대문구
14,14,서울,서초구,서울 서초구 신반포로15길 16 반포 2동 주민센터,서울특별시보건환경연구원,1982.0,37.5045865893249,126.994471501866,서초구
15,15,서울,성동구,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,서울특별시보건환경연구원,1982.0,37.5420323828235,127.049688457046,성동구
16,16,서울,성북구,서울 성북구 삼양로2길 70 길음2동 주민센터,서울특별시보건환경연구원,1978.0,37.6068073305341,127.027279365525,성북구
17,17,서울,송파구,서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동),서울특별시보건환경연구원,1984.0,37.5027249577567,127.092523102,송파구
