날짜,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.1,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.1,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.1,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.1,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.1,2022.11,2022.12
미세먼지,50,52,49,56,43,38,28,24,24,33,56,45,60,56,62,42,50,33,27,28,25,32,41,39,39,38,40,41,34,34,20,24,22,34,38,38,39,43,65,41,52,32,22,21,17,27,40,36,39,37,42,39,33,22,22,19,22,26,39,35
초미세먼지,32,30,31,25,22,24,17,12,13,17,32,25,35,34,39,20,25,20,17,17,13,15,20,26,26,25,21,18,18,19,12,14,12,17,21,24,20,25,27,17,19,19,12,11,8,14,23,22,26,23,22,19,17,12,13,10,11,14,23,20
아황산가스,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.003
이산화질소,0.026,0.025,0.023,0.02,0.017,0.016,0.013,0.012,0.014,0.02,0.029,0.025,0.027,0.024,0.021,0.019,0.018,0.014,0.011,0.012,0.013,0.016,0.023,0.024,0.022,0.02,0.017,0.014,0.012,0.012,0.01,0.009,0.011,0.017,0.02,0.022,0.02,0.019,0.019,0.014,0.012,0.011,0.01,0.009,0.009,0.014,0.02,0.021,0.022,0.017,0.017,0.013,0.011,0.009,0.009,0.009,0.01,0.013,0.019,0.019
일산화탄소,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4
폐렴,212913,140104,155550,208903,215173,155343,119313,108513,132795,166836,219577,246269,172165,122306,148144,198999,211824,160770,141341,128239,163838,217966,253105,269400,223288,139460,80714,58253,60475,64553,61444,54255,53383,60510,75791,61993,47073,45179,63119,73860,71380,65282,53475,44119,59590,94087,107352,92975,117042,88611,90003,88811,78806,83941,87796,84394,124572,152758,140485,136083
파킨슨,52047,48243,52283,51527,53291,50776,53139,52234,49990,53976,52888,52267,55016,48312,51685,54637,53673,51252,55970,53831,51979,55768,53098,54312,53152,49957,50978,50796,50910,53628,54279,51610,53288,51827,52144,53542,50567,49384,55584,54388,52366,55421,55130,54780,54455,54113,55365,55483,53783,50022,54227,53303,54742,53650,53863,55277,53317,52908,55000,53634
천식,290449,219877,245707,272769,259876,208763,178626,168388,205999,251266,280530,298908,249477,199420,231322,263139,263528,203990,191761,173545,207085,242014,250937,271199,253980,195587,159600,143614,148450,141597,135662,121303,140990,145084,150092,139602,121070,117541,143915,152555,141789,133991,118190,116302,129356,149440,164600,152946,150922,135660,153847,166203,157963,146813,143085,140008,160556,178362,178725,181525
정신질환,1225370,1158286,1242419,1224908,1255538,1229007,1262663,1269756,1220801,1317326,1284000,1277139,1335227,1224861,1299077,1335439,1352708,1306021,1386304,1366461,1353010,1409294,1378452,1403067,1390649,1341258,1342549,1352298,1390829,1424233,1459766,1413960,1463040,1429324,1441986,1479019,1445101,1435969,1552210,1537082,1521860,1569729,1572713,1586988,1582648,1594754,1615429,1641630,1606632,1543715,1616396,1629253,1673560,1650809,1665038,1707435,1695378,1690747,1722780,1711199
