STD_YYYYMM,SIDO,비염환자(질병),아토피환자(질병),천식환자(질병),평균기온(기후),상대습도(기후),증기압(기후),최고기온(기후),최저기온(기후),풍속(기후),미세먼지,미세먼지(농도),미세먼지(농도80),초미세먼지,초미세먼지(농도),초미세먼지(농도35),아황산가스,아황산가스(농도0.05),아황산가스(농도),이산화질소,이산화질소(농도0.06),이산화질소(농도0.03),이산화질소(농도),일산화탄소,일산화탄소(농도9),일산화탄소(농도),차량수,구리(중금속),구리(농도),납(중금속),납(농도0.5),납(농도),니켈(중금속),니켈(농도),망간(중금속),망간(농도),비소(중금속),비소(농도),철(중금속),철(농도),카드뮴(중금속),카드뮴(농도),크롬(중금속),크롬(농도),비염환자(질병)_코로나증감폭,아토피환자(질병)_코로나증감폭,천식환자(질병)_코로나증감폭,평균기온(기후)_코로나증감폭,상대습도(기후)_코로나증감폭,증기압(기후)_코로나증감폭,최고기온(기후)_코로나증감폭,최저기온(기후)_코로나증감폭,풍속(기후)_코로나증감폭,미세먼지_코로나증감폭,초미세먼지_코로나증감폭,아황산가스_코로나증감폭,이산화질소_코로나증감폭,일산화탄소_코로나증감폭,구리(중금속)_코로나증감폭,납(중금속)_코로나증감폭,니켈(중금속)_코로나증감폭,망간(중금속)_코로나증감폭,비소(중금속)_코로나증감폭,철(중금속)_코로나증감폭,카드뮴(중금속)_코로나증감폭,크롬(중금속)_코로나증감폭
201501,서울특별시,377167,28189,53718,-0.9,56.0,3.4,3.6,-4.8,2.6,49.0,나쁨,좋음,25.0,나쁨,좋음,0.007,좋음,나쁨,0.037,좋음,나쁨,나쁨,0.7,좋음,나쁨,3021688.0,0.0234,나쁨,0.0458,좋음,나쁨,0.0022,좋음,0.0375,나쁨,0.0072,나쁨,0.8326,나쁨,0.0014,나쁨,0.0033,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201502,서울특별시,391955,25469,53754,1.0,59.0,4.1,6.0,-2.9,2.9,84.0,나쁨,나쁨,30.0,나쁨,좋음,0.007,좋음,나쁨,0.036,좋음,나쁨,나쁨,0.7,좋음,나쁨,3023786.0,0.0264,나쁨,0.0558,좋음,나쁨,0.003,좋음,0.0342,나쁨,0.0094,나쁨,0.8572,나쁨,0.0013,나쁨,0.0031,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201503,서울특별시,456140,31604,60610,6.3,45.0,4.4,12.4,1.0,3.1,71.0,나쁨,좋음,30.0,나쁨,좋음,0.007,좋음,나쁨,0.04,좋음,나쁨,나쁨,0.6,좋음,나쁨,3024391.0,0.0137,좋음,0.0203,좋음,좋음,0.0021,좋음,0.0259,좋음,0.0053,나쁨,0.7821,나쁨,0.0007,좋음,0.0025,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201504,서울특별시,429844,30585,60421,13.3,54.0,8.0,18.8,8.4,3.1,45.0,나쁨,좋음,21.0,좋음,좋음,0.005,좋음,나쁨,0.033,좋음,나쁨,나쁨,0.5,좋음,나쁨,3026957.0,0.0328,나쁨,0.0316,좋음,나쁨,0.0027,좋음,0.0324,나쁨,0.008,나쁨,1.1489,나쁨,0.0011,나쁨,0.0029,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201505,서울특별시,320863,33323,50343,18.9,53.0,11.0,24.9,13.6,3.0,45.0,나쁨,좋음,22.0,나쁨,좋음,0.006,좋음,나쁨,0.032,좋음,나쁨,나쁨,0.4,좋음,좋음,3030052.0,0.0258,나쁨,0.025,좋음,나쁨,0.0043,나쁨,0.0275,좋음,0.0036,좋음,0.9437,나쁨,0.001,나쁨,0.0028,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201506,서울특별시,204456,26222,32458,23.6,60.0,16.8,29.5,18.9,2.5,35.0,좋음,좋음,20.0,좋음,좋음,0.005,좋음,나쁨,0.025,좋음,좋음,나쁨,0.4,좋음,좋음,3031607.0,0.0232,나쁨,0.0248,좋음,나쁨,0.003,좋음,0.0234,좋음,0.0027,좋음,0.8327,나쁨,0.0007,좋음,0.0029,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201507,서울특별시,200585,32425,31642,25.8,71.0,23.4,30.0,22.6,2.8,30.0,좋음,좋음,19.0,좋음,좋음,0.005,좋음,나쁨,0.021,좋음,좋음,나쁨,0.4,좋음,좋음,3035979.0,0.0217,나쁨,0.0066,좋음,좋음,0.0029,좋음,0.0136,좋음,0.0026,좋음,0.4492,좋음,0.0005,좋음,0.0026,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201508,서울특별시,279175,33172,40650,26.3,70.0,23.5,30.8,22.8,2.4,34.0,좋음,좋음,22.0,나쁨,좋음,0.005,좋음,나쁨,0.023,좋음,좋음,나쁨,0.4,좋음,좋음,3037031.0,0.0275,나쁨,0.0256,좋음,나쁨,0.006,나쁨,0.0225,좋음,0.0063,나쁨,0.6699,나쁨,0.001,나쁨,0.004,나쁨,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201509,서울특별시,490028,29269,53904,22.4,56.0,14.8,28.1,17.5,2.3,28.0,좋음,좋음,16.0,좋음,좋음,0.004,좋음,좋음,0.027,좋음,좋음,나쁨,0.4,좋음,좋음,3043191.0,0.0198,나쁨,0.0119,좋음,좋음,0.003,좋음,0.0147,좋음,0.0023,좋음,0.5094,좋음,0.0005,좋음,0.0023,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201510,서울특별시,407264,27144,53872,15.5,60.0,10.8,21.2,10.8,2.3,44.0,나쁨,좋음,24.0,나쁨,좋음,0.005,좋음,나쁨,0.035,좋음,나쁨,나쁨,0.5,좋음,나쁨,3046176.0,0.0355,나쁨,0.0121,좋음,좋음,0.0029,좋음,0.0274,좋음,0.0034,좋음,0.9356,나쁨,0.0008,좋음,0.0044,나쁨,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
