Unnamed: 0,ID,광역시도,시군구,격자 X,격자 Y,y,x,측정소명
0,서울 종로,서울특별시,종로구,60,127,4,6,종로구
1,서울 중구,서울특별시,중구,60,127,5,6,중구
2,서울 용산,서울특별시,용산구,60,126,6,6,용산구
3,서울 성동,서울특별시,성동구,61,127,5,7,성동구
4,서울 광진,서울특별시,광진구,62,126,6,7,광진구
5,서울 동대문,서울특별시,동대문구,61,127,4,7,동대문구
6,서울 중랑,서울특별시,중랑구,62,128,4,8,중랑구
7,서울 성북,서울특별시,성북구,61,127,3,6,성북구
8,서울 강북,서울특별시,강북구,61,128,3,5,강북구
9,서울 도봉,서울특별시,도봉구,61,129,2,5,도봉구
10,서울 노원,서울특별시,노원구,61,129,2,6,노원구
11,서울 은평,서울특별시,은평구,59,127,4,4,은평구
12,서울 서대문,서울특별시,서대문구,59,127,4,5,서대문구
13,서울 마포,서울특별시,마포구,59,127,5,5,마포구
14,서울 양천,서울특별시,양천구,58,126,6,4,양천구
15,서울 강서,서울특별시,강서구,58,126,5,4,강서구
16,서울 구로,서울특별시,구로구,58,125,8,4,구로구
17,서울 금천,서울특별시,금천구,59,124,7,4,금천구
18,서울 영등포,서울특별시,영등포구,58,126,7,5,영등포구
19,서울 동작,서울특별시,동작구,59,125,6,5,동작구
20,서울 관악,서울특별시,관악구,59,125,8,5,관악구
21,서울 서초,서울특별시,서초구,61,125,7,6,서초구
22,서울 강남,서울특별시,강남구,61,126,7,7,강남구
23,서울 송파,서울특별시,송파구,62,126,6,8,송파구
24,서울 강동,서울특별시,강동구,62,126,5,8,강동구
25,부산 중구,부산광역시,중구,97,74,19,10,광복동
26,부산 서구,부산광역시,서구,97,74,18,9,대신동
27,부산 동구,부산광역시,동구,98,75,18,10,수정동
28,부산 영도,부산광역시,영도구,98,74,20,10,청학동
29,부산 부산진,부산광역시,부산진구,97,75,17,10,개금동
30,부산 동래,부산광역시,동래구,98,76,17,11,명장동
31,부산 남구,부산광역시,남구,98,75,20,11,대연동
32,부산 북구,부산광역시,북구,96,76,16,10,덕천동
33,부산 해운대,부산광역시,해운대구,99,75,17,12,재송동
34,부산 사하,부산광역시,사하구,96,74,19,9,당리동
35,부산 금정,부산광역시,금정구,98,77,16,11,부곡동
36,부산 강서,부산광역시,강서구,96,76,18,8,대저동
37,부산 연제,부산광역시,연제구,98,76,18,11,연산동
38,부산 수영,부산광역시,수영구,99,75,19,11,광안동
39,부산 사상,부산광역시,사상구,96,75,17,9,덕포동
40,부산 기장,부산광역시,기장군,100,77,16,12,기장읍
41,대구 중구,대구광역시,중구,89,90,15,9,남산1동
42,대구 동구,대구광역시,동구,90,91,14,10,서호동
43,대구 서구,대구광역시,서구,88,90,14,8,내당동
44,대구 남구,대구광역시,남구,89,90,15,8,대명동
45,대구 북구,대구광역시,북구,89,91,14,9,산격동
46,대구 수성,대구광역시,수성구,89,90,15,10,만촌동
47,대구 달서,대구광역시,달서구,88,90,16,8,본동
48,대구 달성,대구광역시,달성군,86,88,16,9,다사읍
49,인천 중구,인천광역시,중구,54,125,9,1,신흥
50,인천 동구,인천광역시,동구,54,125,6,2,송림
51,인천 미추홀,인천광역시,미추홀구,54,124,9,2,숭의
52,인천 연수,인천광역시,연수구,55,123,10,1,동춘
53,인천 남동,인천광역시,남동구,56,124,10,2,고잔
54,인천 부평,인천광역시,부평구,55,125,8,2,부평
