SIDO,STD_YYYYMM,평균기온,평균상대습도,평균증기압,평균최고기온,평균최저기온,평균풍속
강원도,200001,-2.7,66.3,3.4,2.0,-7.0,1.9
경기도,200001,-2.6,65.8,3.5,2.1,-7.0,1.6
인천광역시,200001,-2.6,68.0,3.6,1.4,-6.4,2.6
서울특별시,200001,-2.1,64.0,3.6,1.7,-5.7,2.6
경상북도,200001,-0.3,62.6,3.9,4.5,-4.7,2.6
충청북도,200001,-2.5,65.8,3.5,2.4,-7.1,1.6
충청남도,200001,-1.3,73.2,4.2,3.2,-5.7,1.9
대전광역시,200001,-1.2,70.0,4.1,3.3,-5.2,2.4
전라북도,200001,-0.6,72.1,4.4,4.1,-5.0,2.1
대구광역시,200001,1.1,57.0,3.9,5.1,-2.7,2.3
울산광역시,200001,3.1,54.0,4.5,7.9,-1.0,1.9
경상남도,200001,1.7,56.6,4.1,7.2,-3.0,1.7
광주광역시,200001,1.0,67.0,4.5,5.3,-2.6,2.3
부산광역시,200001,4.2,53.0,4.8,8.8,0.5,3.7
전라남도,200001,2.3,64.0,4.8,5.9,-1.1,4.8
제주특별자치도,200001,6.4,70.5,7.1,9.2,3.6,5.6
세종특별자치시,200001,0.2,64.4,4.2,4.6,-3.8,2.6
강원도,200002,-2.9,52.5,2.5,2.8,-8.5,2.3
경기도,200002,-2.4,55.8,2.8,3.2,-8.0,1.8
인천광역시,200002,-2.2,60.5,3.2,2.2,-6.2,2.7
서울특별시,200002,-1.7,56.0,3.1,2.6,-5.8,2.7
경상북도,200002,-0.4,46.8,2.7,5.3,-5.8,3.0
충청북도,200002,-2.9,55.0,2.6,3.2,-8.8,1.9
충청남도,200002,-1.9,64.6,3.4,3.8,-7.3,1.8
대전광역시,200002,-1.1,57.0,3.1,4.5,-6.0,2.7
전라북도,200002,-1.0,64.4,3.6,4.4,-6.1,2.0
대구광역시,200002,1.3,38.0,2.5,6.0,-2.9,3.1
울산광역시,200002,2.7,34.0,2.5,8.1,-2.0,2.8
경상남도,200002,1.5,42.1,2.8,7.9,-4.1,2.1
광주광역시,200002,0.6,59.0,3.7,5.6,-3.6,2.2
부산광역시,200002,3.2,38.0,3.0,8.5,-1.2,3.6
전라남도,200002,1.6,57.3,3.9,6.0,-2.2,4.5
제주특별자치도,200002,4.9,61.8,5.4,8.1,1.9,5.4
세종특별자치시,200002,-0.0,52.7,3.2,5.1,-4.8,2.8
강원도,200003,4.8,50.2,4.2,11.1,-1.1,2.4
경기도,200003,5.2,51.5,4.5,12.0,-1.1,1.9
인천광역시,200003,5.1,59.5,5.2,10.3,0.5,3.4
서울특별시,200003,6.3,55.0,5.3,11.4,1.7,3.0
경상북도,200003,6.4,49.0,4.6,13.2,-0.0,3.0
충청북도,200003,4.6,52.5,4.3,12.1,-2.3,2.0
충청남도,200003,4.6,61.6,5.1,11.9,-2.5,2.0
