SIDO,STD_YYYYMM,AVG_PM10,PM10_BAD,PM10_80BAD,AVG_PM2.5,PM2_BAD,PM2_35BAD,AVG_아황산,아황산_0.05BAD,아황산_BAD,AVG_이산화,이산화_0.06BAD,이산화_0.03BAD,이산화_BAD,AVG_일산화,일산화_9BAD,일산화_BAD,차량수
서울특별시,201501,49.0,Y,N,25.0,Y,N,0.007,N,Y,0.037,N,Y,Y,0.7,N,Y,3021688.0
부산광역시,201501,47.0,Y,N,27.0,Y,N,0.007,N,Y,0.022,N,N,Y,0.4,N,N,1219593.0
대구광역시,201501,54.0,Y,N,33.0,Y,N,0.005,N,Y,0.031,N,Y,Y,0.5,N,Y,1076512.0
인천광역시,201501,53.0,Y,N,31.0,Y,N,0.007,N,Y,0.03,N,N,Y,0.8,N,Y,1257579.0
광주광역시,201501,43.0,Y,N,27.0,Y,N,0.004,N,N,0.024,N,N,Y,0.6,N,Y,592020.0
대전광역시,201501,52.0,Y,N,34.0,Y,N,0.006,N,Y,0.024,N,N,Y,0.7,N,Y,622705.0
울산광역시,201501,46.0,Y,N,27.0,Y,N,0.006,N,Y,0.025,N,N,Y,0.6,N,Y,507680.0
세종특별자치시,201501,49.8987,N,N,28.3064,N,N,0.0058,N,N,0.0252,N,N,N,0.642,N,N,70603.0
경기도,201501,59.29,Y,N,30.25,Y,N,0.007,N,Y,0.032,N,Y,Y,0.729,N,Y,4718990.0
경상남도,201501,49.67,Y,N,26.12,Y,N,0.005,N,Y,0.021,N,N,Y,0.529,N,Y,1518723.0
충청북도,201501,56.5,Y,N,28.3064,N,N,0.007,N,Y,0.033,N,Y,Y,0.9,N,Y,702952.0
충청남도,201501,44.25,Y,N,28.3064,N,N,0.005,N,Y,0.022,N,N,Y,0.825,N,Y,929725.0
전라북도,201501,54.0,Y,N,28.3064,N,N,0.005,N,Y,0.02,N,N,Y,0.633,N,Y,810851.0
전라남도,201501,40.2,N,N,27.0,Y,N,0.006,N,Y,0.018,N,N,N,0.6,N,Y,847637.0
경상북도,201501,51.57,Y,N,28.3064,N,N,0.008,N,Y,0.023,N,N,Y,0.814,N,Y,1261405.0
제주특별자치도,201501,49.0,Y,N,24.0,Y,N,0.002,N,N,0.016,N,N,N,0.3,N,N,388996.0
서울특별시,201502,84.0,Y,Y,30.0,Y,N,0.007,N,Y,0.036,N,Y,Y,0.7,N,Y,3023786.0
부산광역시,201502,63.0,Y,N,31.0,Y,N,0.007,N,Y,0.02,N,N,Y,0.4,N,N,1222589.0
대구광역시,201502,66.0,Y,N,33.0,Y,N,0.005,N,Y,0.026,N,N,Y,0.5,N,Y,1079920.0
인천광역시,201502,84.0,Y,Y,33.0,Y,N,0.007,N,Y,0.029,N,N,Y,0.7,N,Y,1264187.0
광주광역시,201502,59.0,Y,N,33.0,Y,N,0.004,N,N,0.021,N,N,Y,0.6,N,Y,593456.0
대전광역시,201502,68.0,Y,N,36.0,Y,Y,0.005,N,Y,0.02,N,N,Y,0.6,N,Y,623128.0
울산광역시,201502,64.0,Y,N,32.0,Y,N,0.006,N,Y,0.024,N,N,Y,0.6,N,Y,508749.0
세종특별자치시,201502,69.8473,N,N,31.9045,N,N,0.0055,N,N,0.0223,N,N,N,0.6037,N,N,73466.0
경기도,201502,89.65,Y,Y,36.5,Y,Y,0.006,N,Y,0.029,N,N,Y,0.7,N,Y,4733643.0
경상남도,201502,70.0,Y,N,31.62,Y,N,0.005,N,Y,0.019,N,N,Y,0.514,N,Y,1522020.0
충청북도,201502,79.0,Y,N,31.9045,N,N,0.007,N,Y,0.027,N,N,Y,0.775,N,Y,704923.0
충청남도,201502,65.0,Y,N,31.9045,N,N,0.005,N,Y,0.018,N,N,N,0.65,N,Y,932815.0
전라북도,201502,72.0,Y,N,31.9045,N,N,0.004,N,N,0.017,N,N,N,0.633,N,Y,813017.0
전라남도,201502,54.2,Y,N,29.83,Y,N,0.006,N,Y,0.016,N,N,N,0.54,N,Y,851462.0
경상북도,201502,70.86,Y,N,31.9045,N,N,0.007,N,Y,0.022,N,N,Y,0.743,N,Y,1265165.0
제주특별자치도,201502,59.0,Y,N,25.0,Y,N,0.002,N,N,0.011,N,N,N,0.4,N,N,392466.0
서울특별시,201503,71.0,Y,N,30.0,Y,N,0.007,N,Y,0.04,N,Y,Y,0.6,N,Y,3024391.0
부산광역시,201503,56.0,Y,N,27.0,Y,N,0.008,N,Y,0.021,N,N,Y,0.4,N,N,1224381.0
대구광역시,201503,61.0,Y,N,29.0,Y,N,0.004,N,N,0.027,N,N,Y,0.5,N,Y,1082918.0
인천광역시,201503,73.0,Y,N,31.0,Y,N,0.008,N,Y,0.033,N,Y,Y,0.7,N,Y,1270397.0
광주광역시,201503,64.0,Y,N,35.0,Y,N,0.004,N,N,0.023,N,N,Y,0.5,N,Y,595373.0
대전광역시,201503,68.0,Y,N,37.0,Y,Y,0.005,N,Y,0.021,N,N,Y,0.5,N,Y,623330.0
울산광역시,201503,59.0,Y,N,29.0,Y,N,0.008,N,Y,0.026,N,N,Y,0.6,N,Y,510573.0
세종특별자치시,201503,65.5827,N,N,31.0836,N,N,0.0058,N,N,0.0244,N,N,N,0.5463,N,N,76097.0
경기도,201503,79.77,Y,N,34.0,Y,N,0.006,N,Y,0.033,N,Y,Y,0.594,N,Y,4748569.0
경상남도,201503,64.33,Y,N,29.25,Y,N,0.005,N,Y,0.019,N,N,Y,0.471,N,Y,1524961.0
충청북도,201503,72.25,Y,N,31.0836,N,N,0.007,N,Y,0.029,N,N,Y,0.7,N,Y,707631.0
충청남도,201503,65.25,Y,N,31.0836,N,N,0.006,N,Y,0.02,N,N,Y,0.55,N,Y,936688.0
전라북도,201503,76.17,Y,N,31.0836,N,N,0.005,N,Y,0.018,N,N,N,0.55,N,Y,816475.0
전라남도,201503,52.8,Y,N,29.67,Y,N,0.006,N,Y,0.018,N,N,N,0.58,N,Y,855846.0
경상북도,201503,63.67,Y,N,31.0836,N,N,0.005,N,Y,0.024,N,N,Y,0.6,N,Y,1269424.0
제주특별자치도,201503,57.5,Y,N,31.0,Y,N,0.003,N,N,0.014,N,N,N,0.35,N,N,398515.0
