STD_YYYYMM,SIDO,비염환자수,심근경색,아토피환자수,천식환자수,뇌졸증
201401,서울특별시,446345,505.0,27596,60688,2012.0
201402,서울특별시,498315,509.0,27185,69514,1871.0
201403,서울특별시,397567,498.0,29439,61372,2003.0
201404,서울특별시,412948,475.0,31803,68498,1970.0
201405,서울특별시,313904,534.0,34314,54470,2037.0
201406,서울특별시,227787,444.0,31481,40623,1882.0
201407,서울특별시,257335,421.0,34532,41561,1849.0
201408,서울특별시,288433,471.0,31794,41229,1900.0
201409,서울특별시,485238,449.0,31542,57719,1907.0
201411,서울특별시,457230,511.0,25965,63964,1830.0
201412,서울특별시,401828,524.0,28036,59506,2038.0
201501,서울특별시,377167,550.0,28189,53718,1912.0
201502,서울특별시,391955,515.0,25469,53754,1829.0
201503,서울특별시,456140,570.0,31604,60610,1994.0
201504,서울특별시,429844,563.0,30585,60421,1906.0
201505,서울특별시,320863,588.0,33323,50343,1960.0
201506,서울특별시,204456,420.0,26222,32458,1498.0
201507,서울특별시,200585,477.0,32425,31642,1767.0
201508,서울특별시,279175,525.0,33172,40650,1850.0
201509,서울특별시,490028,561.0,29269,53904,1811.0
201511,서울특별시,419879,537.0,24792,56090,1933.0
201512,서울특별시,475370,615.0,27713,66398,1990.0
201601,서울특별시,398187,534.0,27132,51760,1828.0
201602,서울특별시,430340,584.0,25837,59765,1970.0
201603,서울특별시,447576,629.0,29586,61129,2050.0
201604,서울특별시,437627,551.0,29507,60238,1963.0
201605,서울특별시,328617,601.0,32345,50714,2059.0
201606,서울특별시,252007,522.0,31103,36576,1985.0
201607,서울특별시,250025,532.0,32131,33312,2010.0
201608,서울특별시,297537,540.0,34595,39103,1906.0
201609,서울특별시,441210,538.0,28162,49637,2023.0
201611,서울특별시,443939,532.0,26689,59096,2049.0
201612,서울특별시,575147,589.0,25528,71706,2042.0
201701,서울특별시,328801,608.0,26138,44796,2003.0
201702,서울특별시,338953,554.0,26782,42687,2006.0
201703,서울특별시,479454,633.0,29652,54148,2110.0
201704,서울특별시,459368,605.0,28727,54333,2211.0
201705,서울특별시,342995,632.0,33948,46305,2234.0
201706,서울특별시,259785,564.0,31217,35461,2149.0
201707,서울특별시,239735,571.0,33124,31548,2041.0
201708,서울특별시,327668,575.0,33432,32734,2031.0
201709,서울특별시,504044,576.0,31271,45685,2179.0
201711,서울특별시,482159,652.0,27342,51870,2152.0
201712,서울특별시,552123,693.0,25356,56881,2247.0
201801,서울특별시,507445,748.0,26972,54271,2431.0
201802,서울특별시,313978,641.0,25539,36593,2025.0
201803,서울특별시,410836,635.0,28740,46457,2121.0
201804,서울특별시,452606,613.0,29984,52823,2155.0
201805,서울특별시,345252,608.0,31380,46409,2059.0
201806,서울특별시,253223,599.0,31736,34434,2115.0
201807,서울특별시,230246,573.0,34809,28609,2184.0
201808,서울특별시,244545,580.0,31713,29131,2091.0
201809,서울특별시,486109,549.0,27261,44280,2005.0
201811,서울특별시,462621,643.0,26152,54979,2177.0
201812,서울특별시,501006,641.0,27277,57276,2250.0
201901,서울특별시,352188,648.0,28914,41897,2169.0
201902,서울특별시,304996,584.0,25987,33808,1831.0
201903,서울특별시,437783,627.0,27948,45488,2082.0
201904,서울특별시,505541,628.0,30870,52335,2104.0
201905,서울특별시,394513,606.0,35043,49487,2044.0
201906,서울특별시,248321,600.0,28929,33681,1922.0
201907,서울특별시,254895,603.0,33541,32285,2109.0
201908,서울특별시,277290,548.0,34302,31461,2042.0
201909,서울특별시,465550,592.0,30566,42371,2038.0
201911,서울특별시,443898,597.0,27985,47219,2032.0
201912,서울특별시,482644,677.0,27585,49708,2162.0
202001,서울특별시,443273,651.0,27993,43851,2317.0
202002,서울특별시,245854,505.0,24672,28449,1805.0
202003,서울특별시,164599,524.0,27378,20793,1813.0
202004,서울특별시,162136,613.0,31160,18388,1961.0
202005,서울특별시,228549,613.0,34064,21441,2202.0
202006,서울특별시,167901,559.0,34921,17319,2032.0
202007,서울특별시,156401,636.0,30948,16072,2155.0
202008,서울특별시,152151,509.0,32896,14708,1911.0
202009,서울특별시,258963,499.0,34539,19893,1769.0
202011,서울특별시,243282,615.0,28065,20944,2113.0
202012,서울특별시,155861,607.0,29475,16310,1929.0
202101,서울특별시,123377,542.0,27367,13828,2074.0
202102,서울특별시,134079,508.0,27033,13276,1855.0
202103,서울특별시,257576,605.0,30940,21168,2112.0
202104,서울특별시,297440,621.0,32548,24965,2223.0
202105,서울특별시,178641,643.0,29776,19470,2221.0
202106,서울특별시,155755,562.0,33623,16505,2182.0
202107,서울특별시,138390,559.0,34765,13505,2211.0
202108,서울특별시,147809,585.0,32585,13882,2151.0
202109,서울특별시,273508,591.0,33145,19028,2081.0
202111,서울특별시,329382,655.0,29857,26981,2049.0
202112,서울특별시,229472,527.0,30855,21553,2053.0
201401,부산광역시,171887,134.0,6567,20124,391.0
201402,부산광역시,166959,118.0,6023,22169,369.0
201403,부산광역시,164056,143.0,7087,23625,409.0
201404,부산광역시,155891,136.0,7561,23723,362.0
201405,부산광역시,114996,126.0,7862,18459,408.0
201406,부산광역시,83819,129.0,7375,13827,386.0
201407,부산광역시,89902,138.0,9085,13719,380.0
201408,부산광역시,94349,129.0,7683,13969,421.0
201409,부산광역시,159943,140.0,7507,19238,455.0
201411,부산광역시,182868,154.0,6540,23131,447.0
201412,부산광역시,173651,146.0,6809,22355,469.0
201501,부산광역시,146991,172.0,6638,20020,413.0
201502,부산광역시,163803,160.0,5969,21126,472.0
201503,부산광역시,180525,166.0,7367,23744,458.0
201504,부산광역시,156244,165.0,6654,23235,419.0
201505,부산광역시,124549,163.0,7698,20148,436.0
201506,부산광역시,86503,122.0,6427,13812,419.0
201507,부산광역시,77125,135.0,8643,11611,397.0
201508,부산광역시,89841,147.0,8359,13937,426.0
201509,부산광역시,172899,153.0,6502,20438,443.0
201511,부산광역시,148416,167.0,5864,21044,467.0
201512,부산광역시,191416,174.0,6270,25615,491.0
201601,부산광역시,172146,166.0,6553,19544,492.0
201602,부산광역시,173608,167.0,6050,22460,454.0
201603,부산광역시,168569,174.0,6694,22980,443.0
201604,부산광역시,149648,182.0,6663,22052,417.0
201605,부산광역시,115354,178.0,7606,18437,440.0
201606,부산광역시,89022,170.0,7749,13851,412.0
201607,부산광역시,87799,151.0,8447,11764,455.0
201608,부산광역시,103488,167.0,8434,13180,438.0
201609,부산광역시,157512,140.0,6325,18529,451.0
201611,부산광역시,166158,150.0,6706,21083,407.0
201612,부산광역시,193116,137.0,6122,22565,394.0
201701,부산광역시,141548,176.0,6342,17812,433.0
201702,부산광역시,129342,156.0,6260,16141,390.0
201703,부산광역시,186955,156.0,6693,20896,471.0
201704,부산광역시,170404,188.0,6528,20861,476.0
201705,부산광역시,129107,191.0,7974,17505,483.0
201706,부산광역시,97652,162.0,7172,12965,457.0
201707,부산광역시,87050,162.0,8626,11014,435.0
201708,부산광역시,99176,158.0,7819,11245,470.0
201709,부산광역시,163184,162.0,7022,15688,456.0
201711,부산광역시,195268,215.0,6990,19076,462.0
201712,부산광역시,232007,234.0,6132,21032,546.0
201801,부산광역시,198788,213.0,6305,21021,533.0
201802,부산광역시,129200,193.0,6173,14035,436.0
201803,부산광역시,168569,202.0,6650,17798,550.0
201804,부산광역시,169549,213.0,7031,19848,449.0
201805,부산광역시,127391,219.0,7324,16923,530.0
201806,부산광역시,99888,190.0,7363,13587,462.0
201807,부산광역시,86217,205.0,8634,10787,489.0
201808,부산광역시,88749,211.0,7681,10743,513.0
201809,부산광역시,165641,188.0,6380,15062,499.0
201811,부산광역시,171246,210.0,6492,18685,540.0
201812,부산광역시,200429,192.0,6552,20023,527.0
201901,부산광역시,143538,199.0,7285,16007,558.0
201902,부산광역시,123824,190.0,6391,12378,500.0
201903,부산광역시,168318,209.0,7491,15825,509.0
201904,부산광역시,174414,191.0,7754,18091,541.0
201905,부산광역시,134896,193.0,8872,17333,619.0
201906,부산광역시,91641,175.0,7423,12466,506.0
201907,부산광역시,94916,220.0,9227,11845,545.0
201908,부산광역시,94287,178.0,9265,11251,537.0
201909,부산광역시,154613,204.0,8059,14433,560.0
201911,부산광역시,179480,181.0,7498,18140,544.0
201912,부산광역시,195409,227.0,7486,19167,590.0
202001,부산광역시,176458,224.0,7258,17417,575.0
202002,부산광역시,99019,207.0,6494,11281,480.0
202003,부산광역시,62391,178.0,7379,7952,488.0
202004,부산광역시,57016,182.0,8323,6817,551.0
202005,부산광역시,70900,207.0,9382,7253,563.0
202006,부산광역시,81564,160.0,9598,7452,547.0
202007,부산광역시,63788,204.0,8554,6638,579.0
202008,부산광역시,57103,210.0,9868,6038,523.0
202009,부산광역시,87032,157.0,8831,7359,532.0
202011,부산광역시,102419,215.0,8152,8319,515.0
202012,부산광역시,65014,193.0,8211,6695,537.0
202101,부산광역시,47680,178.0,7202,5527,557.0
202102,부산광역시,58901,194.0,7096,5604,508.0
202103,부산광역시,107688,196.0,8455,8293,601.0
202104,부산광역시,93487,208.0,8516,7828,554.0
202105,부산광역시,64650,193.0,7973,6878,645.0
202106,부산광역시,58880,207.0,8830,6434,605.0
202107,부산광역시,53207,189.0,9345,5338,587.0
202108,부산광역시,52403,231.0,8872,5469,550.0
202109,부산광역시,98114,197.0,8488,8482,582.0
202111,부산광역시,119948,211.0,8397,9957,565.0
202112,부산광역시,93433,213.0,8423,10358,545.0
201401,대구광역시,121171,237.0,6455,15908,673.0
201402,대구광역시,141292,194.0,5645,21303,543.0
201403,대구광역시,111215,243.0,6387,19874,568.0
201404,대구광역시,123063,220.0,7330,23638,607.0
201405,대구광역시,82874,245.0,7392,16501,625.0
201406,대구광역시,60140,234.0,6353,11377,571.0
201407,대구광역시,67211,231.0,7585,11461,566.0
201408,대구광역시,72438,211.0,6631,11367,603.0
201409,대구광역시,130624,220.0,6813,17474,590.0
201411,대구광역시,134122,250.0,5702,21378,629.0
201412,대구광역시,118430,220.0,6164,18119,606.0
201501,대구광역시,98788,212.0,5988,15799,593.0
201502,대구광역시,108950,231.0,5724,16434,561.0
201503,대구광역시,134991,266.0,6945,20782,599.0
201504,대구광역시,116901,255.0,6580,20645,574.0
201505,대구광역시,83072,218.0,7360,15501,586.0
201506,대구광역시,60713,187.0,5481,10446,507.0
201507,대구광역시,56655,184.0,6918,9766,533.0
201508,대구광역시,70712,206.0,6845,12125,579.0
201509,대구광역시,143010,204.0,6241,18243,573.0
201511,대구광역시,107570,215.0,5132,19135,599.0
201512,대구광역시,128145,217.0,5846,19356,606.0
201601,대구광역시,121534,197.0,5955,14988,574.0
201602,대구광역시,127856,229.0,5692,17422,553.0
201603,대구광역시,121750,242.0,6167,17462,642.0
201604,대구광역시,113104,211.0,6354,17626,621.0
201605,대구광역시,85983,232.0,6572,14465,626.0
201606,대구광역시,65506,226.0,6738,10145,570.0
201607,대구광역시,66433,213.0,7016,9095,632.0
201608,대구광역시,76073,197.0,7320,10320,567.0
201609,대구광역시,124248,218.0,5652,15525,643.0
201611,대구광역시,122060,249.0,5995,18329,624.0
201612,대구광역시,148080,241.0,5703,17030,568.0
201701,대구광역시,93746,254.0,5939,11873,618.0
201702,대구광역시,96353,226.0,6031,12038,600.0
201703,대구광역시,128204,257.0,6264,15040,598.0
201704,대구광역시,131056,252.0,6714,16703,602.0
201705,대구광역시,91329,228.0,7550,12865,666.0
201706,대구광역시,69220,208.0,6617,9421,671.0
201707,대구광역시,63854,197.0,7087,7922,598.0
201708,대구광역시,82385,240.0,7279,8671,622.0
201709,대구광역시,135516,256.0,6455,12640,582.0
201711,대구광역시,137352,254.0,6019,15215,653.0
201712,대구광역시,159358,271.0,5755,15534,717.0
201801,대구광역시,144913,264.0,5688,14906,669.0
201802,대구광역시,92805,264.0,5753,10251,576.0
201803,대구광역시,121794,258.0,6173,12686,634.0
201804,대구광역시,135007,257.0,6781,16935,615.0
201805,대구광역시,89131,237.0,6512,13066,644.0
201806,대구광역시,68308,210.0,6569,9275,616.0
201807,대구광역시,63061,242.0,6982,7367,611.0
201808,대구광역시,65433,239.0,6282,7845,547.0
201809,대구광역시,134314,232.0,5812,12631,567.0
201811,대구광역시,131100,245.0,5633,16902,625.0
201812,대구광역시,143524,283.0,5379,15813,628.0
201901,대구광역시,98536,239.0,6057,11241,629.0
201902,대구광역시,83166,189.0,5410,8816,607.0
201903,대구광역시,122822,253.0,6140,11878,666.0
201904,대구광역시,136253,202.0,6513,15065,686.0
201905,대구광역시,94446,226.0,7273,12984,764.0
201906,대구광역시,62130,197.0,6005,8659,725.0
201907,대구광역시,70272,181.0,7386,8404,696.0
201908,대구광역시,68116,215.0,7264,7459,673.0
201909,대구광역시,123851,217.0,6295,10829,630.0
201911,대구광역시,124706,225.0,5922,13350,710.0
201912,대구광역시,137717,255.0,5963,13620,739.0
202001,대구광역시,124316,233.0,5951,11493,697.0
202002,대구광역시,71004,182.0,4817,7496,506.0
202003,대구광역시,39177,147.0,5186,4802,408.0
202004,대구광역시,43608,194.0,6743,4438,584.0
202005,대구광역시,44317,211.0,7392,4179,620.0
202006,대구광역시,51892,206.0,7200,3949,661.0
202007,대구광역시,55481,208.0,6492,4129,658.0
202008,대구광역시,43875,213.0,7703,3504,632.0
202009,대구광역시,80474,216.0,6943,4938,544.0
202011,대구광역시,71270,198.0,5916,5413,632.0
202012,대구광역시,52649,236.0,6225,4496,636.0
202101,대구광역시,35747,242.0,5761,3482,598.0
202102,대구광역시,41532,214.0,5668,3325,612.0
202103,대구광역시,81129,252.0,6575,5237,678.0
202104,대구광역시,98425,219.0,7076,6857,665.0
202105,대구광역시,51546,216.0,6336,4914,716.0
