STD_YYYYMM,SIDO,GEN,AGG,CNT,CNT_SUM
200601,서울특별시,1,0,113,234658
200602,서울특별시,1,0,142,190039
200603,서울특별시,1,0,240,281952
200604,서울특별시,1,0,192,270801
200605,서울특별시,1,0,175,223894
200606,서울특별시,1,0,108,162655
200607,서울특별시,1,0,88,135037
200608,서울특별시,1,0,98,154519
200609,서울특별시,1,0,211,336156
200610,서울특별시,1,0,185,228055
200611,서울특별시,1,0,159,307721
200612,서울특별시,1,0,132,303464
200701,서울특별시,1,0,107,281194
200702,서울특별시,1,0,114,192761
200703,서울특별시,1,0,149,252344
200704,서울특별시,1,0,165,280804
200705,서울특별시,1,0,139,225182
200706,서울특별시,1,0,128,159711
200707,서울특별시,1,0,101,159818
200708,서울특별시,1,0,132,168757
200709,서울특별시,1,0,223,359518
200710,서울특별시,1,0,251,330179
200711,서울특별시,1,0,197,335061
200712,서울특별시,1,0,150,368266
200801,서울특별시,1,0,143,291203
200802,서울특별시,1,0,181,302131
200803,서울특별시,1,0,196,300948
200804,서울특별시,1,0,185,316287
200805,서울특별시,1,0,185,254814
200806,서울특별시,1,0,131,197772
200807,서울특별시,1,0,78,160465
200808,서울특별시,1,0,116,200554
200809,서울특별시,1,0,192,338129
200810,서울특별시,1,0,189,322088
200811,서울특별시,1,0,189,317626
200812,서울특별시,1,0,199,413710
200901,서울특별시,1,0,143,294476
200902,서울특별시,1,0,174,221748
200903,서울특별시,1,0,268,326188
200904,서울특별시,1,0,198,387361
200905,서울특별시,1,0,155,288147
200906,서울특별시,1,0,129,215603
200907,서울특별시,1,0,121,191867
200908,서울특별시,1,0,158,281190
200909,서울특별시,1,0,214,487897
200910,서울특별시,1,0,189,434160
200911,서울특별시,1,0,124,418372
200912,서울특별시,1,0,151,372387
201001,서울특별시,1,0,138,334952
201002,서울특별시,1,0,173,294948
201003,서울특별시,1,0,236,407016
201004,서울특별시,1,0,179,417737
201005,서울특별시,1,0,165,327758
201006,서울특별시,1,0,155,231663
201007,서울특별시,1,0,122,199269
201008,서울특별시,1,0,145,211459
201009,서울특별시,1,0,210,482175
201010,서울특별시,1,0,214,424366
201011,서울특별시,1,0,170,364162
201012,서울특별시,1,0,134,427565
201101,서울특별시,1,0,128,336182
201102,서울특별시,1,0,168,298918
201103,서울특별시,1,0,228,415237
201104,서울특별시,1,0,182,348612
201105,서울특별시,1,0,169,333873
201106,서울특별시,1,0,155,225787
201107,서울특별시,1,0,137,197843
201108,서울특별시,1,0,171,264185
201109,서울특별시,1,0,204,473731
201110,서울특별시,1,0,209,429155
201111,서울특별시,1,0,177,394234
201112,서울특별시,1,0,166,422913
201201,서울특별시,1,0,189,400614
201202,서울특별시,1,0,188,403070
201203,서울특별시,1,0,261,447390
201204,서울특별시,1,0,219,391645
201205,서울특별시,1,0,241,352662
201206,서울특별시,1,0,185,217698
201207,서울특별시,1,0,196,201105
201208,서울특별시,1,0,193,232314
201209,서울특별시,1,0,306,485862
201210,서울특별시,1,0,220,419958
201211,서울특별시,1,0,230,382302
201212,서울특별시,1,0,211,350055
201301,서울특별시,1,0,199,399521
201302,서울특별시,1,0,240,370921
201303,서울특별시,1,0,320,442069
201304,서울특별시,1,0,230,414339
201305,서울특별시,1,0,224,345454
201306,서울특별시,1,0,197,221344
201307,서울특별시,1,0,191,221051
201308,서울특별시,1,0,195,276073
201309,서울특별시,1,0,320,491787
201310,서울특별시,1,0,244,415558
201311,서울특별시,1,0,205,408956
201312,서울특별시,1,0,202,366993
201401,서울특별시,1,0,181,446345
201402,서울특별시,1,0,208,498315
201403,서울특별시,1,0,259,397567
201404,서울특별시,1,0,201,412948
201405,서울특별시,1,0,191,313904
201406,서울특별시,1,0,163,227787
201407,서울특별시,1,0,154,257335
201408,서울특별시,1,0,168,288433
201409,서울특별시,1,0,236,485238
201410,서울특별시,1,0,238,461917
201411,서울특별시,1,0,222,457230
201412,서울특별시,1,0,191,401828
201501,서울특별시,1,0,190,377167
201502,서울특별시,1,0,164,391955
201503,서울특별시,1,0,271,456140
201504,서울특별시,1,0,253,429844
201505,서울특별시,1,0,212,320863
201506,서울특별시,1,0,136,204456
201507,서울특별시,1,0,170,200585
201508,서울특별시,1,0,276,279175
201509,서울특별시,1,0,311,490028
201510,서울특별시,1,0,222,407264
201511,서울특별시,1,0,193,419879
201512,서울특별시,1,0,240,475370
201601,서울특별시,1,0,166,398187
201602,서울특별시,1,0,219,430340
201603,서울특별시,1,0,287,447576
201604,서울특별시,1,0,221,437627
201605,서울특별시,1,0,226,328617
201606,서울특별시,1,0,159,252007
201607,서울특별시,1,0,180,250025
201608,서울특별시,1,0,187,297537
201609,서울특별시,1,0,277,441210
201610,서울특별시,1,0,259,433468
201611,서울특별시,1,0,229,443939
201612,서울특별시,1,0,218,575147
201701,서울특별시,1,0,152,328801
201702,서울특별시,1,0,210,338953
201703,서울특별시,1,0,305,479454
201704,서울특별시,1,0,233,459368
201705,서울특별시,1,0,210,342995
201706,서울특별시,1,0,200,259785
201707,서울특별시,1,0,170,239735
201708,서울특별시,1,0,183,327668
201709,서울특별시,1,0,244,504044
201710,서울특별시,1,0,206,367754
201711,서울특별시,1,0,200,482159
201712,서울특별시,1,0,200,552123
201801,서울특별시,1,0,135,507445
201802,서울특별시,1,0,169,313978
201803,서울특별시,1,0,260,410836
201804,서울특별시,1,0,207,452606
