"구분","항목","단위","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월",
"대흥동","Fe","",".7799",".8106",".4938",".4019",".4176",".4383",".2231",".2452",".2625",".2154",".5319",".3253",".7718",".2967",".5926",".7264","1.2031",".4319",".5981",".5041",".7588",".6386",".9295",".6796","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"성수동","Fe","",".9559",".229","1.3814","1.4607","1.491",".9302",".5515",".5538",".7157",".4792","1.4594",".6795","1.075",".6117","1.022","1.3673","2.3232",".8254","1.5053",".7005","1.1499",".7158","1.34",".7899","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"마포구","Fe","","","","","","","","","","","","","","","","","","","","","","","","","",".8185",".835",".662","1.0659",".9243",".8222",".4233",".6909",".4504",".8605",".2839",".5782",".6529",".7838","1.0504","1.0135",".8148",".8237",".4457",".4881",".8444","1.1439",".7194",".5987",".6445",".4618",".7341","1.144","1.7902",".5701",".4972","",".6141",".6437","1.1353",".6884",".659",".6463",".5003","1.2234",".5253",".3575",".3875",".3048",".3185",".5058",".8146",".6469",".8635",".5428",".5632",".5617",".9858",".4696",".1991","",".2673",".7715",".8109",".6962",".3653",".7818",".486",".934",".8987",".7302",".4038",".3357",".2754",".3858","1.055",".7198","1.0996",".4592","1.073",".8129","1.0102",".8036",".5865",".3629",".3934",".4048",".2984",".6942",".4831",".4991",".8483",".3101",".5647",".2746",".2651",".2873",".3918",".4743",".8667",".6045",".82604",".45888",
"광진구","Fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".2148",".5118",".2865",".8393",".6985",".7748",".3409",".8887",".418",".8964",".839",".8412",".3658",".3519",".324",".5705","1.1332",".8512","1.3621",".6263","1.0742",".8701",".8822",".7254",".5924",".3393",".376",".3988",".2211",".6302",".5108",".6066",".9418",".3864",".6322",".2716",".2982",".2896",".3427",".4441",".7878",".6253",".8904",".52994",
"성동구","Fe","","","","","","","","","","","","","","","","","","","","","","","","","",".8679",".9354",".823","1.1244",".9496",".7996",".3509",".5562",".4831",".8335",".2654",".5257",".6353",".8693",".9401","1.0568",".6229",".8064",".3746",".5747",".7737","1.0578",".8528",".5112",".4007",".4311",".7227","1.0064","1.8302",".5095",".4753",".4603",".4786",".698","1.2617",".8147",".5015",".9317",".489","1.1402",".5717",".3555",".3697",".3131",".3362",".5752",".8179",".7986","1.1122",".77",".7594",".7452","1.3436",".527","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"구로구","Fe","",".715",".491",".5594",".5863",".5347",".4353",".3328",".2423",".3072",".2734",".6413",".3323","1.072",".405",".6015",".7658","1.2569",".4367",".6266",".5089",".7604",".6842",".9039",".7041",".7647",".7933",".7617","1.1586",".9436",".8777",".5336",".7644",".5159",".9813",".3526",".7487",".6037",".9106","1.0019",".955",".8677",".7841",".364",".5095",".8519","1.1916",".6906",".5892",".6329",".4199",".7408","1.2116","1.6263",".5581",".4433",".3381",".5386",".6496","1.2353",".7232",".581",".6202",".4134","1.182",".5496",".3277",".3377",".3191",".4255",".543",".8855",".6621","1.075",".6401",".5863",".5348","1.0277",".4875",".2324",".3752",".2917",".8763",".9223",".6478",".4377",".8969",".3544",".7386",".9397",".837",".3862",".2979",".4042",".6281","1.2155",".7382","1.1572",".5158","1.2191",".7405","1.0826",".7441",".5266",".4148",".4206",".5095",".3301",".8756",".5",".5888",".9321",".3607",".6342",".3461",".2683",".2687",".4543",".5681",".9883",".6917",".92924",".6454",
"송파구","Fe","","","","","","","","","","","","","","","","","","","","","","","","","",".8758",".9401",".857","1.1005",".9656","",".3456",".5745",".4914",".9613",".3146",".7406",".7583","1.02",".9597","1.0899",".6305",".8155",".3338",".5217",".7289","1.1082",".6697",".5982",".4445",".4866",".7648",".8944","1.6554",".4783",".4046",".2735",".4979",".733","1.3028",".8545",".4416","1.0126",".4093","1.0939",".5429",".3266",".2954",".2719",".2953",".6073","1.3393",".9224","1.2358",".8672",".8282",".7351","1.3468",".6163",".3276",".3112",".2786",".9393",".7999",".7224","0.5699*",".7448",".4383","1.0549",".8728",".8391",".4936",".2737",".3053",".6386","1.3982",".8499","1.0197",".6081","1.1784",".8936","1.0571",".7275",".5715",".4097",".4067",".5848",".3707",".9349",".6576",".7015","1.07",".4221",".748",".3623",".2914",".2945",".4564",".6417",".8868",".821","1.06232",".65424",
"방이동","Fe","",".8893",".2602","1.4247","1.3932","1.4278",".6034",".7993",".5256",".7596",".6282","1.6897",".741","1.2946",".6274","1.4389","2.0703","2.7365",".9823","1.1916",".7589","1.0491",".7286",".9571",".8344","","","","","",".8205","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"양재동","Fe","",".8035",".5316",".4448",".3843",".3556",".2399",".1025",".1865",".3462",".2797",".4222",".4007",".8119",".561",".6613",".8505","1.1735",".3982",".5537",".4254",".8974",".6113",".9588",".6709",".8363",".7824",".8068","1.2949",".9354",".8434",".5925",".7637",".6062","1.0412",".4842",".939",".8353",".8872",".9326","1.0746",".8089",".8232",".5591",".6388",".964","1.6346",".6886",".783",".4807",".4639",".8368","1.1148","1.6554",".5966",".3662",".3313",".7428",".9514","1.1116",".7976",".4499",".9622",".5926","1.3808",".6406",".3587",".3745",".4208",".446",".6553","1.2594",".9775","1.3906",".832",".7553",".7142","1.3212",".5243",".2885",".3746",".2986",".8021",".7992",".7588",".5218",".9187",".4386",".9976",".8933",".7563",".4264",".3393",".3972",".6467","1.2617",".9251","1.1275",".5272","1.2693",".7663",".8404",".7365",".5448",".4657",".4083",".5302",".2769","1.0667",".6641",".7505",".9953",".3942",".6666",".3756",".2733",".2678",".4274",".4699","1.0167",".8266","1.09982",".69934",
"학장동","Fe","","5.3669","2.5748","2.8543","4.1784","2.6146","1.349","1.6602","1.6968",".3391","1.5582","2.1997","2.2102","1.8066",".6907","1.3081","1.8164","2.6427",".8605",".4028","1.1736",".7155","1.1783","2.2902","2.2566","2.6236","3.1534","3.0475",".8071","1.6498","1.4671",".8491","1.4477",".9398","2.068","1.2747","1.5934","2.3566",".6801","2.1605","1.4611","1.5513","1.2844","1.2174","1.4501","1.4629","1.2876","1.6224","3.1802","2.7226","1.8716","2.273","1.8139","1.8993","1.2553","1.2767",".5542",".7241","1.2423","2.6311","1.2392","1.3747","1.2329","1.1784","1.638",".7203",".4375","1.369",".5797",".7726","1.5534","1.4386","1.553","2.6855","2.0671","1.5029",".7277","1.37",".3991","1.0494",".6404",".4504","1.2335","1.37","2.524","1.0797","1.6756","1.5066","1.3169","1.4145",".8028",".9412",".8388",".767","1.586","1.4605","1.8629","2.3632","1.2169","1.1148","1.1201",".7512","1.3332",".9815",".6132",".78",".8767","1.6206","1.8359","1.8166","1.7329","2.4039","1.0352",".8877",".6101","1.1147","1.5225",".4496","1.0614","2.1041","2.2988","2.12556",".9604",
