측정일시,이산화질소,오존,일산화탄소,아황산,미세,초미세,평균기온,최고기온,최저기온,일교차
20100101,0.038,0.007,0.7,0.007,34.0,,-7.6,-3.6,-12.7,9.1
20100102,0.036,0.009,0.7,0.008,52.0,,-3.6,0.2,-7.4,7.6
20100103,0.036,0.014,0.7,0.007,48.0,,-6.8,-3.2,-10.5,7.3
20100104,0.038,0.011,0.6,0.005,38.0,,-5.9,-3.4,-8.0,4.6
20100105,0.029,0.02,0.5,0.006,49.0,,-9.9,-7.0,-12.3,5.3
20100106,0.039,0.015,0.6,0.006,39.0,,-11.2,-8.1,-13.3,5.2
20100107,0.055,0.009,0.9,0.007,62.0,,-10.1,-5.5,-13.6,8.1
20100108,0.069,0.006,1.2,0.008,81.0,,-8.0,-3.3,-11.8,8.5
20100109,0.075,0.004,1.3,0.008,82.0,,-5.1,-1.9,-8.7,6.8
20100110,0.063,0.005,1.0,0.008,70.0,,-3.4,-0.3,-5.3,5.0
20100111,0.056,0.008,1.1,0.008,76.0,,-5.2,-1.3,-8.3,7.0
20100112,0.031,0.018,0.5,0.008,34.0,,-10.3,-7.3,-12.9,5.6
20100113,0.028,0.018,0.5,0.007,36.0,,-13.2,-10.7,-15.3,4.6
20100114,0.054,0.006,0.8,0.007,48.0,,-9.1,-4.1,-14.4,10.3
20100115,0.053,0.009,0.8,0.009,56.0,,-5.0,-0.6,-7.5,6.9
20100116,0.057,0.008,0.9,0.008,61.0,,-6.4,-2.1,-10.1,8.0
20100117,0.065,0.006,1.1,0.008,56.0,,-4.0,1.4,-9.0,10.4
20100118,0.072,0.003,1.4,0.009,78.0,,-0.5,1.9,-3.9,5.8
20100119,0.07,0.004,1.2,0.01,90.0,,2.7,6.8,-1.6,8.4
20100120,0.074,0.002,1.9,0.007,63.0,,5.8,8.4,2.4,6.0
20100121,0.028,0.018,0.5,0.005,42.0,,-4.1,2.4,-8.0,10.4
20100122,0.027,0.018,0.5,0.005,41.0,,-7.0,-3.4,-9.6,6.2
20100123,0.037,0.014,0.6,0.007,49.0,,-5.3,-0.9,-9.1,8.2
20100124,0.045,0.01,0.7,0.009,59.0,,0.3,3.8,-4.5,8.3
20100125,0.032,0.015,0.6,0.009,127.0,,-3.0,2.6,-8.5,11.1
20100126,0.046,0.01,0.7,0.007,59.0,,-4.1,1.1,-9.5,10.6
20100127,0.057,0.004,1.0,0.006,55.0,,-0.2,3.1,-4.0,7.1
20100128,0.038,0.012,0.6,0.007,55.0,,-0.4,2.7,-5.0,7.7
20100129,0.04,0.013,0.6,0.007,48.0,,-2.1,1.4,-7.3,8.7
20100130,0.054,0.006,0.9,0.011,80.0,,1.5,5.0,-1.7,6.7
20100131,0.06,0.003,1.2,0.009,100.0,,1.8,4.3,-0.5,4.8
20100201,0.045,0.01,1.0,0.008,107.0,,0.8,5.1,-2.6,7.7
20100202,0.024,0.023,0.4,0.004,27.0,,-6.2,-2.6,-9.1,6.5
20100203,0.028,0.019,0.5,0.007,41.0,,-8.0,-5.0,-10.8,5.8
20100204,0.038,0.015,0.6,0.007,47.0,,-4.3,-0.6,-8.3,7.7
20100205,0.031,0.019,0.5,0.006,38.0,,-5.5,-1.9,-7.9,6.0
20100206,0.044,0.011,0.7,0.006,50.0,,-4.7,0.9,-9.6,10.5
20100207,0.058,0.006,1.0,0.007,55.0,,0.7,5.6,-6.3,11.9
20100208,0.065,0.003,1.2,0.009,63.0,,4.0,5.7,3.0,2.7
20100209,0.052,0.002,1.2,0.007,62.0,,3.7,4.4,2.9,1.5
20100210,0.046,0.004,0.8,0.005,33.0,,3.9,5.0,3.1,1.9
20100211,0.031,0.017,0.5,0.004,10.0,,0.6,3.5,-0.8,4.3
20100212,0.036,0.014,0.5,0.003,19.0,,-0.3,1.1,-1.8,2.9
20100213,0.027,0.026,0.5,0.004,32.0,,-2.3,-0.3,-3.3,3.0
20100214,0.036,0.018,0.6,0.005,36.0,,-2.2,1.2,-5.0,6.2
20100215,0.03,0.025,0.6,0.008,57.0,,-3.1,-0.3,-6.0,5.7
20100216,0.035,0.02,0.5,0.005,43.0,,-4.5,-0.4,-8.0,7.6
20100217,0.053,0.009,0.7,0.007,55.0,,-3.2,0.3,-7.2,7.5
20100218,0.033,0.02,0.5,0.007,62.0,,-2.9,-1.0,-4.4,3.4
20100219,0.049,0.012,0.6,0.007,57.0,,-1.0,2.5,-4.7,7.2
20100220,0.059,0.01,0.9,0.009,75.0,,3.0,8.1,-1.6,9.7
20100221,0.052,0.016,0.8,0.008,67.0,,4.8,9.6,0.0,9.6
20100222,0.054,0.017,0.7,0.007,70.0,,6.5,11.0,3.5,7.5
