측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
20180101,강남구,0.034,0.009,0.6,0.006,34,22
20180101,강남대로,0.04,0.007,0.9,0.006,,17
20180101,강동구,0.039,0.01,0.7,0.005,49,24
20180101,강변북로,0.034,0.008,0.7,0.005,48,16
20180101,강북구,0.026,0.018,0.6,0.004,38,18
20180101,강서구,0.038,0.011,0.7,0.004,,13
20180101,공항대로,0.045,0.007,0.6,0.006,51,21
20180101,관악구,0.037,0.008,0.5,0.008,38,24
20180101,광진구,0.038,0.012,0.7,0.005,42,22
20180101,구로구,0.025,0.008,0.6,0.007,48,28
20180101,금천구,0.037,0.01,0.6,0.005,39,21
20180101,노원구,0.034,0.011,0.8,0.007,42,21
20180101,도봉구,0.03,0.016,0.6,0.006,45,22
20180101,도산대로,0.039,0.009,0.6,0.006,52,20
20180101,동대문구,0.032,0.013,0.6,0.006,46,21
20180101,동작구,0.036,0.012,0.6,0.005,40,19
20180101,동작대로,0.052,0.005,0.7,0.005,49,16
20180101,마포구,0.034,0.011,0.6,0.006,39,21
20180101,서대문구,,,,,,
20180101,서초구,0.031,0.01,0.6,0.005,49,24
20180101,성동구,0.033,0.009,,0.006,48,23
20180101,성북구,0.041,0.01,0.7,0.007,43,19
20180101,송파구,0.028,0.012,0.7,0.005,53,23
20180101,신촌로,0.045,0.005,1,0.008,58,23
20180101,양천구,0.037,0.008,0.7,0.005,37,21
20180101,영등포구,0.031,0.01,0.7,0.007,48,24
20180101,영등포로,0.05,0.006,0.6,0.006,51,18
20180101,용산구,0.029,0.011,0.3,0.005,39,18
20180101,은평구,0.015,0.014,0.7,0.003,41,21
20180101,정릉로,0.05,0.007,0.8,0.006,56,22
20180101,종로,,,,,,
20180101,종로구,0.03,0.015,0.6,0.007,34,17
20180101,중구,0.029,0.015,0.6,0.005,33,18
20180101,중랑구,0.037,0.01,0.7,0.007,48,23
20180101,천호대로,0.045,0.007,0.6,0.006,48,19
20180101,청계천로,0.034,0.012,0.4,0.006,37,16
20180101,한강대로,0.04,0.011,0.5,0.005,50,16
20180101,홍릉로,0.041,0.009,0.6,0.008,43,22
20180101,화랑로,0.034,0.007,0.7,0.005,43,16
20180102,강남구,0.038,0.008,0.7,0.006,33,25
20180102,강남대로,0.052,0.005,1,0.006,58,17
20180102,강동구,0.04,0.01,0.8,0.005,46,25
20180102,강변북로,0.036,0.007,0.8,0.005,48,16
