측정일시,측정소명,이산화질소,오존,일산화탄소,아황산,미세,초미세
20230701,강남구,0.0187,0.0532,0.39,0.0032,29,21
20230701,강남대로,0.0296,0.0361,0.45,0.0021,28,20
20230701,강동구,0.0124,0.0393,0.4,0.0025,29,18
20230701,강변북로,0.0389,0.0288,0.63,0.002,28,18
20230701,강북구,0.0069,0.0419,0.39,0.0022,30,19
20230701,강서구,0.0118,0.0482,0.4,0.0027,22,15
20230701,공항대로,0.0225,0.0397,0.37,0.0028,25,13
20230701,관악구,0.02,0.0519,0.47,0.003,33,19
20230701,광진구,0.014,0.0521,0.29,0.0031,28,19
20230701,구로구,0.0137,0.0447,0.34,0.0025,21,13
20230701,금천구,0.0137,0.0437,0.47,0.0029,34,21
20230701,노원구,0.0103,0.0417,0.41,0.0027,28,18
20230701,도봉구,0.0072,0.0507,0.34,0.0017,21,15
20230701,도산대로,0.0211,0.0395,0.64,0.0023,28,18
20230701,동대문구,0.0113,0.0522,0.41,0.0031,29,19
20230701,동작구,0.0154,0.0543,0.4,0.0026,30,21
20230701,동작대로,0.0302,0.0485,0.57,0.0036,32,21
20230701,마포구,0.0155,0.0487,0.39,0.0029,25,15
20230701,서대문구,0.0109,0.0459,0.44,0.0025,24,12
20230701,서초구,0.0186,0.0502,0.4,0.0029,28,15
20230701,성동구,0.0171,0.0516,0.38,0.0034,28,20
20230701,성북구,0.0121,0.046,0.42,0.0028,27,17
20230701,송파구,0.0223,0.0557,0.46,0.0026,33,20
20230701,신촌로,0.028,0.031,0.56,0.0028,31,17
20230701,양천구,0.0127,0.0488,0.43,0.0028,23,16
20230701,영등포구,0.0173,0.0513,0.4,0.0027,23,14
20230701,영등포로,0.0297,0.0351,0.52,0.0024,28,19
20230701,용산구,0.0164,0.0564,0.49,0.0031,30,22
20230701,은평구,0.0076,0.0338,0.44,0.0024,24,18
20230701,정릉로,0.0214,0.037,0.48,0.0027,28,18
20230701,종로,0.0166,0.0339,0.49,0.003,26,16
20230701,종로구,0.0123,0.0476,0.42,0.0028,25,16
20230701,종로구,0.0123,0.0476,0.42,0.0028,25,16
20230701,중구,0.0141,0.0448,0.39,0.0026,21,17
20230701,중랑구,0.0191,0.0467,0.35,0.0024,28,20
20230701,천호대로,0.0259,0.0465,0.47,0.0024,30,16
20230701,청계천로,0.0177,0.0358,0.42,0.0032,34,18
20230701,한강대로,0.0202,0.0495,0.55,0.0035,28,20
20230701,홍릉로,0.0254,0.0418,0.48,0.003,28,19
20230701,화랑로,0.0247,0.0364,0.48,0.0025,32,19
20230702,강남구,0.0128,0.0448,0.33,0.0031,21,15
20230702,강남대로,0.0183,0.0316,0.37,0.0022,16,12
20230702,강동구,0.0098,0.036,0.36,0.0024,21,14
20230702,강변북로,0.0279,0.0244,0.54,0.002,19,10
20230702,강북구,0.005,0.0377,0.34,0.0021,23,14
20230702,강서구,0.0119,0.0341,0.38,0.0027,19,12
20230702,공항대로,0.0169,0.03,0.33,0.0029,18,11
20230702,관악구,0.0123,0.0415,0.37,0.0028,22,13
20230702,광진구,0.012,0.0443,0.23,0.0031,20,14
20230702,구로구,0.0087,0.0345,0.27,0.0022,11,7
20230702,금천구,0.0109,0.0332,0.39,0.003,22,15
20230702,노원구,0.0086,0.0369,0.37,0.0027,21,14
20230702,도봉구,0.0052,0.0443,0.29,0.0016,14,12
20230702,도산대로,0.0139,0.0328,0.55,0.0022,19,10
20230702,동대문구,0.0098,0.0413,0.37,0.003,22,14
20230702,동작구,0.0105,0.0439,0.32,0.0026,20,13
20230702,동작대로,0.0207,0.0391,0.45,0.0036,21,14
20230702,마포구,0.0134,0.0372,0.38,0.0028,18,12
20230702,서대문구,0.0101,0.0352,0.39,0.0025,17,9
20230702,서초구,0.0129,0.0404,0.35,0.0029,18,10
20230702,성동구,0.0126,0.0419,0.34,0.0028,20,14
20230702,성북구,0.0095,0.0395,0.36,0.0028,20,12
20230702,송파구,0.0121,0.0496,0.38,0.0025,23,15
20230702,신촌로,0.0194,0.0252,0.47,0.0027,23,12
20230702,양천구,0.0112,0.0341,0.38,0.0027,19,13
20230702,영등포구,0.0124,0.0379,0.35,0.0025,17,10
20230702,영등포로,0.0192,0.0287,0.43,0.0023,19,13
20230702,용산구,0.0123,0.0451,0.41,0.003,20,16
20230702,은평구,0.0071,0.0251,0.44,0.0024,17,15
20230702,정릉로,0.0171,0.0316,0.41,0.0026,21,14
20230702,종로,0.0113,0.0278,0.41,0.003,19,12
20230702,종로구,0.0102,0.0375,0.37,0.0027,18,12
20230702,종로구,0.0102,0.0375,0.37,0.0027,18,12
20230702,중구,0.0121,0.0351,0.35,0.0026,15,13
20230702,중랑구,0.0178,0.0385,0.31,0.0024,21,15
20230702,천호대로,0.018,0.0434,0.4,0.0023,21,11
20230702,청계천로,0.0134,0.0295,0.36,0.0032,26,13
20230702,한강대로,0.017,0.0381,0.5,0.0035,19,13
20230702,홍릉로,0.0177,0.0369,0.4,0.0031,21,15
20230702,화랑로,0.018,0.0313,0.4,0.0024,22,13
20230703,강남구,0.0184,0.0498,0.37,0.003,34,23
20230703,강남대로,0.0291,0.0327,0.48,0.0023,29,20
20230703,강동구,0.012,0.023,0.39,0.0024,27,17
20230703,강변북로,0.04,0.027,0.57,0.0019,31,16
20230703,강북구,0.0081,0.0532,0.37,0.0022,33,21
20230703,강서구,0.0158,0.055,0.45,0.0026,30,21
20230703,공항대로,0.0274,0.0442,0.39,0.0026,31,20
20230703,관악구,0.0169,0.0557,0.43,0.0028,40,21
20230703,광진구,0.0153,0.0488,0.25,0.0028,33,21
20230703,구로구,0.0129,0.0487,0.33,0.0021,24,15
20230703,금천구,0.0136,0.045,0.45,0.0028,36,23
20230703,노원구,0.0111,0.0482,0.38,0.0027,29,20
