측정일시,이산화질소,오존,일산화탄소,아황산,미세,초미세
20120101,0.031,0.008,1.17,0.0093,88.3,57.3
20120102,0.036,0.005,1.2,0.0087,100.0,62.7
20120103,0.041,0.0063,1.27,0.0073,96.0,63.0
20120104,0.024,0.013,0.83,0.0103,70.3,42.0
20120105,0.037,0.0073,0.77,0.0063,53.3,29.3
20120106,0.042,0.0057,0.93,0.0073,59.3,31.7
20120107,0.052,0.0033,1.23,0.0083,96.7,55.7
20120108,0.05,0.0043,1.27,0.0083,84.7,56.3
20120109,0.04,0.005,1.23,0.0197,118.3,73.3
20120110,0.039,0.0083,1.17,0.0117,96.7,56.7
20120111,0.025,0.0127,0.77,0.009,63.3,31.3
20120112,0.039,0.005,0.93,0.0063,54.3,33.0
20120113,0.038,0.0067,1.07,0.0087,68.3,41.3
20120114,0.041,0.0053,0.97,0.0067,44.7,25.0
20120115,0.031,0.008,0.83,0.0063,51.3,27.3
20120116,0.044,0.0043,1.13,0.0063,63.0,36.0
20120117,0.048,0.004,1.13,0.0063,62.7,34.7
20120118,0.05,0.0047,1.47,0.0147,126.7,73.3
20120119,0.041,0.0063,1.03,0.0083,69.3,43.7
20120120,0.029,0.0137,0.7,0.0047,19.7,11.7
20120121,0.029,0.012,0.87,0.0043,50.7,33.7
20120122,0.012,0.023,0.5,0.004,58.5,23.0
20120123,0.013,0.0235,0.45,0.004,26.0,12.0
20120124,0.02,0.02,0.5,0.005,27.0,14.0
20120125,0.02,0.018,0.8,0.0057,27.3,14.3
20120126,0.043,0.005,0.8,0.0095,50.0,31.0
20120127,0.042,0.008,1.0,0.01,86.5,60.0
20120128,0.03,0.0125,0.65,0.006,38.5,16.0
20120129,0.022,0.0185,0.6,0.0055,46.5,21.5
20120130,0.024,0.0155,0.55,0.006,41.5,17.5
20120131,0.033,0.0105,0.7,0.006,50.0,28.0
20120201,0.019,0.0215,0.5,0.0082,48.0,25.2
20120202,0.024,0.0158,0.5,0.007,46.2,25.0
20120203,0.039,0.0087,0.7,0.0063,41.3,24.0
20120204,0.038,0.0127,0.83,0.009,53.0,34.0
20120205,0.046,0.0087,0.87,0.0073,49.7,33.7
20120206,0.048,0.0057,0.97,0.008,46.3,35.0
20120207,0.015,0.0202,0.4,0.0052,90.2,16.0
20120208,0.02,0.018,0.38,0.005,43.2,12.5
20120209,0.028,0.014,0.5,0.006,35.2,14.2
20120210,0.031,0.0142,0.68,0.0065,40.0,17.5
20120211,0.029,0.014,0.55,0.0065,32.8,14.2
20120212,0.035,0.0105,0.62,0.0055,33.5,18.2
20120213,0.042,0.0098,0.72,0.009,55.2,29.5
20120214,0.039,0.0145,0.92,0.0115,93.0,53.8
20120215,0.023,0.0168,0.55,0.006,62.2,20.2
20120216,0.022,0.019,0.55,0.0058,50.8,17.2
20120217,0.016,0.0225,0.45,0.0052,44.8,14.5
20120218,0.018,0.0207,0.45,0.0052,42.2,16.8
20120219,0.024,0.019,0.52,0.006,34.0,15.0
20120220,0.044,0.0088,0.82,0.0082,49.8,28.2
20120221,0.052,0.0042,1.08,0.0098,88.5,56.8
20120222,0.048,0.0102,1.03,0.0092,82.2,46.5
20120223,0.034,0.0185,0.88,0.0082,65.8,50.2
20120224,0.045,0.012,1.08,0.0085,97.2,66.8
20120225,0.024,0.02,0.7,0.0058,65.5,37.5
20120226,0.017,0.0265,0.52,0.0042,43.5,16.5
20120227,0.03,0.0178,0.62,0.0052,44.8,17.2
20120228,0.046,0.0075,0.88,0.006,49.5,25.0
20120229,0.046,0.0095,0.9,0.0062,48.0,27.2
20120301,0.062,0.0098,0.82,0.0067,63.7,34.9
20120302,0.047,0.0123,0.64,0.0052,42.8,24.9
20120303,0.038,0.0174,0.53,0.0043,23.8,14.0
20120304,0.028,0.0241,0.42,0.0033,17.9,11.2
20120305,0.033,0.0193,0.44,0.0032,13.8,7.7
20120306,0.038,0.0146,0.83,0.0053,62.7,42.9
20120307,0.046,0.02,0.69,0.0061,68.6,47.4
20120308,0.044,0.0179,0.59,0.0054,56.4,34.3
20120309,0.049,0.0135,0.68,0.0051,51.3,30.8
20120310,0.044,0.0169,0.64,0.005,41.5,25.4
20120311,0.021,0.0284,0.42,0.0047,39.5,20.4
20120312,0.032,0.0221,0.47,0.0049,32.7,16.1
20120313,0.049,0.0152,0.75,0.0074,56.0,30.1
20120314,0.05,0.0128,0.69,0.0061,67.4,39.4
20120315,0.058,0.0098,0.83,0.0054,66.8,36.7
20120316,0.059,0.0101,0.78,0.0054,55.8,30.8
20120317,0.05,0.0154,0.65,0.0044,40.2,27.7
20120318,0.038,0.0191,0.7,0.0055,62.1,36.8
20120319,0.034,0.0188,0.48,0.0037,26.7,13.6
20120320,0.036,0.0229,0.51,0.0047,40.7,20.3
20120321,0.047,0.017,0.61,0.0055,44.8,22.4
20120322,0.059,0.0172,0.8,0.0098,92.4,55.3
20120323,0.046,0.0197,0.69,0.0043,34.4,23.6
20120324,0.028,0.0256,0.51,0.0037,27.3,15.5
20120325,0.025,0.0264,0.42,0.0033,57.1,16.0
20120326,0.039,0.0231,0.51,0.0047,44.2,19.4
20120327,0.054,0.0153,0.66,0.0061,58.4,28.4
20120328,0.057,0.0222,0.87,0.0082,121.8,67.6
20120329,0.06,0.017,0.89,0.0067,95.4,52.3
20120330,0.044,0.0153,0.61,0.0045,58.2,31.1
20120331,0.032,0.0242,0.49,0.0042,69.8,18.6
20120401,0.029,0.0245,0.43,0.0039,85.1,17.4
20120402,0.058,0.0056,0.77,0.0043,86.8,27.7
20120403,0.037,0.0203,0.54,0.0035,25.9,16.9
20120404,0.045,0.0182,0.78,0.0072,87.3,40.0
20120405,0.039,0.0236,0.56,0.0045,49.5,20.8
20120406,0.036,0.023,0.48,0.0038,40.8,16.3
20120407,0.042,0.0212,0.52,0.0042,42.1,21.5
20120408,0.046,0.0301,0.59,0.0063,61.5,28.2
20120409,0.061,0.0264,0.69,0.0068,87.2,47.1
20120410,0.067,0.0132,0.92,0.0075,102.4,63.2
20120411,0.036,0.0203,0.48,0.0038,25.1,15.3
20120412,0.051,0.0155,0.6,0.0066,51.8,21.9
20120413,0.06,0.0113,0.72,0.0091,63.7,32.6
20120414,0.054,0.0123,0.64,0.0072,61.4,34.3
20120415,0.052,0.0164,0.63,0.0061,43.6,23.8
20120416,0.057,0.0123,0.66,0.0055,50.0,28.2
20120417,0.065,0.0136,0.73,0.0058,61.2,29.3
20120418,0.075,0.0118,0.83,0.0071,58.2,31.0
20120419,0.07,0.0225,0.82,0.0065,62.7,37.0
20120420,0.049,0.0289,0.61,0.0056,47.2,26.8
20120421,0.034,0.0267,0.4,0.0028,16.6,10.1
20120422,0.03,0.023,0.46,0.0029,13.7,9.8
20120423,0.056,0.013,0.89,0.0053,92.9,50.2
20120424,0.067,0.0116,1.03,0.0054,86.8,43.7
20120425,0.056,0.0176,0.63,0.0043,50.2,22.4
20120426,0.037,0.0245,0.48,0.0042,27.4,13.9
20120427,0.052,0.0181,0.59,0.0051,45.3,16.7
20120428,0.05,0.0234,0.58,0.0058,49.6,18.9
20120429,0.048,0.0192,0.64,0.0048,55.2,24.0
20120430,0.056,0.0173,0.69,0.0044,45.5,20.8
20120501,0.051,0.0201,0.66,0.0041,26.6,13.8
20120502,0.04,0.0196,0.52,0.0038,20.8,10.8
20120503,0.036,0.0241,0.46,0.0033,18.0,9.7
20120504,0.054,0.0278,0.63,0.0065,52.7,26.4
20120505,0.046,0.0442,0.66,0.0071,91.6,42.7
20120506,0.04,0.0361,0.5,0.0048,53.9,22.6
20120507,0.072,0.0204,0.69,0.0086,68.3,34.3
20120508,0.082,0.0197,0.79,0.0077,74.7,42.1
20120509,0.076,0.0255,0.87,0.0086,105.8,63.6
20120510,0.056,0.0207,0.64,0.0054,63.6,36.7
20120511,0.04,0.0188,0.52,0.0035,30.8,16.8
20120512,0.043,0.0183,0.56,0.0046,49.3,28.0
20120513,0.048,0.0352,0.64,0.0058,71.6,45.1
20120514,0.053,0.0113,0.77,0.0046,56.2,37.1
20120515,0.046,0.022,0.61,0.0045,56.8,30.8
20120516,0.051,0.0268,0.66,0.0058,70.4,39.4
20120517,0.051,0.0248,0.66,0.0051,52.7,30.9
20120518,0.061,0.0189,0.72,0.0057,57.0,32.0
20120519,0.066,0.0223,0.68,0.0058,49.7,29.2
20120520,0.055,0.0269,0.62,0.0049,50.7,27.6
20120521,0.066,0.0236,0.63,0.0051,46.6,27.9
20120522,0.065,0.0229,0.62,0.0048,42.3,24.8
20120523,0.064,0.0281,0.63,0.0063,52.0,30.6
20120524,0.066,0.0163,0.67,0.0077,57.1,33.3
20120525,0.064,0.0268,0.68,0.0086,72.2,39.7
20120526,0.063,0.0264,0.73,0.0078,82.0,45.2
20120527,0.04,0.0219,0.52,0.0054,50.4,28.8
20120528,0.047,0.0224,0.59,0.0056,64.0,41.0
20120529,0.057,0.0235,0.56,0.0067,49.1,26.2
20120530,0.059,0.0133,0.62,0.0048,52.8,29.8
20120531,0.051,0.0227,0.58,0.0047,55.6,34.9
20120601,0.058,0.0178,0.65,0.0045,59.4,35.1
20120602,0.061,0.0317,0.61,0.0049,55.0,34.2
20120603,0.055,0.0314,0.56,0.0052,47.7,29.2
20120604,0.062,0.0205,0.62,0.0064,51.2,31.5
20120605,0.04,0.0194,0.48,0.0053,35.4,21.2
20120606,0.039,0.0299,0.53,0.0067,60.8,40.5
20120607,0.055,0.0235,0.69,0.0081,107.2,69.7
20120608,0.063,0.0111,0.75,0.0064,62.8,40.3
20120609,0.057,0.0329,0.68,0.0047,60.7,41.1
20120610,0.051,0.0291,0.7,0.0069,69.6,44.8
20120611,0.042,0.0295,0.52,0.0044,35.4,21.5
20120612,0.047,0.0261,0.55,0.0038,36.3,21.5
20120613,0.045,0.0235,0.52,0.0038,32.2,19.3
20120614,0.044,0.0236,0.49,0.0034,28.8,16.4
20120615,0.041,0.0228,0.49,0.0034,28.9,16.5
20120616,0.045,0.0222,0.53,0.0037,35.9,22.2
20120617,0.037,0.0441,0.56,0.0052,46.1,29.8
20120618,0.059,0.0275,0.7,0.0067,52.6,33.7
20120619,0.048,0.0272,0.56,0.0044,44.5,26.5
20120620,0.048,0.0333,0.49,0.0042,33.4,19.4
20120621,0.057,0.0317,0.61,0.0049,59.8,37.9
20120622,0.053,0.0144,0.62,0.0056,49.1,30.4
20120623,0.049,0.0205,0.52,0.0045,37.4,22.8
20120624,0.045,0.0299,0.56,0.0037,60.3,41.4
20120625,0.037,0.0304,0.44,0.0032,28.9,16.9
20120626,0.03,0.0236,0.4,0.0031,18.0,8.5
20120627,0.035,0.0197,0.4,0.0032,16.1,8.4
20120628,0.049,0.0175,0.51,0.0042,25.9,14.3
20120629,0.064,0.0204,0.62,0.0052,46.1,27.7
20120630,0.03,0.0122,0.47,0.0031,16.8,11.4
20120701,0.037,0.0291,0.7,0.0034,54.9,34.1
20120702,0.046,0.0238,0.57,0.0041,39.1,25.4
20120703,0.055,0.0098,0.71,0.0042,29.5,17.4
20120704,0.046,0.0182,0.71,0.0039,69.2,42.0
20120705,0.05,0.0099,0.67,0.0037,36.8,21.5
20120706,0.043,0.0144,0.59,0.0034,17.0,10.6
20120707,0.046,0.0178,0.67,0.0041,30.6,18.2
20120708,0.045,0.0199,0.6,0.0046,37.4,22.4
20120709,0.06,0.0185,0.71,0.0049,47.6,29.2
20120710,0.058,0.0181,0.75,0.0039,55.6,35.4
20120711,0.039,0.0154,0.59,0.0039,28.2,17.9
20120712,0.057,0.0232,0.83,0.0049,49.9,31.3
20120713,0.058,0.0225,0.8,0.004,43.9,27.3
20120714,0.03,0.0084,0.57,0.0034,18.0,9.7
20120715,0.024,0.0109,0.44,0.0031,10.2,5.4
20120716,0.04,0.0074,0.62,0.0037,22.7,13.8
20120717,0.049,0.0089,0.71,0.0037,34.1,18.9
20120718,0.04,0.0056,0.74,0.0034,29.6,16.6
20120719,0.026,0.0109,0.54,0.0034,18.4,11.9
20120720,0.045,0.0157,0.61,0.0037,32.1,22.7
20120721,0.052,0.0207,0.63,0.0041,53.1,35.6
20120722,0.038,0.0098,0.54,0.0033,38.7,26.2
20120723,0.029,0.0073,0.49,0.0034,23.2,13.9
20120724,0.03,0.0093,0.44,0.004,22.9,13.9
20120725,0.032,0.0072,0.51,0.0042,25.1,15.2
20120726,0.033,0.0089,0.51,0.0042,28.1,17.6
20120727,0.035,0.0102,0.51,0.0046,38.9,26.7
20120728,0.033,0.0117,0.47,0.0041,34.4,24.1
20120729,0.022,0.0083,0.37,0.0036,19.1,11.0
20120730,0.03,0.0103,0.43,0.0037,21.0,11.6
20120731,0.034,0.0144,0.45,0.0038,25.3,15.9
20120801,0.041,0.0198,0.54,0.0034,34.4,24.1
20120802,0.031,0.0183,0.39,0.0032,19.9,13.2
20120803,0.032,0.0151,0.39,0.0034,18.2,11.9
20120804,0.037,0.0259,0.39,0.0034,23.8,15.9
20120805,0.036,0.0256,0.42,0.0034,25.9,18.8
20120806,0.043,0.0224,0.5,0.0036,30.4,20.2
20120807,0.034,0.0183,0.43,0.0035,18.6,12.2
20120808,0.046,0.0341,0.52,0.0037,32.1,20.1
20120809,0.046,0.0305,0.61,0.0037,45.9,32.1
20120810,0.047,0.0115,0.66,0.0042,36.2,25.9
20120811,0.048,0.026,0.61,0.0042,39.2,28.4
20120812,0.034,0.0129,0.57,0.0046,29.6,22.1
20120813,0.037,0.0204,0.52,0.0036,16.3,10.1
20120814,0.038,0.0196,0.55,0.0038,22.4,13.9
20120815,0.03,0.0128,0.51,0.0036,15.4,9.9
20120816,0.05,0.0181,0.74,0.0042,32.2,21.1
20120817,0.038,0.0082,0.7,0.0041,27.7,17.3
20120818,0.032,0.0039,0.64,0.0039,25.9,16.1
20120819,0.021,0.0069,0.44,0.0037,19.6,12.3
20120820,0.03,0.0056,0.56,0.0036,16.1,10.8
20120821,0.035,0.006,0.58,0.0034,15.8,10.6
20120822,0.039,0.0149,0.64,0.0032,26.1,17.9
20120823,0.036,0.0099,0.62,0.0034,22.1,13.9
20120824,0.032,0.0107,0.53,0.0034,15.9,8.9
20120825,0.034,0.0064,0.64,0.0036,23.4,13.6
20120826,0.033,0.0115,0.57,0.0034,27.1,16.1
20120827,0.034,0.0119,0.51,0.0032,19.9,12.2
20120828,0.015,0.0179,0.29,0.0029,15.1,7.1
20120829,0.033,0.0209,0.61,0.0044,43.9,26.7
20120830,0.04,0.0104,0.67,0.0035,35.8,26.1
20120831,0.042,0.0204,0.61,0.0032,38.2,26.0
20120901,0.039,0.0176,0.67,0.0037,56.5,36.5
20120902,0.036,0.0177,0.51,0.0035,27.4,19.2
20120903,0.053,0.0151,0.75,0.0043,58.9,39.5
