측정일시,측정소명,이산화질소,오존,일산화탄소,아황산,미세,초미세
20180101,강남대로,0.04,0.007,0.9,0.006,,17.0
20180101,강서구,0.038,0.011,0.7,0.004,,13.0
20180101,서대문구,,,,,,
20180101,성동구,0.033,0.009,,0.006,48.0,23.0
20180101,종로,,,,,,
20180102,서대문구,,,,,,
20180102,종로,,,,,,
20180103,서대문구,,,,,,
20180104,서대문구,,,,,,
20180105,서대문구,,,,,,
20180106,서대문구,,,,,,
20180107,서대문구,,,,,,
20180108,서대문구,,,,,,
20180109,서대문구,,,,,,
20180110,서대문구,,,,,,
20180110,성동구,0.016,0.017,,0.004,36.0,15.0
20180111,서대문구,,,,,,
20180111,성동구,0.017,0.015,,0.005,34.0,24.0
20180112,서대문구,,,,,,
20180113,서대문구,,,,,,
20180114,양천구,0.043,0.008,0.8,,65.0,56.0
20180127,노원구,0.039,0.011,0.8,0.006,53.0,
20180128,노원구,0.024,0.024,0.6,0.006,37.0,
20180211,관악구,0.022,0.023,,0.008,45.0,16.0
20180212,관악구,0.028,0.02,,0.008,41.0,17.0
20180213,관악구,0.033,0.019,,0.008,43.0,17.0
20180224,구로구,,,,,,
20180224,서초구,,,,,,
20180225,구로구,,,,,,
20180225,서초구,,,,,,
20180226,구로구,,,,,,
20180226,서초구,,,,,,
20180227,구로구,,,,,,
20180227,서초구,,,,,,
20180227,용산구,,,,,,
20180228,구로구,,,,,,
20180228,서초구,,,,,,
20180228,용산구,,,,,,
20180301,강변북로,0.026,0.023,0.6,,47.0,31.0
20180301,광진구,0.019,0.034,0.6,,40.0,28.0
20180301,구로구,,,,,,
20180301,서초구,,,,,,
20180301,용산구,,,,,,
20180302,강변북로,0.041,0.013,0.6,,84.0,30.0
20180302,구로구,,,,,,
20180302,서초구,,,,,,
20180302,용산구,,,,,,
20180303,구로구,,,,,,
20180303,서초구,,,,,,
20180303,용산구,,,,,,
20180304,구로구,,,,,,
20180304,서초구,,,,,,
20180304,용산구,,,,,,
20180305,구로구,,,,,,
20180305,용산구,,,,,,
20180306,용산구,,,,,,
20180307,용산구,,,,,,
20180308,용산구,,,,,,
20180309,용산구,,,,,,
20180310,용산구,,,,,,
20180311,마포구,0.023,0.035,0.4,,64.0,46.0
20180311,용산구,,,,,,
20180312,용산구,,,,,,
20180313,마포구,0.042,,0.5,0.003,58.0,38.0
20180314,영등포구,0.025,,,0.005,27.0,12.0
20180318,중랑구,0.039,,0.7,0.006,56.0,41.0
20180320,관악구,0.015,,0.3,0.003,22.0,9.0
20180321,중랑구,0.022,0.019,,0.005,11.0,5.0
20180322,관악구,0.032,0.031,0.5,,47.0,28.0
20180322,광진구,,,,,,
20180323,관악구,0.044,0.031,0.6,,73.0,54.0
20180323,광진구,,,,,,
20180323,신촌로,0.062,0.016,,0.007,71.0,50.0
20180324,관악구,0.044,0.041,0.8,,118.0,91.0
20180324,광진구,,,,,,
20180324,신촌로,0.074,0.014,,0.008,122.0,88.0
20180325,관악구,0.032,0.05,0.8,,120.0,101.0
20180325,광진구,,,,,,
20180325,신촌로,0.062,0.02,,0.005,148.0,104.0
20180326,광진구,,,,,,
20180326,신촌로,0.075,0.012,,0.006,122.0,76.0
20180328,광진구,,,,,62.0,37.0
20180328,중랑구,0.023,0.031,,0.007,51.0,36.0
20180329,광진구,,,,,61.0,36.0
20180330,광진구,,,,,64.0,33.0
20180331,광진구,,,,,60.0,29.0
20180401,광진구,,,,,70.0,31.0
20180402,광진구,,,,,70.0,24.0
20180403,광진구,,,,,70.0,18.0
20180404,광진구,,,,,14.0,6.0
20180405,광진구,,,,,7.0,4.0
20180405,도봉구,,,,,3.0,1.0
20180406,도봉구,,,,,107.0,27.0
20180407,도봉구,,,,,53.0,27.0
20180408,도봉구,,,,,28.0,16.0
20180409,도봉구,,,,,32.0,23.0
20180410,도봉구,,,,,41.0,16.0
20180411,도봉구,,,,,69.0,27.0
20180412,도봉구,,,,,48.0,16.0
