측정일시,이산화질소,오존,일산화탄소,아황산,미세,초미세
20230101,0.025,0.0211,0.7,0.0038,55.5,39.8
20230102,0.021,0.0189,0.48,0.0033,25.4,11.7
20230103,0.031,0.0136,0.6,0.0034,30.8,17.1
20230104,0.042,0.01,0.7,0.0038,36.2,23.1
20230105,0.053,0.0052,0.94,0.004,49.4,35.6
20230106,0.05,0.0096,0.92,0.004,75.0,59.2
20230107,0.031,0.0209,0.98,0.0035,118.8,92.0
20230108,0.037,0.0103,0.87,0.0031,133.5,59.9
20230109,0.034,0.0144,0.7,0.0037,97.2,42.2
20230110,0.044,0.008,0.75,0.0038,61.0,32.6
20230111,0.061,0.0048,1.01,0.0045,74.7,48.4
20230112,0.057,0.0058,0.92,0.0043,67.2,46.0
20230113,0.038,0.0067,0.75,0.0036,21.9,13.4
20230114,0.025,0.01,0.62,0.0032,13.7,8.6
20230115,0.015,0.0185,0.44,0.0026,13.8,10.0
20230116,0.018,0.0227,0.43,0.0027,23.0,13.0
20230117,0.034,0.0099,0.56,0.0029,32.8,17.4
20230118,0.032,0.0135,0.61,0.0031,54.6,25.0
20230119,0.037,0.0129,0.69,0.0034,62.5,25.8
20230120,0.015,0.0252,0.42,0.0027,68.5,17.7
20230121,0.024,0.0163,0.47,0.0027,24.9,10.9
20230122,0.025,0.0169,0.45,0.0026,27.0,12.4
20230123,0.026,0.0175,0.62,0.0028,54.9,29.2
20230124,0.007,0.0293,0.35,0.0024,28.7,10.2
20230125,0.024,0.0181,0.45,0.0026,22.1,8.8
20230201,0.024,0.0263,0.58,0.0029,66.1,37.6
20230202,0.022,0.0193,0.45,0.0029,43.6,16.1
20230203,0.027,0.017,0.51,0.0032,41.0,19.0
20230204,0.033,0.0181,0.6,0.0036,39.7,24.4
20230205,0.039,0.0199,0.8,0.0037,66.4,50.0
20230206,0.048,0.015,0.89,0.0036,79.5,59.6
20230207,0.049,0.0135,0.86,0.0033,79.3,59.9
20230208,0.034,0.0196,0.76,0.0034,70.6,51.0
20230209,0.032,0.0194,0.57,0.0033,38.1,23.6
20230210,0.024,0.0236,0.43,0.0027,22.7,16.8
20230211,0.041,0.0117,0.68,0.0029,44.3,34.2
20230212,0.036,0.0162,0.81,0.0029,70.5,57.8
20230213,0.028,0.0241,0.58,0.0028,34.2,23.2
20230214,0.022,0.0245,0.53,0.0032,40.3,25.1
20230215,0.021,0.0255,0.37,0.0027,17.7,9.3
20230216,0.027,0.0214,0.43,0.0028,29.1,19.0
20230217,0.043,0.014,0.6,0.0031,45.3,31.6
20230218,0.053,0.0056,0.86,0.0036,82.9,63.2
20230219,0.02,0.0316,0.49,0.0029,49.4,35.5
20230220,0.018,0.0287,0.37,0.0029,39.9,9.1
20230221,0.023,0.024,0.4,0.0031,31.4,15.2
20230222,0.042,0.0146,0.58,0.0039,44.3,27.2
20230223,0.031,0.0248,0.51,0.0034,42.1,25.0
20230224,0.025,0.0272,0.49,0.003,52.2,30.5
20230225,0.017,0.0299,0.42,0.0032,38.2,18.7
20230301,0.022,0.0312,0.41,0.003,36.0,18.9
20230302,0.016,0.0316,0.35,0.0029,54.3,11.0
20230303,0.031,0.0206,0.48,0.003,37.9,14.6
20230304,0.035,0.034,0.61,0.0037,78.0,45.9
20230305,0.035,0.0305,0.67,0.0033,75.0,50.5
20230306,0.046,0.0278,0.63,0.0039,56.4,33.0
20230307,0.041,0.0292,0.6,0.0036,62.7,32.8
