STD_YYYYMM,SIDO,비염환자수,아토피환자수,천식환자수,평균기온,평균상대습도,평균증기압,평균최고기온,평균최저기온,평균풍속,AVG_PM10,PM10_BAD,PM10_80BAD,AVG_PM2.5,PM2_BAD,PM2_35BAD,AVG_아황산,아황산_0.05BAD,아황산_BAD,AVG_이산화,이산화_0.06BAD,이산화_0.03BAD,이산화_BAD,AVG_일산화,일산화_9BAD,일산화_BAD,차량수,AVG_구리,구리_BAD,AVG_납,납_0.5BAD,납_BAD,AVG_니켈,니켈_BAD,AVG_망간,망간_BAD,AVG_비소,비소_BAD,AVG_철,철_BAD,AVG_카드뮴,카드뮴_BAD,AVG_크롬,크롬_BAD
201501,서울특별시,377167,28189,53718,-0.9,56.0,3.4,3.6,-4.8,2.6,49.0,Y,N,25.0,Y,N,0.007,N,Y,0.037,N,Y,Y,0.7,N,Y,3021688.0,0.0234,Y,0.0458,N,Y,0.0022,N,0.0375,Y,0.0072,Y,0.8326,Y,0.0014,Y,0.0033,N
201502,서울특별시,391955,25469,53754,1.0,59.0,4.1,6.0,-2.9,2.9,84.0,Y,Y,30.0,Y,N,0.007,N,Y,0.036,N,Y,Y,0.7,N,Y,3023786.0,0.0264,Y,0.0558,N,Y,0.003,N,0.0342,Y,0.0094,Y,0.8572,Y,0.0013,Y,0.0031,N
201503,서울특별시,456140,31604,60610,6.3,45.0,4.4,12.4,1.0,3.1,71.0,Y,N,30.0,Y,N,0.007,N,Y,0.04,N,Y,Y,0.6,N,Y,3024391.0,0.0137,N,0.0203,N,N,0.0021,N,0.0259,N,0.0053,Y,0.7821,Y,0.0007,N,0.0025,N
201504,서울특별시,429844,30585,60421,13.3,54.0,8.0,18.8,8.4,3.1,45.0,Y,N,21.0,N,N,0.005,N,Y,0.033,N,Y,Y,0.5,N,Y,3026957.0,0.0328,Y,0.0316,N,Y,0.0027,N,0.0324,Y,0.008,Y,1.1489,Y,0.0011,Y,0.0029,N
201505,서울특별시,320863,33323,50343,18.9,53.0,11.0,24.9,13.6,3.0,45.0,Y,N,22.0,Y,N,0.006,N,Y,0.032,N,Y,Y,0.4,N,N,3030052.0,0.0258,Y,0.025,N,Y,0.0043,Y,0.0275,N,0.0036,N,0.9437,Y,0.001,Y,0.0028,N
201506,서울특별시,204456,26222,32458,23.6,60.0,16.8,29.5,18.9,2.5,35.0,N,N,20.0,N,N,0.005,N,Y,0.025,N,N,Y,0.4,N,N,3031607.0,0.0232,Y,0.0248,N,Y,0.003,N,0.0234,N,0.0027,N,0.8327,Y,0.0007,N,0.0029,N
201507,서울특별시,200585,32425,31642,25.8,71.0,23.4,30.0,22.6,2.8,30.0,N,N,19.0,N,N,0.005,N,Y,0.021,N,N,Y,0.4,N,N,3035979.0,0.0217,Y,0.0066,N,N,0.0029,N,0.0136,N,0.0026,N,0.4492,N,0.0005,N,0.0026,N
201508,서울특별시,279175,33172,40650,26.3,70.0,23.5,30.8,22.8,2.4,34.0,N,N,22.0,Y,N,0.005,N,Y,0.023,N,N,Y,0.4,N,N,3037031.0,0.0275,Y,0.0256,N,Y,0.006,Y,0.0225,N,0.0063,Y,0.6699,Y,0.001,Y,0.004,Y
201509,서울특별시,490028,29269,53904,22.4,56.0,14.8,28.1,17.5,2.3,28.0,N,N,16.0,N,N,0.004,N,N,0.027,N,N,Y,0.4,N,N,3043191.0,0.0198,Y,0.0119,N,N,0.003,N,0.0147,N,0.0023,N,0.5094,N,0.0005,N,0.0023,N
201510,서울특별시,407264,27144,53872,15.5,60.0,10.8,21.2,10.8,2.3,44.0,Y,N,24.0,Y,N,0.005,N,Y,0.035,N,Y,Y,0.5,N,Y,3046176.0,0.0355,Y,0.0121,N,N,0.0029,N,0.0274,N,0.0034,N,0.9356,Y,0.0008,N,0.0044,Y
