SIDO,STD_YYYYMM,AVG_구리,구리_BAD,AVG_납,납_0.5BAD,납_BAD,AVG_니켈,니켈_BAD,AVG_망간,망간_BAD,AVG_비소,비소_BAD,AVG_철,철_BAD,AVG_카드뮴,카드뮴_BAD,AVG_크롬,크롬_BAD
서울특별시,201301,0.0306,Y,0.0894,N,Y,0.0033,N,0.036,Y,0.0086,Y,0.8287,Y,0.0035,Y,0.0035,N
부산광역시,201301,0.0332,Y,0.051,N,Y,0.0085,Y,0.1266,Y,0.0045,Y,1.9214,Y,0.0005,N,0.0119,Y
대구광역시,201301,0.0165,Y,0.0504,N,Y,0.0006,N,0.0233,N,0.0026,N,0.4938,N,0.0016,Y,0.0027,N
인천광역시,201301,0.0311,Y,0.1104,N,Y,0.0046,Y,0.1618,Y,0.0078,Y,0.7564,Y,0.0025,Y,0.0052,Y
광주광역시,201301,0.0157,N,0.0476,N,Y,0.0014,N,0.0196,N,0.0058,Y,0.4068,N,0.0008,N,0.002,N
대전광역시,201301,0.0244,Y,0.0605,N,Y,0.0055,Y,0.05,Y,0.0066,Y,1.2477,Y,0.002,Y,0.0124,Y
울산광역시,201301,0.0082,N,0.0236,N,Y,0.0021,N,0.0324,Y,0.0027,N,0.6364,Y,0.0006,N,0.0026,N
세종특별자치시,201301,0.0272,N,0.0743,N,N,0.0044,N,0.0605,N,0.0062,N,0.9424,N,0.0017,N,0.0075,N
경기도,201301,0.0664,Y,0.1522,N,Y,0.0075,Y,0.0763,Y,0.0152,Y,1.6929,Y,0.0028,Y,0.0318,Y
강원도,201301,0.0432,Y,0.096,N,Y,0.0042,Y,0.0628,Y,0.0094,Y,0.9395,Y,0.0027,Y,0.0151,Y
충청북도,201301,0.0283,Y,0.1092,N,Y,0.0051,Y,0.0411,Y,0.0105,Y,0.65,Y,0.0022,Y,0.0033,N
충청남도,201301,0.0088,N,0.0456,N,Y,0.0024,N,0.0292,N,0.0005,N,0.5172,N,0.0007,N,0.0016,N
전라북도,201301,0.035,Y,0.1143,N,Y,0.0075,Y,0.0532,Y,0.0085,Y,0.7917,Y,0.0033,Y,0.0055,Y
전라남도,201301,0.0152,N,0.0424,N,Y,0.0048,Y,0.0486,Y,0.0038,N,0.7721,Y,0.0008,N,0.0028,N
경상북도,201301,0.0368,Y,0.0606,N,Y,0.0056,Y,0.1028,Y,0.0004,N,1.7439,Y,0.0004,N,0.0058,Y
경상남도,201301,0.0146,N,0.0613,N,Y,0.003,N,0.0443,Y,0.0058,Y,0.7378,Y,0.0011,Y,0.0066,Y
서울특별시,201302,0.021,Y,0.0736,N,Y,0.0041,Y,0.038,Y,0.0055,Y,0.4645,N,0.0017,Y,0.0039,Y
부산광역시,201302,0.026,Y,0.0297,N,Y,0.0084,Y,0.0682,Y,0.0004,N,1.1952,Y,0.0008,N,0.0116,Y
대구광역시,201302,0.0149,N,0.0284,N,Y,0.0009,N,0.0176,N,0.0018,N,0.4538,N,0.0057,Y,0.0017,N
인천광역시,201302,0.022,Y,0.0546,N,Y,0.0029,N,0.0943,Y,0.006,Y,0.3397,N,0.0012,Y,0.0032,N
광주광역시,201302,0.0078,N,0.0329,N,Y,0.0013,N,0.0185,N,0.0046,Y,0.4066,N,0.0001,N,0.0029,N
대전광역시,201302,0.0226,Y,0.0428,N,Y,0.0046,Y,0.0631,Y,0.007,Y,2.0147,Y,0.0012,Y,0.0075,Y
울산광역시,201302,0.0173,Y,0.0288,N,Y,0.0029,N,0.0277,N,0.0025,N,0.6469,Y,0.0007,N,0.004,Y
세종특별자치시,201302,0.0184,N,0.0463,N,N,0.0039,N,0.0443,N,0.0038,N,0.7522,N,0.0013,N,0.0045,N
경기도,201302,0.0385,Y,0.07,N,Y,0.0045,Y,0.0335,Y,0.0052,Y,0.7204,Y,0.001,Y,0.0097,Y
강원도,201302,0.0202,Y,0.0598,N,Y,0.004,Y,0.0535,Y,0.0059,Y,1.0234,Y,0.0013,Y,0.0075,Y
충청북도,201302,0.0118,N,0.045,N,Y,0.0015,N,0.0196,N,0.005,Y,0.4724,N,0.0008,N,0.0017,N
충청남도,201302,0.0116,N,0.0469,N,Y,0.0034,N,0.0233,N,0.0001,N,0.4891,N,0.0008,N,0.0024,N
전라북도,201302,0.0243,Y,0.1038,N,Y,0.0043,Y,0.0511,Y,0.005,Y,0.9351,Y,0.0017,Y,0.0051,Y
전라남도,201302,0.0084,N,0.0218,N,N,0.002,N,0.0176,N,0.0028,N,0.3274,N,0.0005,N,0.0008,N
경상북도,201302,0.0153,N,0.0141,N,N,0.0119,Y,0.1,Y,0.0002,N,1.0947,Y,0.0013,N,0.0032,N
경상남도,201302,0.0137,N,0.0428,N,Y,0.0024,N,0.0388,Y,0.0054,Y,0.6992,Y,0.001,Y,0.0025,N
서울특별시,201303,0.0453,Y,0.1121,N,Y,0.0066,Y,0.0681,Y,0.0018,N,0.8608,Y,0.0017,Y,0.0058,Y
부산광역시,201303,0.0277,Y,0.0353,N,Y,0.0132,Y,0.0724,Y,0.0021,N,1.4091,Y,0.0008,N,0.0115,Y
대구광역시,201303,0.0296,Y,0.0709,N,Y,0.0056,Y,0.0572,Y,0.0051,Y,1.5116,Y,0.0042,Y,0.0078,Y
인천광역시,201303,0.0283,Y,0.1376,N,Y,0.0101,Y,0.3091,Y,0.0093,Y,0.9027,Y,0.0028,Y,0.0067,Y
광주광역시,201303,0.0318,Y,0.0931,N,Y,0.0052,Y,0.071,Y,0.0106,Y,1.5836,Y,0.0001,N,0.0054,Y
대전광역시,201303,0.0361,Y,0.0986,N,Y,0.008,Y,0.0967,Y,0.0086,Y,3.6812,Y,0.0024,Y,0.008,Y
울산광역시,201303,0.0132,N,0.0298,N,Y,0.0056,Y,0.0524,Y,0.0048,Y,1.2029,Y,0.001,Y,0.0044,Y
세종특별자치시,201303,0.0306,N,0.077,N,N,0.0081,N,0.1006,N,0.0067,N,1.7222,N,0.002,N,0.0089,N
경기도,201303,0.0498,Y,0.0894,N,Y,0.009,Y,0.0764,Y,0.0093,Y,1.6714,Y,0.0026,Y,0.0165,Y
강원도,201303,0.0364,Y,0.1029,N,Y,0.0086,Y,0.1461,Y,0.0105,Y,2.2331,Y,0.0025,Y,0.0152,Y
