측정일시,측정소명,이산화질소,오존,일산화탄소,아황산,미세,초미세
20231201,강남구,0.0198,0.0238,0.37,0.0029,21,10
20231201,강남대로,0.0322,0.0134,0.78,0.004,32,11
20231201,강동구,0.0217,0.0207,0.4,0.0033,21,7
20231201,강변북로,0.0259,0.0179,0.37,0.0037,23,13
20231201,강북구,0.0133,0.0247,0.43,0.0023,21,11
20231201,강서구,0.0239,0.021,0.43,0.0034,26,9
20231201,공항대로,0.0277,0.0154,0.43,0.0023,31,11
20231201,관악구,0.0216,0.0216,0.45,0.0024,24,10
20231201,광진구,0.0217,0.0239,0.63,0.0018,20,9
20231201,구로구,0.0166,0.0236,0.41,0.0027,22,8
20231201,금천구,0.0257,0.0192,0.49,0.0024,23,11
20231201,노원구,0.0235,0.0176,0.48,0.0027,27,13
20231201,도봉구,0.0159,0.0262,0.38,0.0022,24,11
20231201,도산대로,0.0204,0.0179,0.52,0.0035,25,11
20231201,동대문구,0.019,0.0232,0.43,0.0033,23,10
20231201,동작구,0.023,0.0217,0.38,0.0023,23,11
20231201,동작대로,0.032,0.0174,0.52,0.0024,28,12
20231201,마포구,0.0232,0.0197,0.45,0.0025,23,12
20231201,서대문구,0.0212,0.0207,0.39,0.0042,22,12
20231201,서초구,0.0178,0.0192,0.31,0.0029,28,11
20231201,성동구,0.0151,0.0185,0.3,0.0022,22,11
20231201,성북구,0.0188,0.0205,0.46,0.003,21,9
20231201,송파구,0.0217,0.0235,0.44,0.0023,24,11
20231201,신촌로,0.0298,0.0132,0.57,0.003,27,14
20231201,양천구,0.0245,0.0207,0.46,0.0028,24,11
20231201,영등포구,0.0202,0.0233,0.43,0.0028,21,10
20231201,영등포로,0.0252,0.0196,0.48,0.0027,23,11
20231201,용산구,0.0205,0.0214,0.46,0.0024,23,11
20231201,은평구,0.0198,0.0178,0.18,0.0032,22,8
20231201,정릉로,0.0311,0.0159,0.6,0.0024,24,12
20231201,종로,0.017,0.0234,0.46,0.0031,21,8
20231201,종로구,0.0183,0.0229,0.46,0.0028,22,12
20231201,종로구,0.0183,0.0229,0.46,0.0028,22,12
20231201,중구,0.0186,0.0206,0.4,0.0029,18,11
20231201,중랑구,0.021,0.0199,0.4,0.0023,20,11
20231201,천호대로,0.0284,0.0178,0.48,0.0027,28,11
20231201,청계천로,0.0243,0.0196,0.43,0.0025,26,11
20231201,한강대로,0.0268,0.0173,0.51,0.003,26,10
20231201,홍릉로,0.0269,0.0181,0.51,0.0032,24,10
20231201,화랑로,0.03,0.0139,0.49,0.0026,27,12
20231202,강남구,0.0336,0.0119,0.48,0.0033,33,18
20231202,강남대로,0.0339,0.0092,0.89,0.0046,39,20
20231202,강동구,0.0347,0.0107,0.55,0.0034,34,17
20231202,강변북로,0.0374,0.009,0.5,0.0038,36,23
20231202,강북구,0.0264,0.0165,0.55,0.0027,30,18
20231202,강서구,0.0356,0.015,0.63,0.0034,34,15
20231202,공항대로,0.0342,0.0112,0.56,0.003,33,16
20231202,관악구,0.0361,0.0125,0.61,0.0027,37,18
20231202,광진구,0.0381,0.0124,0.75,0.0024,30,16
20231202,구로구,0.0268,0.0165,0.53,0.0029,35,18
20231202,금천구,0.0325,0.0153,0.58,0.003,32,18
20231202,노원구,0.0307,0.0131,0.56,0.0032,36,22
20231202,도봉구,0.0296,0.0163,0.53,0.0025,31,19
20231202,도산대로,0.0319,0.0094,0.71,0.0037,42,22
20231202,동대문구,0.0365,0.0115,0.56,0.0034,34,17
20231202,동작구,0.0339,0.0152,0.48,0.0027,32,19
20231202,동작대로,0.0417,0.0121,0.64,0.0031,38,20
20231202,마포구,0.0366,0.0121,0.59,0.0028,32,19
20231202,서대문구,0.0314,0.0148,0.45,0.0043,32,19
20231202,서초구,0.0301,0.0104,0.46,0.0029,44,19
20231202,성동구,0.023,0.0096,0.38,0.0023,32,17
20231202,성북구,0.0318,0.0121,0.59,0.0031,33,18
20231202,송파구,0.0324,0.0142,0.53,0.0029,33,18
20231202,신촌로,0.0349,0.0083,0.66,0.0032,35,21
20231202,양천구,0.0374,0.0122,0.64,0.0031,35,18
20231202,영등포구,0.0332,0.0138,0.57,0.0031,30,18
20231202,영등포로,0.0405,0.0082,0.66,0.003,34,18
20231202,용산구,0.0354,0.0115,0.59,0.0032,33,18
20231202,은평구,0.0278,0.0149,0.33,0.0033,32,17
20231202,정릉로,0.0403,0.0092,0.66,0.0027,37,21
20231202,종로,0.0343,0.0106,0.69,0.0034,33,15
20231202,종로구,0.0337,0.0121,0.63,0.0032,34,20
20231202,종로구,0.0337,0.0121,0.63,0.0032,34,20
20231202,중구,0.0354,0.01,0.56,0.0032,28,19
20231202,중랑구,0.033,0.0108,0.5,0.0025,27,18
20231202,천호대로,0.038,0.0088,0.64,0.0029,37,18
20231202,청계천로,0.0348,0.0107,0.58,0.0033,35,18
20231202,한강대로,0.0382,0.0097,0.66,0.0032,41,21
20231202,홍릉로,0.0383,0.0085,0.65,0.0034,35,16
20231202,화랑로,0.0335,0.0086,0.53,0.0028,34,17
20231203,강남구,0.0213,0.0246,0.51,0.0038,38,23
20231203,강남대로,0.029,0.0145,0.9,0.0045,44,26
20231203,강동구,0.0239,0.0214,0.59,0.0037,34,20
20231203,강변북로,0.0262,0.0185,0.49,0.0041,38,24
20231203,강북구,0.017,0.0238,0.59,0.003,35,23
20231203,강서구,0.0226,0.0233,0.54,0.004,42,21
20231203,공항대로,0.0225,0.0195,0.53,0.003,38,21
20231203,관악구,0.0237,0.0219,0.59,0.0034,44,24
20231203,광진구,0.0263,0.0227,0.74,0.0031,34,20
20231203,구로구,0.0162,0.0246,0.5,0.0036,40,23
20231203,금천구,0.0255,0.02,0.63,0.0032,38,24
20231203,노원구,0.0247,0.0186,0.61,0.0036,40,26
20231203,도봉구,0.016,0.0289,0.43,0.003,33,22
20231203,도산대로,0.0208,0.0183,0.67,0.0041,43,26
20231203,동대문구,0.0196,0.0239,0.55,0.0039,38,21
20231203,동작구,0.0258,0.022,0.51,0.0032,40,25
20231203,동작대로,0.034,0.0178,0.67,0.0033,41,23
20231203,마포구,0.0224,0.0223,0.57,0.0034,38,24
20231203,서대문구,0.0207,0.0222,0.65,0.006,36,25
20231203,서초구,0.0164,0.0204,0.45,0.0035,41,22
20231203,성동구,0.0147,0.0194,0.39,0.0024,35,20
20231203,성북구,0.0211,0.0199,0.59,0.0034,35,21
20231203,송파구,0.0256,0.0218,0.58,0.0034,38,23
20231203,신촌로,0.027,0.0145,0.64,0.0034,43,27
20231203,양천구,0.0252,0.021,0.6,0.0038,41,26
20231203,영등포구,0.0197,0.025,0.55,0.0034,35,23
20231203,영등포로,0.0258,0.0195,0.6,0.0033,38,23
20231203,용산구,0.0218,0.0219,0.63,0.0036,38,23
20231203,은평구,0.0197,0.0185,0.39,0.0034,35,20
20231203,정릉로,0.0335,0.0145,0.67,0.0029,38,23
20231203,종로,0.0157,0.0256,0.56,0.0036,36,18
20231203,종로구,0.0166,0.0259,0.56,0.0036,37,25
20231203,종로구,0.0166,0.0259,0.56,0.0036,37,25
20231203,중구,0.0201,0.021,0.53,0.0035,33,24
20231203,중랑구,0.0223,0.0209,0.53,0.0031,32,23
20231203,천호대로,0.0298,0.0182,0.6,0.0032,39,21
20231203,청계천로,0.0192,0.0236,0.49,0.0034,39,23
20231203,한강대로,0.0229,0.0208,0.6,0.0035,41,24
20231203,홍릉로,0.0265,0.0191,0.63,0.0035,37,20
20231203,화랑로,0.0289,0.0149,0.61,0.0032,38,22
20231204,강남구,0.0462,0.0042,0.64,0.0035,41,25
20231204,강남대로,0.0461,0.0048,1.09,0.0044,48,28
20231204,강동구,0.0451,0.0061,0.74,0.0032,44,25
20231204,강변북로,0.0467,0.0047,0.63,0.0036,48,30
20231204,강북구,0.036,0.0084,0.69,0.0027,37,25
20231204,강서구,0.0499,0.0088,0.82,0.0037,42,22
20231204,공항대로,0.0461,0.0052,0.74,0.0031,42,23
20231204,관악구,0.0487,0.0064,0.8,0.0031,42,25
20231204,광진구,0.0503,0.0065,0.83,0.0028,38,23
20231204,구로구,0.0351,0.0116,0.68,0.003,46,27
20231204,금천구,0.0431,0.0089,0.67,0.003,38,25
20231204,노원구,0.045,0.007,0.77,0.0038,45,30
