측정일시,이산화질소,오존,일산화탄소,아황산,미세,초미세
20230101,0.025,0.021,0.7,0.004,55.0,40.0
20230102,0.021,0.019,0.5,0.003,25.0,12.0
20230103,0.031,0.014,0.6,0.003,31.0,17.0
20230104,0.042,0.01,0.7,0.004,36.0,23.0
20230105,0.053,0.005,0.9,0.004,49.0,36.0
20230106,0.05,0.01,0.9,0.004,75.0,59.0
20230107,0.031,0.021,1.0,0.003,119.0,92.0
20230108,0.037,0.01,0.9,0.003,134.0,60.0
20230109,0.034,0.014,0.7,0.004,97.0,42.0
20230110,0.044,0.008,0.8,0.004,61.0,33.0
20230111,0.061,0.005,1.0,0.005,75.0,48.0
20230112,0.057,0.006,0.9,0.004,67.0,46.0
20230113,0.038,0.007,0.8,0.004,22.0,13.0
20230114,0.025,0.01,0.6,0.003,14.0,9.0
20230115,0.015,0.019,0.4,0.003,14.0,10.0
20230116,0.018,0.023,0.4,0.003,23.0,13.0
20230117,0.034,0.01,0.6,0.003,33.0,17.0
20230118,0.032,0.013,0.6,0.003,55.0,25.0
20230119,0.037,0.013,0.7,0.003,62.0,26.0
20230120,0.015,0.025,0.4,0.003,69.0,18.0
20230121,0.024,0.016,0.5,0.003,25.0,11.0
20230122,0.025,0.017,0.5,0.003,27.0,12.0
20230123,0.026,0.017,0.6,0.003,55.0,29.0
20230124,0.007,0.029,0.4,0.002,29.0,10.0
20230125,0.024,0.018,0.4,0.003,22.0,9.0
20230201,0.024,0.026,0.6,0.003,66.0,38.0
20230202,0.022,0.019,0.4,0.003,44.0,16.0
20230203,0.027,0.017,0.5,0.003,41.0,19.0
20230204,0.033,0.018,0.6,0.004,40.0,25.0
20230205,0.039,0.02,0.8,0.004,66.0,50.0
20230206,0.048,0.015,0.9,0.004,79.0,60.0
20230207,0.049,0.014,0.9,0.003,79.0,60.0
20230208,0.034,0.02,0.8,0.003,71.0,51.0
20230209,0.032,0.019,0.6,0.003,38.0,24.0
20230210,0.024,0.024,0.4,0.003,23.0,17.0
20230211,0.041,0.012,0.7,0.003,44.0,34.0
20230212,0.036,0.016,0.8,0.003,70.0,58.0
20230213,0.028,0.024,0.6,0.003,34.0,23.0
20230214,0.022,0.024,0.5,0.003,40.0,25.0
20230215,0.021,0.025,0.4,0.003,18.0,9.0
20230216,0.027,0.021,0.4,0.003,29.0,19.0
20230217,0.043,0.014,0.6,0.003,45.0,32.0
20230218,0.053,0.006,0.9,0.004,83.0,63.0
20230219,0.02,0.032,0.5,0.003,49.0,35.0
20230220,0.018,0.029,0.4,0.003,40.0,9.0
20230221,0.023,0.024,0.4,0.003,31.0,15.0
20230222,0.042,0.015,0.6,0.004,44.0,27.0
20230223,0.031,0.025,0.5,0.003,42.0,25.0
20230224,0.025,0.027,0.5,0.003,52.0,31.0
20230225,0.017,0.03,0.4,0.003,38.0,19.0
20230301,0.022,0.031,0.4,0.003,36.0,19.0
20230302,0.016,0.032,0.4,0.003,54.0,11.0
20230303,0.031,0.021,0.5,0.003,38.0,15.0
20230304,0.035,0.034,0.6,0.004,78.0,46.0
20230305,0.035,0.03,0.7,0.003,75.0,50.0
20230306,0.046,0.028,0.6,0.004,56.0,33.0
20230307,0.041,0.029,0.6,0.004,63.0,33.0
20230308,0.037,0.032,0.6,0.004,66.0,31.0
20230309,0.033,0.027,0.6,0.003,63.0,41.0
20230310,0.04,0.023,0.8,0.004,93.0,53.0
20230311,0.039,0.039,0.8,0.004,101.0,53.0
20230312,0.014,0.046,0.5,0.003,56.0,26.0
20230313,0.016,0.032,0.3,0.003,34.0,8.0
20230314,0.022,0.031,0.4,0.003,43.0,10.0
20230315,0.027,0.025,0.5,0.003,43.0,13.0
20230316,0.018,0.03,0.4,0.003,60.0,11.0
20230317,0.025,0.024,0.5,0.003,43.0,15.0
20230318,0.022,0.031,0.5,0.004,59.0,27.0
20230319,0.026,0.037,0.7,0.004,92.0,58.0
20230320,0.044,0.024,0.8,0.004,89.0,63.0
20230321,0.048,0.029,0.7,0.004,63.0,36.0
20230322,0.047,0.029,0.7,0.004,69.0,38.0
20230323,0.023,0.034,0.6,0.003,92.0,28.0
20230324,0.024,0.026,0.5,0.003,140.0,26.0
20230325,0.021,0.029,0.5,0.003,98.0,26.0
20230401,0.04,0.044,0.6,0.004,88.0,49.0
20230402,0.023,0.045,0.5,0.003,48.0,30.0
20230403,0.028,0.045,0.5,0.003,48.0,32.0
20230404,0.022,0.045,0.4,0.003,37.0,21.0
20230405,0.018,0.031,0.4,0.003,17.0,11.0
20230406,0.021,0.031,0.7,0.002,53.0,45.0
20230407,0.021,0.035,0.5,0.003,78.0,45.0
20230408,0.016,0.035,0.3,0.003,38.0,7.0
20230409,0.018,0.038,0.4,0.003,60.0,15.0
20230410,0.024,0.041,0.5,0.003,47.0,18.0
20230411,0.018,0.035,0.4,0.003,48.0,17.0
20230412,0.022,0.028,0.4,0.003,265.0,29.0
20230413,0.032,0.022,0.5,0.003,193.0,27.0
20230414,0.031,0.032,0.5,0.004,94.0,19.0
20230415,0.023,0.029,0.5,0.003,58.0,20.0
20230416,0.015,0.039,0.4,0.002,106.0,31.0
20230417,0.025,0.038,0.5,0.003,101.0,28.0
20230418,0.021,0.033,0.5,0.002,45.0,18.0
20230419,0.022,0.039,0.5,0.003,35.0,16.0
20230420,0.019,0.031,0.4,0.002,24.0,13.0
20230421,0.015,0.036,0.4,0.003,53.0,14.0
20230422,0.013,0.041,0.3,0.003,55.0,12.0
20230423,0.017,0.035,0.4,0.003,53.0,15.0
20230424,0.017,0.04,0.3,0.003,51.0,15.0
20230425,0.023,0.03,0.4,0.003,34.0,15.0
20230501,0.015,0.041,0.4,0.003,44.0,17.0
20230502,0.029,0.033,0.4,0.003,32.0,12.0
20230503,0.028,0.038,0.5,0.003,41.0,17.0
20230504,0.021,0.041,0.4,0.003,44.0,22.0
20230505,0.012,0.02,0.4,0.002,12.0,5.0
20230506,0.009,0.04,0.3,0.002,11.0,5.0
20230507,0.012,0.04,0.4,0.002,31.0,24.0
20230508,0.026,0.03,0.4,0.003,35.0,22.0
20230509,0.033,0.042,0.5,0.004,50.0,28.0
20230510,0.031,0.046,0.5,0.004,56.0,32.0
20230511,0.029,0.05,0.5,0.004,49.0,25.0
20230512,0.035,0.042,0.5,0.005,54.0,31.0
20230513,0.019,0.049,0.4,0.003,42.0,25.0
20230514,0.015,0.047,0.3,0.003,23.0,13.0
20230515,0.024,0.05,0.4,0.003,37.0,20.0
20230516,0.025,0.07,0.5,0.003,59.0,32.0
20230517,0.017,0.042,0.4,0.003,36.0,14.0
20230518,0.017,0.03,0.4,0.003,35.0,18.0
20230519,0.014,0.041,0.3,0.002,23.0,12.0
20230520,0.015,0.043,0.9,0.003,25.0,14.0
20230521,0.01,0.046,0.4,0.003,78.0,22.0
20230522,0.018,0.035,0.4,0.003,128.0,30.0
20230523,0.019,0.034,0.3,0.003,65.0,16.0
20230524,0.028,0.039,0.4,0.004,40.0,17.0
20230525,0.02,0.05,0.4,0.003,35.0,14.0
20230601,0.024,0.042,0.5,0.003,40.0,22.0
20230602,0.017,0.042,0.4,0.003,31.0,17.0
20230603,0.016,0.044,0.4,0.003,33.0,13.0
20230604,0.013,0.066,0.4,0.003,37.0,18.0
20230605,0.017,0.051,0.4,0.003,32.0,15.0
20230606,0.012,0.054,0.3,0.003,21.0,10.0
20230607,0.017,0.05,0.4,0.003,35.0,19.0
20230608,0.017,0.04,0.4,0.003,21.0,11.0
20230609,0.019,0.056,0.4,0.003,25.0,13.0
20230610,0.019,0.058,0.5,0.003,35.0,20.0
20230611,0.011,0.055,0.4,0.002,21.0,12.0
20230612,0.022,0.045,0.5,0.003,30.0,18.0
20230613,0.019,0.047,0.4,0.003,28.0,15.0
20230614,0.021,0.044,0.4,0.003,30.0,19.0
20230615,0.022,0.041,0.4,0.003,32.0,20.0
20230616,0.02,0.045,0.4,0.003,27.0,16.0
20230617,0.023,0.046,0.4,0.003,23.0,13.0
20230618,0.015,0.047,0.4,0.003,27.0,16.0
20230619,0.023,0.059,0.5,0.003,46.0,28.0
20230620,0.024,0.036,0.5,0.003,37.0,21.0
20230621,0.014,0.021,0.4,0.003,11.0,5.0
20230622,0.014,0.028,0.4,0.003,20.0,9.0
20230623,0.02,0.043,0.5,0.003,34.0,22.0
20230624,0.019,0.053,0.5,0.003,37.0,25.0
20230625,0.013,0.049,0.4,0.003,32.0,22.0
20230701,0.018,0.045,0.4,0.003,28.0,18.0
20230702,0.013,0.036,0.4,0.003,20.0,13.0
20230703,0.02,0.046,0.4,0.003,32.0,20.0
20230704,0.019,0.034,0.4,0.003,33.0,24.0
20230705,0.013,0.052,0.4,0.003,26.0,14.0
20230706,0.018,0.067,0.6,0.003,47.0,26.0
20230707,0.021,0.046,0.5,0.003,45.0,21.0
20230708,0.014,0.04,0.4,0.003,12.0,6.0
20230709,0.012,0.041,0.4,0.002,15.0,8.0
20230710,0.018,0.05,0.4,0.003,33.0,19.0
20230711,0.021,0.038,0.4,0.003,19.0,10.0
20230712,0.022,0.032,0.4,0.003,24.0,15.0
20230713,0.023,0.016,0.5,0.003,24.0,16.0
20230714,0.017,0.023,0.4,0.003,16.0,10.0
20230715,0.013,0.031,0.4,0.002,19.0,11.0
20230716,0.012,0.034,0.4,0.003,31.0,16.0
20230717,0.019,0.024,0.4,0.003,26.0,14.0
20230718,0.016,0.011,0.3,0.003,15.0,8.0
20230719,0.017,0.029,0.4,0.003,29.0,16.0
20230720,0.025,0.048,0.6,0.003,58.0,40.0
20230721,0.027,0.07,0.6,0.003,62.0,46.0
20230722,0.012,0.038,0.4,0.003,32.0,22.0
20230723,0.008,0.01,0.3,0.002,10.0,4.0
20230724,0.017,0.035,0.4,0.003,22.0,14.0
20230725,0.014,0.024,0.3,0.003,19.0,11.0
20230801,0.019,0.051,0.4,0.003,30.0,21.0
20230802,0.019,0.032,0.4,0.003,35.0,24.0
20230803,0.017,0.025,0.3,0.003,23.0,15.0
20230804,0.017,0.03,0.3,0.003,21.0,13.0
20230805,0.012,0.027,0.3,0.003,21.0,13.0
20230806,0.012,0.033,0.3,0.003,22.0,15.0
20230807,0.012,0.025,0.3,0.003,12.0,6.0
20230808,0.011,0.024,0.3,0.003,9.0,4.0
20230809,0.01,0.018,0.3,0.003,9.0,4.0
20230810,0.01,0.032,0.2,0.002,5.0,2.0
20230811,0.016,0.029,0.4,0.003,17.0,9.0
20230812,0.016,0.03,0.4,0.002,19.0,11.0
20230813,0.012,0.04,0.4,0.003,28.0,18.0
20230814,0.019,0.038,0.5,0.003,42.0,28.0
20230815,0.012,0.034,0.4,0.003,25.0,16.0
20230816,0.016,0.033,0.4,0.003,19.0,10.0
20230817,0.021,0.045,0.5,0.003,26.0,17.0
20230818,0.023,0.055,0.5,0.003,37.0,26.0
20230819,0.02,0.046,0.5,0.003,28.0,19.0
20230820,0.013,0.042,0.4,0.003,27.0,18.0
20230821,0.017,0.03,0.4,0.003,26.0,16.0
20230822,0.015,0.02,0.3,0.003,21.0,13.0
20230823,0.017,0.026,0.4,0.003,10.0,5.0
20230824,0.013,0.033,0.3,0.002,8.0,3.0
20230825,0.015,0.033,0.4,0.003,18.0,8.0
20230901,0.018,0.033,0.4,0.003,27.0,14.0
20230902,0.018,0.038,0.4,0.003,30.0,17.0
20230903,0.011,0.025,0.4,0.003,18.0,11.0
20230904,0.016,0.017,0.4,0.003,18.0,9.0
20230905,0.017,0.025,0.3,0.003,18.0,9.0
20230906,0.015,0.022,0.4,0.003,20.0,9.0
20230907,0.015,0.031,0.4,0.003,19.0,10.0
20230908,0.017,0.033,0.4,0.003,18.0,8.0
20230909,0.019,0.039,0.4,0.003,31.0,17.0
20230910,0.016,0.049,0.5,0.003,36.0,23.0
20230911,0.02,0.039,0.4,0.003,32.0,20.0
20230912,0.022,0.041,0.4,0.003,31.0,17.0
20230913,0.021,0.025,0.4,0.003,24.0,15.0
20230914,0.013,0.027,0.3,0.003,9.0,3.0
20230915,0.015,0.025,0.3,0.002,10.0,4.0
20230916,0.015,0.016,0.4,0.002,12.0,6.0
20230917,0.014,0.035,0.4,0.003,15.0,10.0
20230918,0.019,0.03,0.4,0.003,19.0,11.0
20230919,0.022,0.038,0.4,0.003,29.0,18.0
20230920,0.018,0.031,0.4,0.003,23.0,16.0
20230921,0.014,0.028,0.3,0.003,11.0,4.0
20230922,0.021,0.019,0.4,0.003,21.0,9.0
20230923,0.018,0.024,0.4,0.003,19.0,10.0
20230924,0.009,0.035,0.3,0.002,12.0,5.0
20230925,0.017,0.027,0.3,0.002,13.0,4.0
20231001,0.01,0.036,0.3,0.003,27.0,9.0
20231002,0.016,0.026,0.4,0.003,18.0,8.0
20231003,0.019,0.022,0.4,0.003,20.0,11.0
20231004,0.023,0.026,0.5,0.003,23.0,13.0
20231005,0.011,0.031,0.3,0.003,34.0,6.0
20231006,0.022,0.018,0.4,0.003,23.0,9.0
20231007,0.02,0.019,0.4,0.003,21.0,10.0
20231008,0.011,0.025,0.3,0.002,11.0,5.0
20231009,0.014,0.029,0.3,0.002,13.0,6.0
20231010,0.02,0.023,0.4,0.003,21.0,11.0
20231011,0.029,0.02,0.5,0.003,25.0,15.0
20231012,0.029,0.025,0.5,0.003,28.0,16.0
20231013,0.032,0.025,0.5,0.003,35.0,22.0
20231014,0.029,0.016,0.5,0.003,28.0,20.0
20231015,0.018,0.03,0.5,0.003,25.0,17.0
20231016,0.018,0.032,0.5,0.003,45.0,19.0
20231017,0.029,0.019,0.5,0.003,34.0,14.0
20231018,0.031,0.023,0.6,0.003,33.0,17.0
20231019,0.03,0.02,0.6,0.003,30.0,19.0
20231020,0.011,0.026,0.3,0.003,21.0,7.0
20231021,0.017,0.021,0.4,0.003,19.0,7.0
20231022,0.02,0.022,0.5,0.003,24.0,10.0
20231023,0.029,0.022,0.5,0.003,31.0,16.0
20231024,0.032,0.021,0.6,0.003,34.0,21.0
20231025,0.032,0.024,0.6,0.003,36.0,23.0
20231101,0.021,0.041,0.5,0.003,47.0,24.0
20231102,0.019,0.046,0.4,0.003,40.0,19.0
20231103,0.018,0.034,0.4,0.003,32.0,15.0
20231104,0.017,0.019,0.5,0.003,51.0,19.0
20231105,0.012,0.025,0.4,0.002,14.0,9.0
20231106,0.01,0.03,0.4,0.002,20.0,8.0
20231107,0.014,0.028,0.3,0.002,21.0,8.0
20231108,0.034,0.01,0.6,0.003,25.0,12.0
20231109,0.034,0.014,0.6,0.003,30.0,16.0
20231110,0.013,0.026,0.4,0.002,18.0,9.0
20231111,0.017,0.022,0.4,0.003,20.0,11.0
20231112,0.011,0.029,0.4,0.002,19.0,11.0
20231113,0.021,0.021,0.4,0.003,25.0,13.0
20231114,0.03,0.016,0.5,0.003,28.0,15.0
20231115,0.039,0.01,0.7,0.003,44.0,28.0
