STD_YYYYMM,SIDO,GEN,AGG,CNT,CNT_SUM,AVG_PM2.5
201501,서울특별시,1,0,190,377167,25.0
201502,서울특별시,1,0,164,391955,30.0
201503,서울특별시,1,0,271,456140,30.0
201504,서울특별시,1,0,253,429844,21.0
201505,서울특별시,1,0,212,320863,22.0
201506,서울특별시,1,0,136,204456,20.0
201507,서울특별시,1,0,170,200585,19.0
201508,서울특별시,1,0,276,279175,22.0
201509,서울특별시,1,0,311,490028,16.0
201510,서울특별시,1,0,222,407264,24.0
201511,서울특별시,1,0,193,419879,21.0
201512,서울특별시,1,0,240,475370,28.0
201601,서울특별시,1,0,166,398187,27.0
201602,서울특별시,1,0,219,430340,23.0
201603,서울특별시,1,0,287,447576,32.0
201604,서울특별시,1,0,221,437627,30.0
201605,서울특별시,1,0,226,328617,29.0
201606,서울특별시,1,0,159,252007,28.0
201607,서울특별시,1,0,180,250025,21.0
201608,서울특별시,1,0,187,297537,22.0
201609,서울특별시,1,0,277,441210,23.0
201610,서울특별시,1,0,259,433468,20.0
201611,서울특별시,1,0,229,443939,28.0
201612,서울특별시,1,0,218,575147,30.0
201701,서울특별시,1,0,152,328801,32.0
201702,서울특별시,1,0,210,338953,28.0
201703,서울특별시,1,0,305,479454,39.0
201704,서울특별시,1,0,233,459368,26.0
201705,서울특별시,1,0,210,342995,24.0
201706,서울특별시,1,0,200,259785,22.0
201707,서울특별시,1,0,170,239735,22.0
201708,서울특별시,1,0,183,327668,13.0
201709,서울특별시,1,0,244,504044,19.0
201710,서울특별시,1,0,206,367754,15.0
201711,서울특별시,1,0,200,482159,22.0
201712,서울특별시,1,0,200,552123,32.0
201801,서울특별시,1,0,135,507445,32.0
201802,서울특별시,1,0,169,313978,30.0
201803,서울특별시,1,0,260,410836,34.0
201804,서울특별시,1,0,207,452606,26.0
201805,서울특별시,1,0,185,345252,23.0
201806,서울특별시,1,0,158,253223,24.0
201807,서울특별시,1,0,148,230246,16.0
201808,서울특별시,1,0,145,244545,10.0
201809,서울특별시,1,0,254,486109,14.0
201810,서울특별시,1,0,201,475126,15.0
201811,서울특별시,1,0,178,462621,28.0
201812,서울특별시,1,0,156,501006,24.0
201901,서울특별시,1,0,120,352188,38.0
201902,서울특별시,1,0,147,304996,35.0
201903,서울특별시,1,0,271,437783,45.0
201904,서울특별시,1,0,243,505541,21.0
201905,서울특별시,1,0,167,394513,29.0
201906,서울특별시,1,0,126,248321,20.0
201907,서울특별시,1,0,135,254895,19.0
201908,서울특별시,1,0,135,277290,16.0
201909,서울특별시,1,0,240,465550,12.0
201910,서울특별시,1,0,200,470234,15.0
201911,서울특별시,1,0,162,443898,20.0
201912,서울특별시,1,0,147,482644,28.0
202001,서울특별시,1,0,95,443273,29.0
202002,서울특별시,1,0,75,245854,28.0
202003,서울특별시,1,0,38,164599,25.0
202004,서울특별시,1,0,85,162136,21.0
202005,서울특별시,1,0,325,228549,19.0
202006,서울특별시,1,0,163,167901,21.0
202007,서울특별시,1,0,116,156401,13.0
202008,서울특별시,1,0,102,152151,14.0
202009,서울특별시,1,0,64,258963,11.0
