STD_YYYYMM,SIDO,GEN,AGG,CNT,CNT_SUM
200601,11,1,0,113,234658
200601,26,1,0,28,80592
200601,27,1,0,55,64441
200601,28,1,0,87,63928
200601,29,1,0,127,40267
200601,30,1,0,288,38394
200601,31,1,0,246,25089
200601,36,1,0,128,2405
200601,41,1,0,437,264095
200601,42,1,0,187,33649
200601,43,1,0,229,36619
200601,44,1,0,326,42702
200601,45,1,0,383,49423
200601,46,1,0,392,57027
200601,47,1,0,397,63605
200601,48,1,0,398,77584
200601,50,1,0,714,18213
200602,11,1,0,142,190039
200602,26,1,0,37,76496
200602,27,1,0,59,56279
200602,28,1,0,109,53757
200602,29,1,0,136,32835
200602,30,1,0,347,32071
200602,31,1,0,314,26305
200602,36,1,0,133,1889
200602,41,1,0,502,233241
200602,42,1,0,207,27326
200602,43,1,0,228,29280
200602,44,1,0,475,35474
200602,45,1,0,438,36931
200602,46,1,0,409,43585
200602,47,1,0,492,59296
200602,48,1,0,621,77924
200602,50,1,0,743,18934
200603,11,1,0,240,281952
200603,26,1,0,52,96908
200603,27,1,0,64,72627
200603,28,1,0,166,77145
200603,29,1,0,169,40235
200603,30,1,0,477,45480
200603,31,1,0,362,32293
200603,36,1,0,171,2790
200603,41,1,0,733,334619
200603,42,1,0,282,37231
200603,43,1,0,301,37251
200603,44,1,0,658,48060
200603,45,1,0,573,48323
200603,46,1,0,503,56529
200603,47,1,0,606,69786
200603,48,1,0,757,91912
200603,50,1,0,976,19821
200604,11,1,0,192,270801
200604,26,1,0,46,89828
200604,27,1,0,69,76801
200604,28,1,0,156,76024
200604,29,1,0,150,38118
200604,30,1,0,393,44376
200604,31,1,0,390,31130
200604,36,1,0,178,2814
200604,41,1,0,623,323512
200604,42,1,0,268,34072
200604,43,1,0,251,39232
200604,44,1,0,559,47933
200604,45,1,0,455,48666
200604,46,1,0,444,51803
200604,47,1,0,519,71342
200604,48,1,0,595,85636
200604,50,1,0,874,16863
200605,11,1,0,175,223894
200605,26,1,0,35,71839
200605,27,1,0,63,53251
200605,28,1,0,130,63590
200605,29,1,0,119,33713
200605,30,1,0,371,35030
200605,31,1,0,318,23825
200605,36,1,0,164,2205
200605,41,1,0,550,263039
200605,42,1,0,245,32118
200605,43,1,0,219,33862
200605,44,1,0,415,36443
200605,45,1,0,412,40346
200605,46,1,0,414,45216
200605,47,1,0,535,57178
200605,48,1,0,511,69301
200605,50,1,0,784,17025
200606,11,1,0,108,162655
200606,26,1,0,31,53876
200606,27,1,0,60,39650
200606,28,1,0,100,46678
200606,29,1,0,90,23565
200606,30,1,0,292,25956
200606,31,1,0,247,18361
200606,36,1,0,141,1627
200606,41,1,0,411,193305
200606,42,1,0,176,22805
200606,43,1,0,150,22835
200606,44,1,0,399,27840
200606,45,1,0,373,27435
200606,46,1,0,308,30092
200606,47,1,0,377,38305
200606,48,1,0,461,48128
200606,50,1,0,566,10777
200607,11,1,0,88,135037
200607,26,1,0,18,46107
200607,27,1,0,45,34478
200607,28,1,0,75,39600
200607,29,1,0,101,22183
200607,30,1,0,272,23668
200607,31,1,0,176,15064
200607,36,1,0,86,1336
200607,41,1,0,295,165247
200607,42,1,0,123,19143
200607,43,1,0,128,20844
200607,44,1,0,302,23795
200607,45,1,0,246,22484
200607,46,1,0,249,26436
200607,47,1,0,339,33466
200607,48,1,0,373,42989
200607,50,1,0,461,8452
200608,11,1,0,98,154519
200608,26,1,0,30,45323
200608,27,1,0,33,39486
200608,28,1,0,94,44251
200608,29,1,0,116,24466
200608,30,1,0,292,24846
200608,31,1,0,181,15320
200608,36,1,0,104,1509
200608,41,1,0,388,200568
200608,42,1,0,155,21515
200608,43,1,0,184,23820
200608,44,1,0,337,28233
200608,45,1,0,263,25995
200608,46,1,0,333,29257
200608,47,1,0,384,37749
200608,48,1,0,388,46793
200608,50,1,0,640,9878
200609,11,1,0,211,336156
200609,26,1,0,40,110086
200609,27,1,0,88,101316
200609,28,1,0,164,97232
200609,29,1,0,158,59301
200609,30,1,0,543,61281
200609,31,1,0,388,38091
200609,36,1,0,211,3245
200609,41,1,0,649,446759
200609,42,1,0,294,48137
200609,43,1,0,298,52497
200609,44,1,0,629,61771
200609,45,1,0,667,62451
200609,46,1,0,564,63124
200609,47,1,0,632,86430
200609,48,1,0,899,122051
200609,50,1,0,1004,20891
200610,11,1,0,185,228055
200610,26,1,0,34,76567
200610,27,1,0,63,56952
200610,28,1,0,130,66726
200610,29,1,0,102,37119
200610,30,1,0,381,37930
200610,31,1,0,301,24866
200610,36,1,0,159,2235
200610,41,1,0,511,279310
200610,42,1,0,255,30852
200610,43,1,0,210,34877
200610,44,1,0,362,40511
200610,45,1,0,432,40034
200610,46,1,0,476,45331
200610,47,1,0,432,55978
200610,48,1,0,507,73769
200610,50,1,0,767,16306
200611,11,1,0,159,307721
200611,26,1,0,36,102208
200611,27,1,0,66,77069
200611,28,1,0,130,90321
200611,29,1,0,143,45486
200611,30,1,0,378,50157
200611,31,1,0,317,36078
200611,36,1,0,148,2845
200611,41,1,0,558,378537
200611,42,1,0,245,40871
200611,43,1,0,249,42268
200611,44,1,0,462,49749
200611,45,1,0,450,51062
200611,46,1,0,599,58168
200611,47,1,0,530,72137
200611,48,1,0,576,100107
200611,50,1,0,838,19457
200612,11,1,0,132,303464
200612,26,1,0,38,98930
200612,27,1,0,63,73102
200612,28,1,0,117,88384
200612,29,1,0,134,49055
200612,30,1,0,324,48204
200612,31,1,0,279,35987
200612,36,1,0,128,2958
200612,41,1,0,489,376980
200612,42,1,0,217,39952
200612,43,1,0,176,42927
200612,44,1,0,384,51536
200612,45,1,0,358,50358
200612,46,1,0,498,60569
200612,47,1,0,423,72721
200612,48,1,0,489,99515
200612,50,1,0,773,19299
200701,11,1,0,107,281194
200701,26,1,0,44,102328
200701,27,1,0,67,80221
200701,28,1,0,87,81684
200701,29,1,0,129,43058
200701,30,1,0,375,49761
200701,31,1,0,255,33070
200701,36,1,0,136,3315
200701,41,1,0,418,331544
200701,42,1,0,234,44184
200701,43,1,0,206,44478
200701,44,1,0,374,50522
200701,45,1,0,359,51034
200701,46,1,0,510,63523
200701,47,1,0,417,79567
200701,48,1,0,473,93040
200701,50,1,0,791,20498
200702,11,1,0,114,192761
200702,26,1,0,42,78419
200702,27,1,0,62,54582
200702,28,1,0,111,55569
200702,29,1,0,108,31159
200702,30,1,0,352,31205
200702,31,1,0,279,26203
200702,36,1,0,165,2080
200702,41,1,0,524,239681
200702,42,1,0,206,28087
200702,43,1,0,173,30510
200702,44,1,0,411,34775
200702,45,1,0,378,36494
200702,46,1,0,479,43154
200702,47,1,0,451,57632
200702,48,1,0,554,77911
200702,50,1,0,822,21663
200703,11,1,0,149,252344
200703,26,1,0,50,105291
200703,27,1,0,93,69682
200703,28,1,0,162,74293
200703,29,1,0,163,41366
200703,30,1,0,586,42965
200703,31,1,0,405,33984
200703,36,1,0,271,2846
200703,41,1,0,713,313159
200703,42,1,0,258,37443
200703,43,1,0,217,37079
200703,44,1,0,569,44176
200703,45,1,0,488,44789
200703,46,1,0,621,55882
200703,47,1,0,547,66220
200703,48,1,0,707,98330
200703,50,1,0,1094,20707
200704,11,1,0,165,280804
200704,26,1,0,50,94848
200704,27,1,0,80,72269
200704,28,1,0,156,81208
200704,29,1,0,161,45876
200704,30,1,0,455,47166
200704,31,1,0,343,33442
200704,36,1,0,230,3145
200704,41,1,0,668,336428
200704,42,1,0,246,38809
200704,43,1,0,220,39715
200704,44,1,0,491,49919
200704,45,1,0,405,51704
200704,46,1,0,532,54800
200704,47,1,0,472,68711
200704,48,1,0,565,94607
200704,50,1,0,881,16181
200705,11,1,0,139,225182
200705,26,1,0,36,75722
200705,27,1,0,72,55061
200705,28,1,0,130,65789
200705,29,1,0,151,32385
200705,30,1,0,350,32740
200705,31,1,0,283,24406
200705,36,1,0,181,2348
200705,41,1,0,522,271896
200705,42,1,0,210,32520
200705,43,1,0,183,31286
200705,44,1,0,390,38254
200705,45,1,0,293,37166
200705,46,1,0,460,41215
200705,47,1,0,444,55371
200705,48,1,0,490,70984
200705,50,1,0,855,15114
200706,11,1,0,128,159711
200706,26,1,0,30,54475
200706,27,1,0,63,38457
200706,28,1,0,125,49924
200706,29,1,0,102,22896
200706,30,1,0,330,24452
200706,31,1,0,261,18896
200706,36,1,0,188,1693
