STD_YYYYMM,SIDO,비염환자수,아토피환자수,천식환자수,AVG_PM2.5,PM2_BAD,AVG_PM10,PM10_BAD,PM10_80BAD,AVG_일산화,일산화_9BAD,일산화_BAD,AVG_이산화,이산화_0.06BAD,이산화_0.03BAD,이산화_BAD,AVG_오존,오존_BAD,오존0.06_BAD,오존0.1_BAD,AVG_납,납_0.5BAD,납_BAD,AVG_아황산,아황산_0.05BAD,아황산_BAD
201501,서울특별시,377167,28189,53718,25.0,N,49.0,Y,N,0.7,N,Y,0.037,N,Y,Y,0.011,N,N,N,0.0458,N,Y,0.007,N,Y
201502,서울특별시,391955,25469,53754,30.0,N,84.0,Y,Y,0.7,N,Y,0.036,N,Y,Y,0.016,N,N,N,0.0558,N,Y,0.007,N,Y
201503,서울특별시,456140,31604,60610,30.0,N,71.0,Y,N,0.6,N,Y,0.04,N,Y,Y,0.022,N,N,N,0.0203,N,N,0.007,N,Y
201504,서울특별시,429844,30585,60421,21.0,N,45.0,Y,N,0.5,N,Y,0.033,N,Y,Y,0.028,N,N,N,0.0316,N,Y,0.005,N,Y
201505,서울특별시,320863,33323,50343,22.0,N,45.0,Y,N,0.4,N,N,0.032,N,Y,Y,0.033,Y,N,N,0.025,N,Y,0.006,N,Y
201506,서울특별시,204456,26222,32458,20.0,N,35.0,N,N,0.4,N,N,0.025,N,N,Y,0.038,Y,N,N,0.0248,N,Y,0.005,N,Y
201507,서울특별시,200585,32425,31642,19.0,N,30.0,N,N,0.4,N,N,0.021,N,N,Y,0.027,N,N,N,0.0066,N,N,0.005,N,Y
201508,서울특별시,279175,33172,40650,22.0,N,34.0,N,N,0.4,N,N,0.023,N,N,Y,0.029,Y,N,N,0.0256,N,Y,0.005,N,Y
201509,서울특별시,490028,29269,53904,16.0,N,28.0,N,N,0.4,N,N,0.027,N,N,Y,0.025,N,N,N,0.0119,N,N,0.004,N,N
201510,서울특별시,407264,27144,53872,24.0,N,44.0,Y,N,0.5,N,Y,0.035,N,Y,Y,0.019,N,N,N,0.0121,N,N,0.005,N,Y
201511,서울특별시,419879,24792,56090,21.0,N,33.0,N,N,0.6,N,Y,0.034,N,Y,Y,0.012,N,N,N,0.0066,N,N,0.005,N,Y
201512,서울특별시,475370,27713,66398,28.0,N,48.0,Y,N,0.7,N,Y,0.039,N,Y,Y,0.009,N,N,N,0.0203,N,N,0.006,N,Y
201601,서울특별시,398187,27132,51760,27.0,N,50.0,Y,N,0.6,N,Y,0.035,N,Y,Y,0.014,N,N,N,0.0338,N,Y,0.006,N,Y
201602,서울특별시,430340,25837,59765,23.0,N,45.0,Y,N,0.6,N,Y,0.034,N,Y,Y,0.018,N,N,N,0.0348,N,Y,0.006,N,Y
201603,서울특별시,447576,29586,61129,32.0,N,64.0,Y,N,0.6,N,Y,0.038,N,Y,Y,0.025,N,N,N,0.022,N,N,0.006,N,Y
201604,서울특별시,437627,29507,60238,30.0,N,71.0,Y,N,0.5,N,Y,0.036,N,Y,Y,0.031,Y,N,N,0.036,N,Y,0.005,N,Y
201605,서울특별시,328617,32345,50714,29.0,N,56.0,Y,N,0.5,N,Y,0.031,N,Y,Y,0.039,Y,N,N,0.0169,N,N,0.005,N,Y
201606,서울특별시,252007,31103,36576,28.0,N,46.0,Y,N,0.4,N,N,0.028,N,N,Y,0.037,Y,N,N,0.0247,N,Y,0.005,N,Y
201607,서울특별시,250025,32131,33312,21.0,N,33.0,N,N,0.4,N,N,0.024,N,N,Y,0.025,N,N,N,0.0133,N,N,0.004,N,N
201608,서울특별시,297537,34595,39103,22.0,N,34.0,N,N,0.4,N,N,0.023,N,N,Y,0.03,Y,N,N,0.0224,N,Y,0.004,N,N
201609,서울특별시,441210,28162,49637,23.0,N,37.0,N,N,0.5,N,Y,0.026,N,N,Y,0.027,N,N,N,0.0325,N,Y,0.004,N,N
201610,서울특별시,433468,26873,53082,20.0,N,38.0,N,N,0.5,N,Y,0.029,N,N,Y,0.018,N,N,N,0.0319,N,Y,0.004,N,N
201611,서울특별시,443939,26689,59096,28.0,N,52.0,Y,N,0.6,N,Y,0.035,N,Y,Y,0.014,N,N,N,0.0197,N,N,0.005,N,Y
201612,서울특별시,575147,25528,71706,30.0,N,48.0,Y,N,0.7,N,Y,0.036,N,Y,Y,0.009,N,N,N,0.0279,N,Y,0.005,N,Y
201701,서울특별시,328801,26138,44796,32.0,N,53.0,Y,N,0.7,N,Y,0.035,N,Y,Y,0.035,Y,N,N,0.0211,N,N,0.005,N,Y
201702,서울특별시,338953,26782,42687,28.0,N,46.0,Y,N,0.6,N,Y,0.035,N,Y,Y,0.018,N,N,N,0.0203,N,N,0.005,N,Y
201703,서울특별시,479454,29652,54148,39.0,Y,60.0,Y,N,0.6,N,Y,0.038,N,Y,Y,0.038,Y,N,N,0.0193,N,N,0.005,N,Y
201704,서울특별시,459368,28727,54333,26.0,N,56.0,Y,N,0.5,N,Y,0.031,N,Y,Y,0.035,Y,N,N,0.0215,N,N,0.005,N,Y
201705,서울특별시,342995,33948,46305,24.0,N,63.0,Y,N,0.4,N,N,0.028,N,N,Y,0.039,Y,N,N,0.0367,N,Y,0.005,N,Y
201706,서울특별시,259785,31217,35461,22.0,N,41.0,N,N,0.4,N,N,0.024,N,N,Y,0.041,Y,N,N,0.0224,N,Y,0.004,N,N
