"Ω√µµ∏Ì(1)","Ω√±∫±∏(1)",2011.01,2011.02,2011.03,2011.04,2011.05,2011.06,2011.07,2011.08,2011.09,2011.10,2011.11,2011.12,2012.01,2012.02,2012.03,2012.04,2012.05,2012.06,2012.07,2012.08,2012.09,2012.10,2012.11,2012.12,2013.01,2013.02,2013.03,2013.04,2013.05,2013.06,2013.07,2013.08,2013.09,2013.10,2013.11,2013.12,2014.01,2014.02,2014.03,2014.04,2014.05,2014.06,2014.07,2014.08,2014.09,2014.10,2014.11,2014.12,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10
"Ω√µµ∏Ì(1)","Ω√±∫±∏(1)",√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë,√—∞Ë
"Ω√µµ∏Ì(1)","Ω√±∫±∏(1)",∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë,∞Ë
"º≠øÔ","∞Ë",2991173,2992406,2995826,2999731,2999402,2999651,3000038,2996185,2997625,2995251,2986274,2977599,2980456,2978551,2976607,2973801,2973240,2974463,2974882,2969652,2970713,2971024,2973320,2969184,2973804,2973781,2973218,2973735,2975744,2976043,2979258,2977324,2978495,2979834,2978969,2973877,2981263,2982658,2983448,2987197,2990011,2994260,2999673,3003300,3006781,3008363,3012795,3013541,3021688,3023786,3024391,3026957,3030052,3031607,3035979,3037031,3043191,3046176,3052968,3056588,3063247,3063683,3066050,3069594,3073263,3079041,3079928,3078045,3080627,3083269,3084245,3083007,3091903,3093930,3095613,3099256,3103357,3107935,3112120,3113550,3115764,3116066,3117713,3116256,3118469,3118125,3116691,3119463,3119696,3120469,3121497,3121532,3123924,3123896,3123702,3124651,3128420,3128962,3127236,3124289,3121807,3120332,3121140,3120892,3121687,3121416,3122433,3124157,3127566,3123984,3125333,3128523,3133353,3141710,3147149,3148071,3151842,3153732,3157278,3157361,3159552,3158102,3158710,3159075,3160629,3162985,3171767,3171749,3175142,3173961,3177236,3176743,3178074,3179328,3180299,3182255,3184795,3187333,3189670,3189058,3190525,3190108,3192112,3193351,3194351,3191681,3191538,3191516,3190288,3192434,3192414,3190446,3192359,3191832
"∫ŒªÍ","∞Ë",1153513,1155245,1156045,1157319,1159500,1161494,1162104,1162096,1162547,1163341,1160019,1159178,1162844,1164033,1163966,1164363,1165297,1166313,1168192,1168374,1170486,1172011,1174352,1175205,1179301,1180723,1181556,1182472,1182081,1183223,1185549,1185367,1186300,1186967,1183775,1183679,1188369,1190499,1192662,1194778,1196452,1200981,1203312,1205071,1206869,1212234,1213882,1214175,1219593,1222589,1224381,1227357,1230897,1235695,1239802,1241724,1245535,1248943,1253114,1255722,1259512,1262050,1269965,1273105,1276419,1281346,1285658,1287391,1289596,1291084,1293107,1295316,1300184,1300316,1303909,1307446,1311219,1315538,1319052,1322368,1326522,1327652,1330958,1333224,1337098,1339684,1342367,1346249,1349658,1353065,1356553,1358638,1361064,1363704,1369410,1371172,1374237,1377773,1379051,1379485,1381685,1384087,1385252,1387243,1389650,1388608,1391928,1395183,1397058,1398638,1399109,1402669,1406405,1411326,1415199,1416802,1420059,1423215,1426672,1429040,1433188,1435474,1437756,1440236,1444108,1447940,1451280,1454212,1454607,1456984,1460503,1464608,1468456,1472614,1475346,1478387,1481856,1485460,1487758,1489204,1491912,1495361,1497992,1499503,1501730,1504531,1507363,1509868,1511760,1514292,1516443,1517988,1520763,1523018
"¥Î±∏","∞Ë",953292,954666,956844,958211,963124,966358,968916,970858,973084,975175,985484,985349,987935,989387,990114,990474,994494,996398,997924,998472,1001007,1003534,1008968,1010065,1013157,1014528,1016803,1019496,1023376,1025408,1028439,1030265,1032590,1035397,1038204,1039225,1044199,1045966,1049019,1052424,1054989,1057448,1060776,1062717,1062550,1066214,1069568,1072305,1076512,1079920,1082918,1086665,1087466,1090566,1093000,1094000,1097823,1100261,1103391,1106002,1108455,1109004,1111860,1114718,1116622,1121285,1121928,1122296,1123671,1125092,1127839,1130811,1135006,1135646,1138268,1140879,1144276,1147171,1149216,1150147,1152024,1152836,1155789,1157053,1159779,1161086,1163153,1164220,1165890,1169274,1171042,1171803,1173853,1174278,1176887,1178353,1180280,1179956,1181477,1178908,1179594,1180955,1182351,1184063,1185649,1188000,1190399,1190154,1191489,1191697,1193893,1196824,1197218,1200662,1205069,1211905,1216725,1215989,1217653,1219196,1220935,1221573,1222893,1219856,1216753,1217764,1210314,1211148,1210508,1209936,1210298,1211095,1213125,1214343,1215776,1217300,1218159,1219864,1222724,1224123,1225493,1226904,1229448,1230183,1231992,1233053,1233621,1234315,1234643,1236731,1252839,1253127,1254767,1254866
"¿Œ√µ","∞Ë",931279,932586,935411,937127,938886,943262,948418,952434,959160,964223,973902,983508,989215,993034,997542,1002360,1007177,1013260,1019088,1025351,1031686,1038534,1043851,1049444,1057205,1062127,1068044,1076638,1083230,1090648,1100216,1108757,1115419,1124770,1134565,1142351,1152151,1158949,1170010,1180179,1188651,1198043,1209648,1217170,1224539,1232601,1240422,1247485,1257579,1264187,1270397,1277867,1286712,1299035,1309894,1317376,1327383,1336351,1347339,1355207,1364501,1366205,1371956,1381159,1391287,1402056,1404598,1409174,1415540,1421640,1431690,1437373,1445827,1449769,1454764,1461573,1465912,1474320,1482505,1485973,1492139,1497259,1504816,1510319,1518259,1523039,1527657,1532983,1537591,1543895,1548964,1553504,1558567,1564608,1569602,1577607,1585866,1589791,1592114,1596103,1602665,1609398,1617597,1618821,1620746,1626363,1630074,1635323,1637440,1635589,1639859,1657465,1660785,1665497,1670275,1667158,1667770,1671017,1675610,1676442,1678004,1676743,1677177,1674313,1674508,1677134,1676657,1676301,1669917,1669444,1672220,1675405,1679985,1683410,1688267,1690967,1695419,1698725,1704045,1706891,1707044,1697990,1693367,1692760,1696171,1698168,1699921,1703610,1704523,1712666,1722503,1723446,1725898,1726733
"±§¡÷","∞Ë",521402,523099,525036,526509,527707,529236,530941,532180,533629,535066,536095,535812,537326,538713,539915,540755,541614,542948,544140,544978,546398,547985,550170,550821,553428,554748,556356,558003,559364,560903,562691,563761,564825,566547,567699,568054,570306,571894,572907,574463,576828,578917,581483,583072,584998,586612,588724,589334,592020,593456,595373,597728,599458,601616,603580,604551,606621,607502,610423,611280,613552,614605,616656,617529,619195,621683,628249,628858,629969,631099,632583,633375,636015,636743,638056,639285,640460,642414,643756,645179,646936,647730,649341,649293,650988,651797,652723,653909,654938,656724,658381,659551,660837,662378,663799,664316,666311,666658,668127,668564,669489,670512,672166,673404,674470,675189,675894,676281,677933,678442,680363,682127,683239,685555,687391,687007,689331,689966,691412,691740,693200,693594,694618,694011,693698,694339,695263,696226,697653,698433,699627,700783,702532,703173,704823,704970,705650,706600,708257,709195,710889,711909,713371,714401,715299,716108,718007,718025,717829,718606,719251,719495,720642,721215
"¥Î¿¸","∞Ë",575001,576498,578117,579071,579847,580933,581705,581799,582977,584050,584451,584435,585844,586398,586810,587332,588350,589658,590233,589872,591069,592288,594043,594786,596532,597593,598727,599639,600745,601518,602791,603613,604152,605272,605956,606283,608924,609775,611087,612675,613869,614921,616444,617453,618480,619604,620662,621035,622705,623128,623330,624549,624925,626472,627486,627913,629445,630195,631854,632954,634465,634926,636387,637952,639606,641846,643298,643575,644240,645112,646688,648084,650595,650908,651954,653205,653815,654980,656189,656768,658093,658534,659496,659619,661136,661224,661833,662962,663517,664639,665977,666895,668089,668645,669668,669959,670964,670398,670970,671172,670929,671039,671788,671871,672494,672772,673178,673899,675265,675685,677716,678837,679867,681266,683138,682815,685034,684826,685561,686429,688150,688212,688610,689873,687234,687078,688738,689721,690678,691081,692045,692702,693937,694713,696012,697565,698942,699873,701928,702972,704163,705190,706862,707928,709448,710403,710922,711693,712542,714832,716858,716723,717993,718984
"øÔªÍ","∞Ë",443886,445020,446608,448136,449252,450675,452229,452356,453638,455267,456040,456051,458393,459588,460765,461818,462788,463945,465125,465353,466883,468076,469683,470410,473018,474159,475904,476975,477946,479305,480945,482067,482846,484016,485346,485184,488193,489580,491012,492512,494244,495848,497455,498415,499550,501130,503499,504604,507680,508749,510573,512537,513801,515210,517019,518019,519681,522108,524123,525092,527449,528605,530037,531375,532802,534522,535697,536007,536689,536131,537672,538720,540964,541387,542434,543303,544154,545289,546167,546628,547548,548292,549105,549489,550794,551530,552619,553893,554810,555362,555983,556309,556948,557340,558034,558106,559108,559599,560436,561228,561418,562106,563035,563684,564365,564232,564813,565639,566595,566679,567857,568443,569209,571307,573415,573145,573573,573848,574878,575700,577224,577732,578716,578699,578127,578256,578933,579023,579372,579825,580822,581429,582444,583123,583455,583536,583904,584660,585114,585311,585946,586692,587727,588079,589772,591395,592578,593695,594515,595802,596403,596763,597243,597878
