STD_YYYYMM,SIDO,비염환자수,아토피환자수,천식환자수
200601,서울특별시,234658,30449,53349
200602,서울특별시,190039,32459,47646
200603,서울특별시,281952,35248,64888
200604,서울특별시,270801,30866,70532
200605,서울특별시,223894,35524,60583
200606,서울특별시,162655,32878,45488
200607,서울특별시,135037,38230,35297
200608,서울특별시,154519,40707,41133
200609,서울특별시,336156,31118,68853
200610,서울특별시,228055,29091,60551
200611,서울특별시,307721,31983,75988
200612,서울특별시,303464,29875,66734
200701,서울특별시,281194,34617,61889
200702,서울특별시,192761,30725,43883
200703,서울특별시,252344,33539,56360
200704,서울특별시,280804,32438,69753
200705,서울특별시,225182,35034,55519
200706,서울특별시,159711,35592,44517
200707,서울특별시,159818,34423,40990
200708,서울특별시,168757,37937,39873
200709,서울특별시,359518,28472,70871
200710,서울특별시,330179,37820,74820
200711,서울특별시,335061,32845,74478
200712,서울특별시,368266,30062,71424
200801,서울특별시,291203,36068,58489
200802,서울특별시,302131,33998,60898
200803,서울특별시,300948,32680,62013
200804,서울특별시,316287,35520,66768
200805,서울특별시,254814,35752,61370
200806,서울특별시,197772,32838,49700
200807,서울특별시,160465,38302,37860
200808,서울특별시,200554,34710,35995
200809,서울특별시,338129,33435,54659
200810,서울특별시,322088,31755,67170
200811,서울특별시,317626,30499,66137
200812,서울특별시,413710,31927,81867
200901,서울특별시,294476,33262,56857
200902,서울특별시,221748,30443,45891
200903,서울특별시,326188,34058,63546
200904,서울특별시,387361,31964,79723
200905,서울특별시,288147,33199,58681
200906,서울특별시,215603,33992,46709
200907,서울특별시,191867,34385,43290
200908,서울특별시,281190,33731,49915
200909,서울특별시,487897,28643,69673
200910,서울특별시,434160,30064,73403
200911,서울특별시,418372,27571,69707
200912,서울특별시,372387,30029,63183
201001,서울특별시,334952,29569,51572
201002,서울특별시,294948,27477,46974
201003,서울특별시,407016,32986,66778
201004,서울특별시,417737,30487,76846
201005,서울특별시,327758,33057,71559
201006,서울특별시,231663,35333,52529
201007,서울특별시,199269,35814,42705
201008,서울특별시,211459,34196,37601
201009,서울특별시,482175,32234,63432
201010,서울특별시,424366,30604,74581
201011,서울특별시,364162,29148,74202
201012,서울특별시,427565,28488,82401
201101,서울특별시,336182,29967,58807
201102,서울특별시,298918,26399,47955
201103,서울특별시,415237,32392,61728
201104,서울특별시,348612,29514,64524
201105,서울특별시,333873,33737,67183
201106,서울특별시,225787,32206,49516
201107,서울특별시,197843,34646,43728
201108,서울특별시,264185,37597,53793
201109,서울특별시,473731,31531,77114
201110,서울특별시,429155,27381,76864
201111,서울특별시,394234,26069,68697
201112,서울특별시,422913,30512,64402
201201,서울특별시,400614,28777,68677
201202,서울특별시,403070,28279,65842
201203,서울특별시,447390,29458,72926
201204,서울특별시,391645,28020,71267
201205,서울특별시,352662,36310,65423
201206,서울특별시,217698,31257,41682
201207,서울특별시,201105,32905,38654
201208,서울특별시,232314,32572,40840
201209,서울특별시,485862,27259,62920
201210,서울특별시,419958,30131,67613
201211,서울특별시,382302,26851,65359
201212,서울특별시,350055,26648,55093
201301,서울특별시,399521,28607,60654
201302,서울특별시,370921,27450,59390
201303,서울특별시,442069,29923,68833
201304,서울특별시,414339,29349,66983
201305,서울특별시,345454,34664,60481
201306,서울특별시,221344,33501,42032
201307,서울특별시,221051,36764,38460
201308,서울특별시,276073,37646,42301
201309,서울특별시,491787,28572,62028
201310,서울특별시,415558,29150,64031
201311,서울특별시,408956,26617,60590
201312,서울특별시,366993,26420,54406
201401,서울특별시,446345,27596,60688
201402,서울특별시,498315,27185,69514
201403,서울특별시,397567,29439,61372
201404,서울특별시,412948,31803,68498
201405,서울특별시,313904,34314,54470
201406,서울특별시,227787,31481,40623
201407,서울특별시,257335,34532,41561
201408,서울특별시,288433,31794,41229
