"구분","항목","단위","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월",
"대흥동","As","",".0133",".0061",".002",".0019",".0016",".001",".0007",".0008",".0009",".0006",".0014",".0008",".0053",".0016",".0032",".003",".0032",".0031",".0044",".0042",".0034",".0021",".0045",".0076","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"성수동","As","",".0072",".005",".0011",".0026",".0028",".0037",".0021",".0033",".0034",".0014",".0023",".0037",".0076",".0014",".0031",".0031",".0013",".0032",".0057",".0045",".0028",".0029",".006",".0086","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"마포구","As","","","","","","","","","","","","","","","","","","","","","","","","","",".0063",".0093",".005",".0085",".0039",".0028",".0027",".0071",".0025",".0032",".0014",".0073",".0115",".005",".0083",".0054",".0088",".0063",".0024",".0044",".006",".0089",".0042",".0063",".0091",".0062",".0036",".0066",".0092",".005",".0025","",".0025",".0093",".0028",".0038",".0037",".004",".0057",".004",".002",".0011",".0006",".0017",".0011",".0034",".0115",".0103",".008",".0071",".0057",".0042",".0039",".0084",".0006","",".0009",".0112",".0041",".0051",".0056",".0049",".005",".0072",".0019",".0079",".0069",".0005",".0047",".0136",".1902",".0058",".0043",".0032",".0113",".0074",".0052",".001",".001",".0039",".0018",".0055",".0028",".0054",".0064",".006",".0037",".0039",".0068",".0005",".0027",".0119",".0019",".003",".0042",".0166",".0081",".01958",
"광진구","As","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0006",".0027",".0007",".0111",".0042",".0047",".0045",".0053",".004",".0059",".0021",".0068",".0078",".0003",".002",".0119",".0122",".0067",".0046",".0035",".0095",".0063",".0036",".001",".0011",".0033",".0015",".0063",".0019",".0032",".007",".0051",".0039",".0031",".0061",".0005",".0022",".0095",".0024",".0028",".0043",".0128",".00708",".01586",
"성동구","As","","","","","","","","","","","","","","","","","","","","","","","","","",".0068",".009",".0052",".0075",".003",".0025",".0023",".006",".0023",".0036",".0013",".0051",".0105",".0049",".0073",".0051",".0073",".0063",".0017",".0042",".0054",".0087",".003",".0048",".0062",".0053",".0035",".0065",".0075",".0053",".0025",".0014",".0059",".0095",".0028",".0049",".0033",".0041",".0047",".0038",".0021",".0011",".0006",".0016",".001",".0029",".0111",".0119",".0098",".0082",".0064",".0037",".004",".0064","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"구로구","As","",".0095",".0065",".002",".0007",".0021",".0009",".0007",".0008",".0009",".0007",".0014",".0012",".0065",".0022",".0034",".0029",".0037",".003",".0041",".004",".0029",".0024",".0047",".0068",".0066",".009",".0052",".0089",".0038",".003",".003",".0063",".0024",".0033",".0017",".0075",".0085",".0053",".0076",".0058",".0086",".006",".0022",".0044",".0058",".008",".0038",".0066",".0083",".0061",".0035",".0065",".0083",".0054",".0026",".0017",".0065",".0089",".0028",".0042",".0036",".0036",".005",".0038",".0021",".001",".0006",".0018",".001",".0033",".0118",".0101",".0086",".007",".0056",".0041",".0038",".0084",".0006",".0027",".0009",".0105",".0046",".0049",".0053",".0045",".0065",".0139",".0019",".0076",".0059",".0005",".0058",".0146",".0127",".0073",".0042",".003",".0111",".0063",".0046",".0009",".001",".0039",".002",".0067",".0027",".0054",".0056",".0064",".004",".0043",".0077",".0004",".0029",".0127",".0026",".0038",".0045",".0178",".00866",".02194",
"송파구","As","","","","","","","","","","","","","","","","","","","","","","","","","",".0085",".0095",".0056",".0072",".0034","",".0022",".0057",".0022",".0035",".0015",".0054",".0107",".0056",".0076",".0052",".0074",".0065",".0016",".0042",".0055",".0087",".0038",".0052",".0064",".006",".0037",".0046",".0074",".0054",".0026",".0015",".006",".0085",".0028",".0048",".0033",".0038",".0052",".0037",".0021",".0011",".0006",".0015",".001",".0031",".0097",".012",".0099",".0078",".0061",".0035",".0039",".0062",".0007",".0013",".0008",".0106",".0039",".0043","0.0065*",".0032",".0043",".0056",".0019",".0059",".0068",".0008",".002",".0106",".0123",".0063",".0043",".0028",".0088",".0055",".0029",".001",".0009",".003",".0015",".0065",".0021",".0029",".0063",".0056",".0037",".003",".0057",".0004",".0022",".0108",".002",".0029",".0089",".0117",".00748",".0154",
"방이동","As","",".0082",".0047",".0026",".0029",".0022",".0035",".0023",".0031",".0027",".0023",".0031",".0031",".0081",".0015",".0038",".0055",".0037",".0048",".0059",".0052",".0023",".0031",".0047",".0101","","","","","",".0025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"양재동","As","",".0048",".005",".0015",".0012",".0008",".001",".0006",".0009",".0009",".0006",".0008",".0013",".0078",".0038",".0034",".0037",".0028",".0029",".0037",".0033",".0032",".0013",".0054",".0076",".0076",".01",".0056",".008",".0038",".0025",".003",".0063",".0022",".0033",".0021",".0072",".0115",".0078",".0073",".0066",".0081",".0059",".0024",".0046",".0057",".0083",".0043",".0082",".0075",".0069",".0047",".0061",".0061",".005",".0027",".002",".0055",".008",".0032",".0066",".0043",".007",".0062",".004",".0021",".0012",".0009",".0023",".0011",".0033",".0115",".0123",".0126",".0097",".0071",".0041",".0067",".01",".0008",".002",".0012",".0108",".0057",".006",".0063",".0063",".0059",".0082",".0018",".0068",".0069",".0007",".0019",".0111",".0138",".0078",".008",".005",".0116",".0063",".0032",".0013",".0012",".0033",".0019",".007",".0027",".0065",".0078",".0082",".0051",".0031",".0072",".0005",".0024",".0118",".002",".0028",".0042",".0175",".0093",".01882",
"학장동","As","",".0077","N.D.",".0034",".0041",".0081",".0079",".0002","N.D.",".0021",".0002","N.D.","N.D.",".0035","N.D.","N.D.","N.D.","N.D.",".0025","N.D.",".0025",".0115",".0061",".0059",".0054",".0069",".0027",".0024",".0129",".0061",".0025",".0103",".0026",".0022",".005",".0005",".0058","N.D.",".0043",".0139",".0063",".0088",".0095",".0047",".0099",".005",".0043",".0046",".0054",".0023",".0053",".004",".0076",".0083",".0125",".006","N.D.",".0055",".0032",".0054",".0023",".0002",".0034",".0018",".0006",".0038",".003",".0072",".0096",".0035",".0004",".0107",".0018",".007",".0057",".0104",".0033",".0127",".0003",".0011",".1889",".0019",".008",".0127",".0032",".0004",".0022",".006",".004",".0025",".0012",".0059","N.D.",".0049",".0065",".0045",".0018",".0047",".008",".0037",".0026",".0053",".008",".0036",".011","N.D.",".009",".0045",".0029",".0072",".0065",".0115","N.D.",".01",".0041",".0061",".0059",".0037",".0114",".0063",".0008",".00386",".0042",
