"관측지점별","항목","단위","2000.01 월","2000.02 월","2000.03 월","2000.04 월","2000.05 월","2000.06 월","2000.07 월","2000.08 월","2000.09 월","2000.10 월","2000.11 월","2000.12 월","2001.01 월","2001.02 월","2001.03 월","2001.04 월","2001.05 월","2001.06 월","2001.07 월","2001.08 월","2001.09 월","2001.10 월","2001.11 월","2001.12 월","2002.01 월","2002.02 월","2002.03 월","2002.04 월","2002.05 월","2002.06 월","2002.07 월","2002.08 월","2002.09 월","2002.10 월","2002.11 월","2002.12 월","2003.01 월","2003.02 월","2003.03 월","2003.04 월","2003.05 월","2003.06 월","2003.07 월","2003.08 월","2003.09 월","2003.10 월","2003.11 월","2003.12 월","2004.01 월","2004.02 월","2004.03 월","2004.04 월","2004.05 월","2004.06 월","2004.07 월","2004.08 월","2004.09 월","2004.10 월","2004.11 월","2004.12 월","2005.01 월","2005.02 월","2005.03 월","2005.04 월","2005.05 월","2005.06 월","2005.07 월","2005.08 월","2005.09 월","2005.10 월","2005.11 월","2005.12 월","2006.01 월","2006.02 월","2006.03 월","2006.04 월","2006.05 월","2006.06 월","2006.07 월","2006.08 월","2006.09 월","2006.10 월","2006.11 월","2006.12 월","2007.01 월","2007.02 월","2007.03 월","2007.04 월","2007.05 월","2007.06 월","2007.07 월","2007.08 월","2007.09 월","2007.10 월","2007.11 월","2007.12 월","2008.01 월","2008.02 월","2008.03 월","2008.04 월","2008.05 월","2008.06 월","2008.07 월","2008.08 월","2008.09 월","2008.10 월","2008.11 월","2008.12 월","2009.01 월","2009.02 월","2009.03 월","2009.04 월","2009.05 월","2009.06 월","2009.07 월","2009.08 월","2009.09 월","2009.10 월","2009.11 월","2009.12 월","2010.01 월","2010.02 월","2010.03 월","2010.04 월","2010.05 월","2010.06 월","2010.07 월","2010.08 월","2010.09 월","2010.10 월","2010.11 월","2010.12 월","2011.01 월","2011.02 월","2011.03 월","2011.04 월","2011.05 월","2011.06 월","2011.07 월","2011.08 월","2011.09 월","2011.10 월","2011.11 월","2011.12 월","2012.01 월","2012.02 월","2012.03 월","2012.04 월","2012.05 월","2012.06 월","2012.07 월","2012.08 월","2012.09 월","2012.10 월","2012.11 월","2012.12 월","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월",
"속초","평균상대습도[%]","%","56","41","45","55","79","78","74","83","79","65","53","43","47","51","48","51","61","75","77","80","71","69","44","36","51","37","47","54","69","73","83","81","77","59","42","61","49","66","65","66","76","75","86","85","81","56","68","40","39","42","42","53","66","74","83","81","77","60","54","45","40","46","53","53","69","76","79","75","80","63","43","33","54","49","45","63","72","79","85","77","72","70","54","49","49","52","57","58","65","73","83","78","79","67","53","46","50","36","63","62","66","79","77","83","77","64","53","45","41","53","54","55","64","74","84","78","73","56","58","43","44","59","66","57","63","75","77","81","78","68","41","37","33","62","45","53","70","72","87","81","72","59","64","44","43","46","63","65","77","88","85","89","83","65","55","50","55","50","62","60","69","81","78","75","82","70","52","54","50","78","57","65","62","90","80","88","84","67","61","38","52","59","52","69","61","83","85","83","80","58","74","53","43","55","57","66","67","82","89","82","87","75","60","56","50","44","57","56","62","79","81","84","70","74","43","38","37","43","59","57","75","72","82","82","73","61","57","42","35","49","51","55","52","78","80","78","79","68","57","45","53","53","56","50","70","74","85","82","75","60","47","35","43","51","64","61","63","81","84","80","80","69","50","46","48","40","61","55","54","79","88","81","76","70","55","34",
"북춘천","평균상대습도[%]","%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","71","73","66","64","59","55","56","59","78","76","74","74","67","67","60","53","61","60","66","63","71","69","72","75","75","62","55","59","58","57","55","72","78","80","80","78","76","73","72","69","57","52","72","72","81","90","84","78","73","69","68","61","68","61","75","78","80","82","79","83","75","72","65","55","66","56","60","78","85","88","80","81","77","70",
"철원","평균상대습도[%]","%","75","64","59","57","74","70","81","84","77","76","69","69","69","70","60","52","62","77","84","80","71","78","72","65","75","64","60","60","65","69","84","86","79","73","67","79","75","75","68","66","64","76","83","86","84","73","77","68","66","58","52","55","71","75","89","75","74","65","73","70","59","57","58","57","60","70","77","77","75","71","67","59","66","57","57","58","61","71","79","76","73","75","70","75","72","64","68","61","68","68","81","82","79","76","72","76","66","57","69","60","66","71","84","79","78","74","70","70","64","67","61","59","64","74","80","78","77","73","72","71","72","68","67","60","67","71","80","86","82","75","68","68","65","66","57","58","64","72","85","85","73","69","73","67","62","52","59","60","59","65","83","81","80","73","72","69","73","65","58","59","65","71","88","82","79","74","72","76","66","67","56","54","58","74","79","82","75","71","70","62","67","64","47","56","55","64","76","80","71","70","78","71","57","54","56","54","62","69","82","80","76","74","70","73","62","60","58","54","55","60","82","84","72","69","67","65","61","52","64","61","68","70","80","79","77","77","77","62","57","63","66","63","59","77","84","87","86","82","79","81","79","79","63","58","79","79","89","96","88","78","78","73","70","64","74","65","79","86","88","90","86","86","79","76","73","62","72","61","67","86","85","87","78","80","77","70",
"동두천","평균상대습도[%]","%","67","57","53","55","72","67","76","79","72","70","61","62","65","66","53","49","61","73","81","73","66","73","65","55","69","56","55","55","63","65","79","82","74","67","57","65","64","64","58","62","61","72","78","82","81","68","70","61","63","55","48","50","66","67","84","74","73","61","68","60","54","51","51","52","58","73","82","81","78","73","64","57","62","57","61","57","62","75","85","73","68","71","63","65","64","56","62","55","65","65","78","80","78","73","63","69","61","55","65","58","66","72","84","77","76","72","66","63","59","62","57","57","62","72","80","76","74","70","68","65","69","63","62","57","66","69","79","84","78","69","56","58","57","55","48","53","60","69","81","76","69","66","69","62","57","50","57","57","57","61","79","75","74","69","66","66","69","62","54","58","63","66","83","76","72","68","66","71","59","59","54","54","56","69","74","77","75","69","66","58","61","61","46","54","53","60","73","73","63","65","72","63","54","50","50","52","59","65","76","70","69","67","59","61","56","53","48","51","55","59","81","77","68","65","57","58","51","44","58","55","65","67","75","72","69","65","62","48","45","54","62","60","57","75","82","83","81","79","71","73","71","72","57","54","76","76","85","93","83","72","70","64","64","59","68","60","77","83","83","85","82","80","73","66","60","56","64","56","60","81","85","88","79","78","71","64",
"파주","평균상대습도[%]","%","","","","","","","","","","","","","","","","","","","","","","","","","72","64","64","64","71","73","85","90","81","73","65","70","69","72","68","68","68","78","83","86","84","71","72","64","66","60","55","58","73","74","88","81","79","70","78","67","56","54","59","60","66","79","86","84","82","79","71","64","68","62","61","64","70","79","86","78","76","78","68","71","71","63","68","64","73","72","80","81","80","76","70","72","64","58","69","65","71","75","85","79","79","76","69","67","62","68","62","63","68","76","82","80","79","76","72","70","72","68","65","64","74","76","85","88","84","75","67","66","65","67","58","62","69","79","88","88","76","74","75","66","59","53","62","67","68","69","87","86","83","77","73","70","71","67","63","64","73","76","87","82","79","73","72","74","64","63","62","61","64","73","76","79","75","68","66","60","61","63","51","57","61","67","75","77","69","69","76","66","58","55","58","59","66","73","83","78","76","75","67","68","63","62","59","62","66","69","89","87","80","74","70","70","64","57","71","67","76","79","83","82","80","79","77","62","61","62","67","66","65","78","83","86","85","80","74","76","73","74","62","61","80","80","86","93","84","76","75","69","65","63","73","65","79","85","85","84","83","82","79","71","66","63","70","65","69","84","89","90","84","82","78","70",
"대관령","평균상대습도[%]","%","73","61","57","57","74","76","82","87","85","75","67","59","71","73","64","59","70","85","84","90","86","82","66","59","76","61","60","56","73","78","87","90","89","74","63","79","73","81","80","73","78","83","95","92","91","72","76","65","64","60","53","54","72","76","88","91","90","78","74","68","63","66","68","58","71","82","90","88","91","80","64","58","70","67","58","69","72","81","95","86","86","81","75","74","71","72","73","63","68","76","87","83","87","80","70","72","70","60","75","66","68","85","82","86","84","76","71","67","64","69","66","64","65","75","85","85","83","73","75","67","68","70","76","63","65","72","82","85","84","81","63","63","61","70","58","63","66","74","87","86","82","75","76","67","67","59","69","63","70","85","83","87","85","75","71","67","69","61","59","67","67","82","83","81","88","80","69","72","63","79","64","66","58","87","80","89","87","77","71","61","69","68","51","67","56","76","84","84","85","72","85","73","59","63","63","63","61","77","86","85","89","84","73","72","65","62","65","58","63","76","87","90","83","85","61","61","57","54","69","60","74","76","86","89","87","77","72","60","53","63","70","66","56","81","88","87","91","86","78","71","76","74","70","66","78","80","91","91","89","79","68","63","64","60","71","65","73","84","88","91","91","82","72","67","62","56","68","58","59","83","85","87","85","83","66","57",
"춘천","평균상대습도[%]","%","70","60","55","54","71","67","75","81","77","77","70","68","68","68","58","49","57","70","78","74","69","77","71","60","70","58","53","54","63","64","75","80","76","71","62","72","68","68","62","63","63","72","77","83","82","75","73","65","63","55","49","52","69","69","83","76","77","66","72","70","56","54","54","51","59","69","77","77","74","72","67","60","66","56","51","57","62","70","81","75","73","78","72","75","72","67","69","62","69","70","81","86","82","78","74","75","66","55","67","59","66","71","80","77","79","78","73","71","66","66","59","59","65","73","77","75","77","74","70","69","71","66","65","57","63","68","77","82","80","76","67","68","65","66","55","58","63","71","86","82","73","73","72","68","65","53","58","59","60","64","79","79","83","78","73","74","80","65","58","62","64","68","82","82","82","77","73","80","69","67","59","61","61","72","77","83","80","78","73","66","72","68","50","60","58","66","78","79","73","75","83","75","64","60","60","58","65","71","84","79","81","78","74","75","68","65","62","58","60","65","86","84","80","78","69","69","62","54","64","62","70","67","79","77","76","77","77","64","59","60","62","59","55","70","76","78","78","76","74","72","70","67","55","51","68","67","76","84","78","73","68","65","65","57","63","57","70","74","76","79","76","80","70","68","64","52","62","52","57","74","84","87","81","80","74","67",
"백령도","평균상대습도[%]","%","","","","","","","","85","77","","65","70","73","67","62","64","75","83","90","79","70","75","63","62","67","66","68","67","72","73","86","86","76","66","61","67","68","71","69","67","64","78","85","83","78","64","67","59","62","58","59","62","69","69","88","79","77","61","68","64","55","53","55","67","63","87","85","83","77","65","60","64","59","60","62","67","71","84","84","76","66","72","62","63","60","63","70","69","69","69","80","86","75","68","60","63","60","57","71","61","76","80","92","80","73","68","59","62","63","66","63","59","64","82","82","77","71","66","69","65","72","67","66","67","72","72","87","86","77","69","64","69","61","70","59","66","59","82","91","90","77","69","78","63","61","57","67","71","63","78","92","83","75","66","59","69","69","63","66","62","75","80","95","84","75","66","61","59","61","61","67","67","71","82","85","79","70","66","59","60","62","61","60","56","63","78","80","83","72","69","77","63","63","57","64","67","65","86","94","83","83","71","67","66","61","63","66","68","69","78","94","85","79","70","61","63","64","59","75","69","83","89","92","87","78","65","65","64","61","65","75","69","72","89","90","87","84","75","63","69","66","77","66","68","86","87","91","98","84","66","68","61","69","67","75","67","78","90","85","88","79","62","63","63","58","58","71","69","74","86","88","85","79","68","68","65",
"북강릉","평균상대습도[%]","%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","76","65","55","49","44","56","57","53","59","71","82","78","73","57","61","45","46","58","68","52","60","68","72","80","79","72","46","43","41","66","47","52","67","68","83","78","73","62","64","49","49","43","56","54","64","78","74","80","74","58","51","45","49","45","52","52","63","79","71","67","76","66","48","50","46","73","52","55","49","77","68","79","74","60","55","35","48","54","40","59","49","69","74","72","72","54","71","53","46","57","56","60","59","78","86","80","87","77","61","57","50","45","56","52","56","73","81","88","77","81","50","43","42","47","63","54","70","66","78","82","75","62","56","42","35","48","49","53","46","75","77","79","81","70","58","44","54","52","54","50","67","70","86","82","78","62","47","37","44","49","62","57","63","80","84","83","82","72","52","49","48","38","59","53","52","76","88","82","78","73","57","39",
"강릉","평균상대습도[%]","%","58","39","41","50","70","69","67","79","76","64","54","42","48","52","47","44","56","67","67","74","70","65","46","38","53","37","43","45","62","63","76","78","73","55","41","60","49","65","61","62","73","69","82","78","77","52","62","39","38","39","37","42","57","61","73","78","75","59","51","43","39","44","50","47","59","65","73","70","77","62","43","32","51","45","39","55","62","70","81","71","70","64","53","47","48","52","57","54","58","67","81","72","80","65","51","46","51","35","59","54","55","72","69","78","71","59","50","44","39","51","53","51","56","68","80","77","72","57","61","47","48","60","69","54","60","67","74","79","76","69","42","42","38","62","46","53","66","65","82","75","71","59","62","47","47","42","56","53","62","75","71","80","72","56","49","44","48","43","50","51","61","74","70","61","72","64","44","46","43","71","50","52","45","74","63","77","71","58","52","33","46","50","38","57","46","65","70","69","69","53","69","48","37","47","49","52","49","66","74","70","76","67","53","49","43","38","49","44","47","62","68","75","61","67","38","34","32","38","51","48","67","61","72","77","72","57","52","41","34","44","47","51","44","69","71","72","76","67","56","47","56","53","56","51","65","67","83","77","75","59","48","40","46","50","60","55","60","73","76","77","77","70","52","48","47","39","57","50","48","71","80","75","73","70","55","41",
