"±¸ºÐ","Ç×¸ñ","´ÜÀ§","2010.01 ¿ù","2010.02 ¿ù","2010.03 ¿ù","2010.04 ¿ù","2010.05 ¿ù","2010.06 ¿ù","2010.07 ¿ù","2010.08 ¿ù","2010.09 ¿ù","2010.10 ¿ù","2010.11 ¿ù","2010.12 ¿ù","2011.01 ¿ù","2011.02 ¿ù","2011.03 ¿ù","2011.04 ¿ù","2011.05 ¿ù","2011.06 ¿ù","2011.07 ¿ù","2011.08 ¿ù","2011.09 ¿ù","2011.10 ¿ù","2011.11 ¿ù","2011.12 ¿ù","2012.01 ¿ù","2012.02 ¿ù","2012.03 ¿ù","2012.04 ¿ù","2012.05 ¿ù","2012.06 ¿ù","2012.07 ¿ù","2012.08 ¿ù","2012.09 ¿ù","2012.10 ¿ù","2012.11 ¿ù","2012.12 ¿ù","2013.01 ¿ù","2013.02 ¿ù","2013.03 ¿ù","2013.04 ¿ù","2013.05 ¿ù","2013.06 ¿ù","2013.07 ¿ù","2013.08 ¿ù","2013.09 ¿ù","2013.10 ¿ù","2013.11 ¿ù","2013.12 ¿ù","2014.01 ¿ù","2014.02 ¿ù","2014.03 ¿ù","2014.04 ¿ù","2014.05 ¿ù","2014.06 ¿ù","2014.07 ¿ù","2014.08 ¿ù","2014.09 ¿ù","2014.10 ¿ù","2014.11 ¿ù","2014.12 ¿ù","2015.01 ¿ù","2015.02 ¿ù","2015.03 ¿ù","2015.04 ¿ù","2015.05 ¿ù","2015.06 ¿ù","2015.07 ¿ù","2015.08 ¿ù","2015.09 ¿ù","2015.10 ¿ù","2015.11 ¿ù","2015.12 ¿ù","2016.01 ¿ù","2016.02 ¿ù","2016.03 ¿ù","2016.04 ¿ù","2016.05 ¿ù","2016.06 ¿ù","2016.07 ¿ù","2016.08 ¿ù","2016.09 ¿ù","2016.10 ¿ù","2016.11 ¿ù","2016.12 ¿ù","2017.01 ¿ù","2017.02 ¿ù","2017.03 ¿ù","2017.04 ¿ù","2017.05 ¿ù","2017.06 ¿ù","2017.07 ¿ù","2017.08 ¿ù","2017.09 ¿ù","2017.10 ¿ù","2017.11 ¿ù","2017.12 ¿ù","2018.01 ¿ù","2018.02 ¿ù","2018.03 ¿ù","2018.04 ¿ù","2018.05 ¿ù","2018.06 ¿ù","2018.07 ¿ù","2018.08 ¿ù","2018.09 ¿ù","2018.10 ¿ù","2018.11 ¿ù","2018.12 ¿ù","2019.01 ¿ù","2019.02 ¿ù","2019.03 ¿ù","2019.04 ¿ù","2019.05 ¿ù","2019.06 ¿ù","2019.07 ¿ù","2019.08 ¿ù","2019.09 ¿ù","2019.10 ¿ù","2019.11 ¿ù","2019.12 ¿ù","2020.01 ¿ù","2020.02 ¿ù","2020.03 ¿ù","2020.04 ¿ù","2020.05 ¿ù","2020.06 ¿ù","2020.07 ¿ù","2020.08 ¿ù","2020.09 ¿ù","2020.10 ¿ù","2020.11 ¿ù","2020.12 ¿ù","2021.01 ¿ù","2021.02 ¿ù","2021.03 ¿ù","2021.04 ¿ù","2021.05 ¿ù","2021.06 ¿ù","2021.07 ¿ù","2021.08 ¿ù","2021.09 ¿ù","2021.10 ¿ù","2021.11 ¿ù","2021.12 ¿ù","2022.01 ¿ù","2022.02 ¿ù","2022.03 ¿ù","2022.04 ¿ù","2022.05 ¿ù","2022.06 ¿ù","2022.07 ¿ù","2022.08 ¿ù","2022.09 ¿ù","2022.10 ¿ù","2022.11 ¿ù","2022.12 ¿ù","2023.01 ¿ù","2023.02 ¿ù",
"¼­¿ïÆ¯º°½Ã","¿ùÆò±Õ","",".044",".039",".032",".035",".035",".035",".024",".026",".026",".035",".038",".035",".035",".047",".03",".036",".034",".031",".026",".023",".025",".038",".036",".035",".037",".035",".031",".034",".034",".025",".022",".019",".026",".031",".033",".037",".045",".038",".037",".034",".035",".03",".022",".024",".026",".03",".036",".043",".042",".039",".037",".04",".032",".026",".023",".024",".03",".035",".039",".034",".037",".036",".04",".033",".032",".025",".021",".023",".027",".035",".034",".039",".035",".034",".038",".036",".031",".028",".024",".023",".026",".029",".035",".036",".035",".035",".038",".031",".028",".024",".023",".021",".027",".027",".033",".034",".035",".034",".033",".031",".025",".024",".019",".017",".019",".028",".039",".035",".039",".036",".034",".029",".028",".02",".018",".018",".021",".025",".034",".035",".034",".032",".027",".021",".02",".019",".016",".014",".016",".025",".03",".032",".031",".03",".032",".022",".019",".018",".016",".015",".014",".022",".031",".031",".032",".026",".026",".02",".015",".013",".014",".013",".016",".02",".028",".028",".0296",".029",
"ºÎ»ê±¤¿ª½Ã","¿ùÆò±Õ","",".024",".022",".018",".022",".021",".022",".017",".015",".017",".019",".029",".025",".019",".027",".022",".019",".02",".02",".016",".015",".016",".021",".021",".02",".02",".023",".021",".022",".024",".017",".019",".013",".018",".023",".022",".024",".027",".025",".024",".02",".024",".021",".017",".019",".015",".018",".02",".022",".024",".02",".02",".023",".021",".018",".017",".015",".016",".018",".024",".021",".022",".02",".021",".019",".025",".019",".016",".018",".015",".021",".023",".025",".024",".023",".026",".024",".023",".019",".017",".015",".016",".018",".024",".026",".024",".021",".022",".021",".021",".018",".017",".013",".017",".016",".025",".023",".022",".022",".021",".019",".018",".019",".016",".012",".014",".019",".027",".023",".024",".022",".02",".019",".021",".016",".015",".014",".015",".017",".023",".026",".021",".02",".016",".014",".014",".015",".014",".011",".012",".017",".02",".02",".019",".018",".017",".015",".014",".014",".01",".011",".01",".015",".021",".021",".021",".016",".018",".016",".015",".01",".012",".011",".01",".013",".019",".017",".0177",".0187",
"´ë±¸±¤¿ª½Ã","¿ùÆò±Õ","",".031",".028",".024",".025",".021",".021",".015",".017",".021",".026",".037",".034",".024",".036",".026",".024",".023",".022",".015",".015",".019",".031",".029",".028",".028",".027",".023",".02",".02",".012",".012",".011",".018",".026",".026",".028",".034",".03",".027",".022",".019",".016",".012",".015",".017",".023",".029",".032",".038",".03",".026",".027",".022",".015",".015",".015",".017",".026",".034",".027",".031",".026",".027",".019",".018",".016",".014",".016",".017",".022",".022",".026",".027",".023",".023",".02",".017",".014",".012",".012",".016",".019","0.029*",".028",".028",".025",".024",".019",".018",".014",".013",".012","0.017*","0.018*",".028",".028",".027",".025",".022",".017",".013",".013",".01",".01",".014",".021",".033",".029",".029",".026",".021",".017",".016",".013",".011",".012",".013",".017",".026",".03",".027",".023",".017",".013",".011",".012",".011",".009",".013",".019",".024",".024",".023",".022",".018",".013",".012",".01",".009",".01",".01",".016",".024",".025",".025",".018",".018",".013",".011",".008",".008",".009",".01",".014",".025",".023",".0243",".0244",
"ÀÎÃµ±¤¿ª½Ã","¿ùÆò±Õ","",".039",".033",".028",".03",".029",".032",".022",".022",".023",".033",".036",".033",".031",".042",".026",".033",".034",".028",".023",".023",".024",".035",".032",".029",".03",".031",".028",".029",".033",".023",".02",".018",".025",".028",".029",".03",".036",".029",".029",".028",".03",".026",".017",".018",".024",".029",".032",".035",".036",".035",".03",".033",".026",".021",".02",".02",".026",".032",".032",".028",".03",".029",".033",".03",".026",".022",".018",".017",".022",".026",".028",".033",".026",".026",".031",".031",".025",".021",".018",".017",".022",".025",".027",".028",".027",".026",".03",".025",".022",".018",".018",".019",".022",".022",".026",".031",".029",".027",".029",".027",".023",".022",".017",".016",".019",".026",".035",".03",".032",".029",".028",".026",".023",".017",".015",".015",".021",".023",".031",".031",".028",".027",".023",".017",".017",".016",".014",".012",".015",".021",".027",".027",".027",".024",".028",".021",".017",".017",".014",".014",".014",".02",".026",".028",".026",".022",".024",".018",".014",".012",".012",".011",".015",".019",".026",".024",".0267",".0245",
"±¤ÁÖ±¤¿ª½Ã","¿ùÆò±Õ","",".026",".025",".02",".021",".018",".017",".011",".01",".014",".021",".027",".025",".024",".031",".021",".021",".016",".013",".01",".012",".015",".022",".023",".022",".025",".023",".021",".018",".018",".014",".011",".01",".016",".022",".024",".022",".028",".024",".022",".02",".018",".016",".01",".012",".017",".021",".025",".026",".028",".024",".023",".02",".015",".013",".012",".022",".028",".02",".025",".021",".024",".021",".023",".019",".018",".014",".011",".012","0.014*",".021",".025",".026",".024",".021",".022",".018",".016",".013",".011",".014",".014",".019",".024",".025",".023",".022",".025",".018",".017",".015",".011",".012",".015",".017",".026",".024",".024",".024",".019",".016",".013",".011",".009",".008",".013",".019",".03",".024",".025",".02",".022",".019",".017",".014",".011",".011",".012",".017",".023",".025",".021",".018",".015",".013",".01",".009",".008",".006",".011",".016",".019",".022",".021",".019",".016",".013",".009",".009",".007",".008",".009",".013",".021",".021",".02",".017",".016",".013",".011",".007",".006",".007",".011",".014",".021",".022",".0201",".0208",
"´ëÀü±¤¿ª½Ã","¿ùÆò±Õ","",".032",".027",".022",".022",".019",".02",".014",".014",".019",".025",".03",".029",".027",".032",".021",".022",".019",".015",".013",".014",".017",".024",".022",".024",".023",".021",".02",".021",".019",".014",".013",".014",".019",".026",".028",".033",".036",".027",".023",".019",".018",".016",".01",".011",".018",".022",".026",".027",".031",".026",".022",".022",".016",".013",".012",".012",".014",".021",".026",".024",".024",".02",".021",".017",".017",".014",".011",".012",".017",".024",".022",".024",".021",".019",".019",".021",".017",".014",".013",".015",".016",".019",".028",".027",".024",".023",".021",".016",".015",".014",".011",".012",".016",".018",".023",".024",".026",".028",".022",".017",".014",".014",".011",".011",".012",".02",".03",".028",".029",".027",".023",".018",".017",".013",".011",".011",".013",".018",".025",".028",".026",".023",".018",".014",".011",".012",".01",".01",".012",".021",".024",".027",".025",".02",".021",".015",".012",".012",".009",".011",".011",".018",".024",".025",".027",".022",".021",".016",".013",".01",".01",".01",".012",".017",".025",".025",".0243",".0242",
"¿ï»ê±¤¿ª½Ã","¿ùÆò±Õ","",".025",".025",".022",".024",".024",".026",".018",".017",".018",".019",".03",".027",".022",".03",".026",".025",".023",".023",".019",".016",".018",".024",".026",".023",".023",".024",".024",".026",".026",".019",".022",".015",".019",".026",".025",".026",".029",".026",".027",".023",".027",".024",".019",".022",".017",".02",".024",".026",".028",".024",".025",".029",".026",".02",".021",".018",".016",".021",".027",".023",".025",".024",".026",".024",".028",".023",".018",".018",".015",".022",".022",".025",".026",".023",".026",".024",".024",".022",".019",".015",".018",".019",".026",".026",".024",".023",".025",".024",".026",".02",".019",".012",".017",".016",".028",".025",".024",".024",".023",".021",".019",".02",".017",".013",".013",".018",".027",".022",".024",".022",".022",".021",".024",".019",".016",".014",".015",".016",".022",".025",".021",".021",".018",".016",".015",".018",".015",".013",".014",".017",".022",".023",".022",".021",".02",".018",".017",".016",".013",".013",".011",".015",".021",".021",".022",".018",".019",".018",".017",".013",".014",".013",".012",".014",".02",".018",".0194",".02",
"¼¼Á¾Æ¯º°ÀÚÄ¡½Ã","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".028",".021",".026",".021",".017",".013",".016",".017",".019",".023",".03",".028",".027",".025",".024",".018",".015",".014",".012",".013",".02",".022",".021",".025",".028",".025",".019",".015",".013",".014",".011",".008",".012",".021",".031",".026",".024",".021",".022",".018",".018",".015",".012",".013",".015",".019",".026",".029",".027",".024",".019",".014",".012",".012",".01",".009",".012",".02",".024",".025",".025",".02",".02",".015",".012",".011",".009",".01",".01",".016",".021",".024",".025",".02",".018",".015",".011",".009",".009",".009",".012",".016",".023",".021",".0204",".0213",
"¼ö¿ø","¿ùÆò±Õ","",".048",".04",".033",".036",".033",".037",".021",".025",".027",".041",".043",".042",".045",".052",".032",".036",".035",".031",".023",".025",".031",".045",".041",".042",".044",".042",".035",".033",".037",".028",".022",".021",".033",".038",".039",".044",".05",".039",".038",".034",".034",".033",".018",".023",".031",".035",".038",".044",".046",".044",".036",".039",".029",".025",".023",".024",".031",".037",".045",".039",".042",".037",".042",".034",".031",".026",".021",".025",".029",".038",".038",".044",".039",".035",".036",".034",".03",".025",".022",".025",".03",".034",".038",".041",".041",".038",".042",".031",".028",".023","0.020*",".022",".03",".031",".036",".037",".039",".037",".031",".028",".024",".024",".017",".017",".021",".033",".046",".04",".045",".039",".034",".029",".026",".02",".015",".018",".021",".026",".035",".038",".037",".033",".027",".019",".019",".018",".015",".012",".017",".029",".034",".036",".033",".031",".032",".023",".019",".018",".015",".015",".014",".024",".033",".034",".037",".03",".028",".019",".015",".012",".012",".012",".017",".024",".032",".03",".0279",".0298",
"¾È¾ç","¿ùÆò±Õ","",".036",".032",".028",".031",".03",".033",".02",".023",".024",".029",".028",".029",".034",".048",".031",".036",".034",".029",".024",".022",".028",".04",".036",".037",".038",".036",".031",".03",".034",".026",".022",".024",".031",".035",".037",".041",".045",".038",".036",".033",".033",".034",".021",".025",".033",".036",".038",".042",".042",".042",".037",".038",".03",".024",".023",".026",".032",".036",".038",".035",".041",".038",".042",".035",".031",".027","0.019**",".023",".03",".038",".037",".044",".038",".037",".039",".036",".03",".026",".022",".024",".026",".026",".028",".03",".03",".03",".036",".032",".027",".022",".022",".023",".031",".03",".036",".039",".042",".041",".039",".032",".025",".024",".019",".017",".022",".03",".041",".041",".045",".04",".033",".03",".027",".02",".015",".017",".022",".027",".036",".038",".038",".033",".03",".022",".02",".019",".015",".012",".015",".027",".035",".034",".033",".031",".033",".023",".02",".019",".015",".014",".014",".022",".03",".03",".032",".026",".026",".02",".015",".012",".012",".011",".015",".021",".029",".029",".0295",".033",
