"지역별(1)",2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"지역별(1)",1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
"서울",2012,1871,2003,1970,2037,1882,1849,1900,1907,1921,1830,2038,1912,1829,1994,1906,1960,1498,1767,1850,1811,1994,1933,1990,1828,1970,2050,1963,2059,1985,2010,1906,2023,2121,2049,2042,2003,2006,2110,2211,2234,2149,2041,2031,2179,2199,2152,2247,2431,2025,2121,2155,2059,2115,2184,2091,2005,2198,2177,2250,2169,1831,2082,2104,2044,1922,2109,2042,2038,2118,2032,2162,2317,1805,1813,1961,2202,2032,2155,1911,1769,2079,2113,1929,2074,1855,2112,2223,2221,2182,2211,2151,2081,2136,2049,2053
"부산",391,369,409,362,408,386,380,421,455,407,447,469,413,472,458,419,436,419,397,426,443,440,467,491,492,454,443,417,440,412,455,438,451,441,407,394,433,390,471,476,483,457,435,470,456,526,462,546,533,436,550,449,530,462,489,513,499,580,540,527,558,500,509,541,619,506,545,537,560,601,544,590,575,480,488,551,563,547,579,523,532,551,515,537,557,508,601,554,645,605,587,550,582,569,565,545
"대구",673,543,568,607,625,571,566,603,590,543,629,606,593,561,599,574,586,507,533,579,573,587,599,606,574,553,642,621,626,570,632,567,643,630,624,568,618,600,598,602,666,671,598,622,582,612,653,717,669,576,634,615,644,616,611,547,567,655,625,628,629,607,666,686,764,725,696,673,630,692,710,739,697,506,408,584,620,661,658,632,544,656,632,636,598,612,678,665,716,628,696,610,559,643,691,590
"인천",341,309,320,293,332,296,299,284,272,297,300,360,328,328,387,364,365,343,361,353,384,358,332,368,350,384,413,435,409,423,454,417,435,458,430,466,492,398,440,453,487,448,467,456,464,447,491,439,502,433,439,486,456,477,458,473,501,535,520,492,545,476,602,588,656,547,582,569,543,552,531,551,563,491,471,478,537,518,562,483,477,558,556,529,551,501,536,557,617,586,554,567,582,592,586,570
"광주",278,277,336,361,359,300,352,334,379,401,370,348,341,344,411,400,460,381,398,386,421,406,413,412,435,446,431,389,416,391,416,433,425,393,393,452,417,374,427,395,425,437,365,405,440,449,435,434,466,422,410,444,459,418,441,430,400,445,405,436,431,377,451,433,464,452,432,473,501,495,487,503,512,406,418,414,470,419,431,398,449,483,368,387,410,424,425,416,449,408,423,396,366,367,400,381
"대전",408,359,400,399,424,420,418,409,373,386,403,430,383,355,349,396,394,254,384,363,362,368,374,343,373,350,355,341,405,393,366,341,361,374,354,362,406,335,411,419,387,409,361,442,426,403,376,405,469,383,384,392,423,401,389,363,394,401,369,405,397,356,446,373,420,389,389,387,380,418,404,429,377,357,316,372,376,386,386,354,374,395,384,335,338,345,318,373,385,365,353,367,350,369,365,352
"울산",103,123,94,110,91,104,100,108,83,88,105,145,134,108,88,134,130,108,102,126,124,124,130,108,127,139,115,114,120,121,135,116,111,119,102,128,134,113,121,133,128,108,118,117,95,120,123,140,146,110,127,118,140,136,102,134,131,116,117,158,148,108,145,128,157,130,129,136,144,130,152,135,129,127,115,111,156,141,150,152,136,149,138,130,128,123,137,123,156,173,165,160,129,163,137,170
"세종",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,39,42,38,51,43,43,46,54,64,64,57,46,47,48,56,44,48
"경기",1746,1495,1652,1671,1667,1558,1546,1622,1626,1676,1655,1737,1659,1619,1638,1584,1650,1357,1543,1558,1519,1685,1657,1740,1821,1678,1721,1728,1884,1730,1647,1688,1848,2022,1940,1974,2053,1830,1920,2001,2221,1907,2036,2116,2010,2156,2040,2160,2159,1825,2017,2062,2096,2037,2097,2111,1938,2170,2133,2164,2399,2098,2383,2397,2463,2289,2380,2299,2301,2371,2259,2491,2351,1982,1925,1821,2132,2034,2146,2087,2016,2280,2153,2145,2133,2087,2322,2218,2475,2481,2249,2116,2354,2379,2312,2167
"강원",240,277,306,299,350,265,293,277,290,285,270,345,309,324,308,301,351,268,332,296,295,282,318,345,330,314,293,305,331,307,303,300,336,358,333,357,366,347,411,419,419,377,346,411,412,439,336,404,408,373,402,459,444,385,402,415,397,420,410,409,449,400,390,428,439,436,433,452,427,419,382,460,446,368,384,379,393,378,435,382,333,375,397,424,353,409,409,460,494,457,429,424,414,419,409,397
"충북",162,163,153,166,149,143,151,133,155,136,146,164,159,149,145,150,145,130,133,139,137,166,148,172,193,198,199,182,199,186,171,178,186,191,198,197,179,180,181,186,192,149,147,180,171,181,202,213,230,168,205,216,238,191,187,207,184,218,207,238,311,294,309,329,308,302,303,307,283,312,323,298,316,271,260,292,303,305,275,246,261,251,289,278,313,261,287,291,301,268,256,285,242,267,275,295
"충남",263,212,262,246,268,277,223,262,262,256,288,255,272,270,288,283,271,212,234,251,254,236,240,260,320,339,298,286,312,279,306,312,307,315,323,292,338,318,301,348,323,318,335,268,305,352,332,321,314,291,342,328,345,337,329,274,268,312,325,301,319,309,360,292,354,303,329,305,313,336,378,328,349,281,256,275,328,308,327,306,315,301,295,323,332,333,352,336,370,378,342,369,326,343,346,309
"전북",379,347,347,344,366,340,331,314,359,381,384,452,419,467,457,504,460,395,445,427,442,441,419,468,451,514,477,484,541,519,447,482,475,527,551,559,528,494,560,610,638,571,571,592,576,607,587,561,560,493,484,515,512,500,490,481,457,495,499,539,513,502,485,493,573,509,553,530,503,505,547,517,552,482,488,492,522,554,554,523,499,515,515,499,508,470,557,524,523,591,537,592,614,566,566,573
"전남",167,129,150,158,164,168,154,158,163,182,169,169,177,147,157,141,201,168,140,141,144,166,142,188,182,186,155,156,199,150,200,174,191,198,200,190,182,166,215,190,179,194,176,186,201,249,218,260,236,230,217,229,258,176,222,217,214,227,223,278,246,219,253,286,277,246,269,248,236,283,257,284,274,222,239,212,225,261,219,241,216,275,216,235,238,235,270,294,259,241,222,204,222,230,250,271
"경북",332,289,354,314,346,337,316,335,372,391,357,390,400,379,390,377,382,320,351,350,335,377,362,380,352,356,344,322,362,333,353,286,326,386,330,390,417,376,394,431,405,371,384,363,351,392,372,393,405,355,392,349,385,401,359,343,347,354,375,387,397,332,367,373,352,348,343,335,360,349,399,361,400,297,324,340,350,353,359,367,365,347,374,367,373,378,388,375,397,350,363,400,343,363,423,355
"경남",345,360,384,363,408,384,375,379,385,368,379,397,391,392,384,377,412,297,341,336,353,349,348,392,364,402,387,402,385,359,333,355,360,355,371,392,436,374,397,413,429,444,470,395,446,497,443,469,455,443,476,500,523,450,476,490,473,527,466,550,492,458,527,457,513,513,500,439,483,513,478,480,499,425,464,499,495,437,438,467,451,462,453,485,549,480,526,535,535,533,519,490,489,474,512,498
"제주",112,103,142,132,139,122,105,135,132,144,144,153,135,133,135,121,146,125,127,132,144,133,129,133,154,136,164,122,155,132,162,170,154,138,155,143,173,135,178,144,183,197,158,153,162,155,177,161,191,117,129,157,188,161,153,137,152,171,142,174,169,174,164,176,192,193,152,176,146,176,175,187,140,146,133,131,146,133,170,176,156,158,172,177,168,152,169,160,177,152,201,176,173,164,158,179
