"±¸ºÐ","Ç×¸ñ","´ÜÀ§","2010.01 ¿ù","2010.02 ¿ù","2010.03 ¿ù","2010.04 ¿ù","2010.05 ¿ù","2010.06 ¿ù","2010.07 ¿ù","2010.08 ¿ù","2010.09 ¿ù","2010.10 ¿ù","2010.11 ¿ù","2010.12 ¿ù","2011.01 ¿ù","2011.02 ¿ù","2011.03 ¿ù","2011.04 ¿ù","2011.05 ¿ù","2011.06 ¿ù","2011.07 ¿ù","2011.08 ¿ù","2011.09 ¿ù","2011.10 ¿ù","2011.11 ¿ù","2011.12 ¿ù","2012.01 ¿ù","2012.02 ¿ù","2012.03 ¿ù","2012.04 ¿ù","2012.05 ¿ù","2012.06 ¿ù","2012.07 ¿ù","2012.08 ¿ù","2012.09 ¿ù","2012.10 ¿ù","2012.11 ¿ù","2012.12 ¿ù","2013.01 ¿ù","2013.02 ¿ù","2013.03 ¿ù","2013.04 ¿ù","2013.05 ¿ù","2013.06 ¿ù","2013.07 ¿ù","2013.08 ¿ù","2013.09 ¿ù","2013.10 ¿ù","2013.11 ¿ù","2013.12 ¿ù","2014.01 ¿ù","2014.02 ¿ù","2014.03 ¿ù","2014.04 ¿ù","2014.05 ¿ù","2014.06 ¿ù","2014.07 ¿ù","2014.08 ¿ù","2014.09 ¿ù","2014.10 ¿ù","2014.11 ¿ù","2014.12 ¿ù","2015.01 ¿ù","2015.02 ¿ù","2015.03 ¿ù","2015.04 ¿ù","2015.05 ¿ù","2015.06 ¿ù","2015.07 ¿ù","2015.08 ¿ù","2015.09 ¿ù","2015.10 ¿ù","2015.11 ¿ù","2015.12 ¿ù","2016.01 ¿ù","2016.02 ¿ù","2016.03 ¿ù","2016.04 ¿ù","2016.05 ¿ù","2016.06 ¿ù","2016.07 ¿ù","2016.08 ¿ù","2016.09 ¿ù","2016.10 ¿ù","2016.11 ¿ù","2016.12 ¿ù","2017.01 ¿ù","2017.02 ¿ù","2017.03 ¿ù","2017.04 ¿ù","2017.05 ¿ù","2017.06 ¿ù","2017.07 ¿ù","2017.08 ¿ù","2017.09 ¿ù","2017.10 ¿ù","2017.11 ¿ù","2017.12 ¿ù","2018.01 ¿ù","2018.02 ¿ù","2018.03 ¿ù","2018.04 ¿ù","2018.05 ¿ù","2018.06 ¿ù","2018.07 ¿ù","2018.08 ¿ù","2018.09 ¿ù","2018.10 ¿ù","2018.11 ¿ù","2018.12 ¿ù","2019.01 ¿ù","2019.02 ¿ù","2019.03 ¿ù","2019.04 ¿ù","2019.05 ¿ù","2019.06 ¿ù","2019.07 ¿ù","2019.08 ¿ù","2019.09 ¿ù","2019.10 ¿ù","2019.11 ¿ù","2019.12 ¿ù","2020.01 ¿ù","2020.02 ¿ù","2020.03 ¿ù","2020.04 ¿ù","2020.05 ¿ù","2020.06 ¿ù","2020.07 ¿ù","2020.08 ¿ù","2020.09 ¿ù","2020.10 ¿ù","2020.11 ¿ù","2020.12 ¿ù","2021.01 ¿ù","2021.02 ¿ù","2021.03 ¿ù","2021.04 ¿ù","2021.05 ¿ù","2021.06 ¿ù","2021.07 ¿ù","2021.08 ¿ù","2021.09 ¿ù","2021.10 ¿ù","2021.11 ¿ù","2021.12 ¿ù","2022.01 ¿ù","2022.02 ¿ù","2022.03 ¿ù","2022.04 ¿ù","2022.05 ¿ù","2022.06 ¿ù","2022.07 ¿ù","2022.08 ¿ù","2022.09 ¿ù","2022.10 ¿ù","2022.11 ¿ù","2022.12 ¿ù","2023.01 ¿ù","2023.02 ¿ù",
"ÃÑ°è","¿ùÆò±Õ","","57","49","64","51","59","52","36","36","32","45","73","63","45","72","65","59","75","49","34","32","33","46","46","50","57","51","51","54","58","41","33","27","33","40","48","43","64","49","62","54","60","46","38","40","33","36","46","54","62","57","58","58","67","45","41","32","34","38","47","44","52","75","68","47","50","43","34","37","30","48","36","50","50","47","60","67","54","42","30","34","37","39","53","48","52","47","59","57","62","42","35","26","37","33","48","47","50","52","49","56","43","38","28","24","24","33","56","45","60","56","62","42","50","33","27","28","25","32","41","39","39","38","40","41","34","34","20","24","22","34","38","38","39","43","65","41","52","32","22","21","17","27","40","36","39","37","42","39","33","22","22","19","22","26","39","35","45","43",
"¼­¿ïÆ¯º°½Ã","¿ùÆò±Õ","","59","50","61","49","56","51","33","32","25","41","71","62","44","75","65","56","72","44","28","27","29","42","38","46","60","50","46","51","52","40","28","22","27","33","42","41","64","45","55","52","55","40","34","35","28","29","42","55","57","57","60","58","63","38","38","29","29","33","45","44","49","84","71","45","45","35","30","34","28","44","33","48","50","45","64","71","56","46","33","34","37","38","52","48","53","46","60","56","63","41","33","21","32","29","42","50","52","53","52","52","42","37","24","22","20","28","52","43","66","57","69","41","52","29","26","25","21","31","40","42","42","41","45","44","35","36","21","23","19","33","42","42","38","48","67","42","61","33","24","22","15","27","45","39","43","40","41","45","33","22","25","20","22","25","39","38","48","46",
"ºÎ»ê±¤¿ª½Ã","¿ùÆò±Õ","","47","44","64","50","56","46","41","42","38","41","60","55","38","57","58","56","76","52","41","35","33","43","41","41","45","46","47","53","58","38","40","34","35","42","47","36","56","47","66","49","62","47","47","47","33","38","43","47","57","45","50","53","71","54","48","36","39","39","47","42","47","63","56","48","56","49","37*","39*","29*","43*","33","41","45","46","52","60","53","39","29","36","36","37","49","44","45","42","52","54","58","42","37","28","39","32","50","46","45","52","44","63","44","41","37","28","26","32","47","40","48","48","51","40","47","32","26","30","24","27","35","35","32","34","33","36","32","27","18","31","24","30","31","33","36","37","60","37","36","26","18","19","17","23","34","31","31","30","38","32","31","19","20","19","20","21","33","30","37","34",
"´ë±¸±¤¿ª½Ã","¿ùÆò±Õ","","56","49","69","47","55","47","36","38","36","43","70","67","41","65","58","51","66","46","35","32","32","44","47","43","51","49","48","50","49","37","34","27","31","43","48","43","65","50","60","45","52","44","32","39","31","35","42","48","60","50","50","53","60","42","38","27","33","36","49","44","54","66","61","42","48","47","34","37","30","43","34","51","49","45","52","60","48","39","29","28","33","35","52*","47","49","41","48","50","53","38","34","24","36*","32*","52","46","47","48","43","56","40","36","27","22","24","32","57","47","57","54","54","40","46","32","26","26","23","27","41","42","37","38","38","39","38","35","22","25","25","33","40","38","40","41","59","42","41","35","19","21","18","26","40","38","37","35","42","36","33","22","20","18","20","24","41","35","42","42",
"ÀÎÃµ±¤¿ª½Ã","¿ùÆò±Õ","","64","54","67","55","62","57","37","37","34","51","78","67","48","79","71","63","84","50","36","36","40","54","49","50","63","56","55","57","64","45","30","28","35","40","49","46","63","50","58","59","60","48","39","40","35","36","46","55","58","58","58","59","67","43","41","34","36","40","47","45","53","84","73","54","52","42","34*","42*","38*","53","41","54","49","46","65","72","58","48","35","37","41","42","55","47","52","47","62","58","63","42","37","27*","38","33","41","45","48","49","49","46","40","34","26","25","24","33","55","45","62","55","67","43","51","29","31","30","28","35","41","40","42","37","41","39","31","32","21","24","20","34","39","39","37","46","69","42","59","36","29","22","16","28","44","39","42","38","42","44","32","21","26","21","26","30","41","38","50","48",
"±¤ÁÖ±¤¿ª½Ã","¿ùÆò±Õ","","46","39","65","42","62","39","27","28","29","42","70","54","34","60","55","54","67","45","28","27","30","40","38","35","45","40","45","45","56","35","24","22","32","39","43","31","52","40","59","46","57","42","33","32","33","32","39","42","52","46","49","43","64","41","29","32","31","32","37","35","43","59","64","40","41","41","31*","29*","25*","49*","35","42","39","44","52","64","49","35","23","28","31","32","44","40","47","35","49","54","56","35","24","24","34","33","50","44","45","50","48","56","40","41","26","24","25","34","59","43","53","57","63","43","50","40","29","31","27","35","43","33","36","32","35","38","31","31","15","22","21","31","32","33","37","40","65","39","50","29","16","17","15","25","34","34","32","34","38","34","29","20","18","16","21","25","34","33","47","41",
"´ëÀü±¤¿ª½Ã","¿ùÆò±Õ","","48","39","52","41","52","40","26","27","28","40","71","57","39","63","59","52","67","43","28","25","28","42","40","43","51","45","46","49","53","37","27","19","28","33","44","38","58","47","54","48","53","40","28","28","29","30","39","46","56","51","50","45","59","39","31","23","27","29","39","43","52","68","68","40","49","40","31*","32*","27","50","37","49","48","46","59","64","49","38","27","29","32","36","51","47","51","46","54","58","63","43","32","24","37","36","51","49","56","56","52","60","47","38","26","22","22","31","63","51","66","62","68","40","46","30","23","25","22","29","43","40","41","38","40","41","32","34","16","20","21","33","37","38","39","42","63","41","56","31","16","18*","15","27","38","40","45","40","44","39","31","21","20","15","19","24","39","35","44","46",
"¿ï»ê±¤¿ª½Ã","¿ùÆò±Õ","","46","44","60","47","54","50","39","40","36","39","62","55","39","59","63","59","75","55","42","35","35","46","45","41","48","47","49","59","60","40","49","36","36","44","45","34","54","46","64","46","59","49","44","49","32","36","41","45","55","45","49","56","67","48","45","32","35","39","46","38","46","64","59","49","57","50","38","38*","28*","43*","31","39","43","42","50","61","57","41","32","32","35","37","48","40","42","39","51","55","64","44","41","27","36","29","46","38","40","47","40","64","45","42","39","25","26","31","47","35","45","46","49","40","49","34","29","30","25","27","34","33","30","31","34","36","36","32","20","28","25","30","31","30","34","35","55","37","35","28","17","20","16","22","32","29","29","29","39","34","34","21","21","23","24","25","35","31","37","35",
"¼¼Á¾Æ¯º°ÀÚÄ¡½Ã","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","47","59","60","47","39","30","38","39","39","53","49","53","46","57","58","64","44","36","28","40","39","50","47","53","51","46","55","45","36","27","24","23","31","58","55","70","64","71","40","50","34","23","27","23","32","45","46","47","43","47","44","34","37","17","20","20","35","40","44","45","47","67","42","61","31","20","21","16","29","44","43","47","43","46","40","31","22","24","18","21","28","45","40","49","54",
"¼ö¿ø","¿ùÆò±Õ","","59","48","62","52","63","55","32","33","29","45","78","66","48","81","71","62","76","50","34","33","36","50","44","49","61","53","54","54","59","43","31","25","34","39","50","47","69","51","63","59","61","47","37","40","34","35","49","59","65","63","62","63","68","44","41","31","32","37","48","46","53","79","70","45","47","37","29*","37","32*","56","41","54","52","49","69","76","59","49","33","40","43","44","61","55","61","52","70","63","69","43","37*","24","36","31","44","44","48","51","52","52","45","39","27","26","21","31","56","44","66","58","69","41","53","30","30","30","24","32","42","43","44","42","47","43","37","42","25","27","23","39","45","44","41","52","75","48","70","38","28","25","18","32","46","40","43","41","45","48","36","24","28","22","26","31","42","37","49","48",
