"구분","항목","단위","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월",
"대흥동","Ni","",".0017",".0049",".0085",".0264",".0108",".0019",".001",".0031",".0021",".0014",".0021",".0014",".0032",".0015",".0016",".0064",".0067",".0031",".0029",".0039",".0012",".0011",".0028",".0023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"성수동","Ni","",".0035",".0084",".0057",".0097",".0052",".0039",".003",".0053",".0049",".003",".0054",".0043",".0054",".002",".0016",".0073",".0059",".0043",".0037",".003",".0012",".0017",".0045",".0019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"마포구","Ni","","","","","","","","","","","","","","","","","","","","","","","","","",".0031",".0038",".002",".0023",".0047",".0032",".0025",".0059",".0029",".0038",".0006",".0017",".0025",".0028",".0056",".0075",".0027",".0071",".0026",".0037",".0058",".0026",".0029",".0023",".002",".0012",".0024",".0049",".0109",".0077",".0036","",".0023",".0017",".0038",".0018",".0023",".0024",".0017",".0036",".0023",".0017",".0029",".0028",".001",".0013",".0021",".0014",".0028",".0016",".0029",".0031",".0066",".0012",".0009","",".0006",".002",".0016",".0031",".0011",".0024",".0018",".0025",".002",".0016",".0016",".0017",".0009",".0004",".0014",".0022",".0032",".0017",".004",".0022",".0037",".0033",".0026",".0013",".0012",".0009",".0007",".0015",".0008",".0018",".0028",".0006",".0012",".0008",".0013",".0012",".0014",".0009",".003",".0016",".00234",".00176",
"광진구","Ni","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".001",".0018",".0005",".0016",".0017",".0024",".0009",".0018",".0011",".0031",".0016",".0016",".0012",".0012",".001",".0006",".0015",".0011",".0025",".0023",".0031",".0014",".0018",".003",".0019",".001",".0009",".001",".0005",".0013",".001",".0015",".0029",".0007",".0013",".0007",".0012",".0008",".0008",".0008",".0027",".0013",".00206",".00154",
"성동구","Ni","","","","","","","","","","","","","","","","","","","","","","","","","",".0021",".0028",".0023",".0022",".0037",".0027",".0024",".0048",".0028",".0025",".0005",".0015",".0017",".0034",".0053",".008",".0019",".0061",".0026",".0038",".0053",".0023",".0019",".0015",".0014",".0012",".0022",".004",".008",".0066",".0028",".0026",".0016",".0015",".0035",".002",".0015",".0027",".0013",".0032",".0023",".002",".0017",".0028",".0009",".0014",".0021",".0015",".0029",".0022",".0031",".0026",".0059",".0011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"구로구","Ni","",".0067",".0029",".0083",".0053",".0139",".0026",".0009",".0036",".0031",".0014",".0025",".0018",".0063",".0015",".0021",".0072",".0076",".0037",".0034",".0045",".0014",".0016",".0038",".0029",".0018",".0035",".0023",".0033",".0055",".0036",".0037",".0079",".0032",".0033",".0011",".0051",".0026",".0039",".0056",".008",".0033",".0076",".0039",".0048",".0067",".0032",".0018",".0024",".0025",".0016",".0035",".0053",".0098",".0085",".0042",".0035",".0025",".0016",".0046",".0023",".0026",".0033",".0024",".0043",".0024",".0018",".0023",".0031",".0013",".0023",".0028",".0018",".0039",".0028",".0042",".0039",".0072",".0021",".001",".0025",".0006",".0024",".0025",".0035",".0019",".0024",".0012",".0023",".002",".0021",".0018",".0017",".0012",".0008",".0023",".002",".0031",".0029",".0059",".0026",".0038",".0033",".0027",".0014",".0016",".0013",".001",".0021",".0015",".0026",".0036",".0008",".0015",".001",".0014",".0009",".001",".0012",".0034",".0017",".00316",".00222",
"송파구","Ni","","","","","","","","","","","","","","","","","","","","","","","","","",".0019",".0028",".0021",".003",".0037","",".0022",".0052",".0028",".0025",".0007",".0022",".0022",".0031",".0049",".0079",".0024",".0064",".002",".0036",".0054",".0024",".0014",".0016",".0014",".0013",".0021",".0043",".0075",".0067",".0026",".002",".0012",".0014",".0034",".0019",".0017",".0025",".0019",".0029",".0024",".0017",".0016",".0022",".001",".0015",".0027",".0017",".0032",".0024",".0029",".0026",".0061",".0016",".0013",".0013",".0007",".0015",".0012",".002","0.0013*",".0014",".001",".0023",".0019",".0016",".0024",".0016",".0009",".0006",".0016",".001",".0047",".0031",".0031",".0025",".0026",".0022",".0019",".0011",".001",".0011",".0006",".0015",".0013",".0017",".0033",".0006",".0014",".0008",".001",".0009",".0007",".0009",".0024",".0016",".00254",".00176",
"방이동","Ni","",".002",".003",".0067",".0077",".0016",".0038",".0028",".0054",".0057",".0032",".006",".0048",".0033",".0025",".002",".0108",".0077",".004",".0033",".0039",".0015",".002",".0033",".0017","","","","","",".0027","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"양재동","Ni","",".0028",".0013",".0039",".0022",".0014",".0018",".0008",".0024",".0019",".0013",".0016",".0015",".0032",".0011",".0012",".0059",".005",".0023",".0023",".0032",".0012",".0011",".0028",".0014",".0022",".0021",".0018",".0025",".0037",".0027",".0036",".0064",".0031",".0026",".001",".0023",".0029",".0029",".0046",".0072",".0021",".0064",".0027",".0038",".0074",".0035",".0017",".0027",".0017",".0014",".0025",".0042",".0079",".0069",".0027",".0024",".0018",".0015",".003",".0032",".0017",".0032",".0017",".0031",".0025",".0016",".0019",".0056",".0013",".0019",".003",".0015",".0036",".0025",".0033",".003",".0067",".0013",".001",".0015",".0008",".0016",".0016",".0023",".0016",".0015",".0015",".0023",".0018",".0015",".0015",".0017",".0012",".0005",".002",".0024",".0021",".0019",".0047",".0022",".0021",".003",".0023",".0013",".0011",".001",".0006",".0018",".0012",".0018",".0031",".0006",".0014",".0009",".0011",".0009",".0006",".0008",".003",".0018",".00314",".00184",
"학장동","Ni","",".0262",".0232",".04",".0335",".0349",".0204",".0253",".0317",".0032",".0149",".013",".0266",".0155",".0117",".0135",".0271",".0261",".0103",".0036",".0205",".0049",".0099",".0219",".0249",".0202",".0483",".0268",".0161",".0251",".0175",".0158",".0144",".0123",".0188",".0096",".023",".0188",".0048",".0113",".0088",".0218",".0302",".0241",".014",".0118",".0119",".0103",".0318",".0189",".0147",".0265",".0132",".0243",".0113",".0182",".0088",".008",".0129",".0332",".0083",".0113",".0084",".0202",".0099",".007",".0072",".0142",".0047",".0055",".0111",".0115",".0096",".0211",".0142",".0191",".0065",".0115",".0023",".0112",".0077",".0046",".014",".0115",".0375",".0135",".0183",".0114",".0073",".0175",".0131",".009",".0117",".0109",".0092",".0148",".0168",".0281",".0065",".0107",".0081",".0041",".0129",".0299",".0037",".01",".0158",".0155",".0273",".0262",".0117",".0445",".0228",".0162",".0105",".0237",".02",".0056",".0063",".0185",".0141",".0213",".00652",
