"구분","항목","단위","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월",
"마포구","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".393",".2643",".349",".6486",".9914",".2597",".1087","",".2099",".2391",".6313",".2914",".4259",".2571",".3496",".9195",".241",".1276",".0899",".0996",".0916",".1063",".263",".2815",".298",".1587",".2425",".1942",".3505",".1536",".062","",".0453",".3181",".3111",".1597",".1197",".1992",".236",".4884",".5247",".31",".111",".0503",".0608",".0884",".2471",".1809",".422",".1182",".2927",".3124",".3117",".207",".1276",".0938",".0776",".1649",".1161",".1719",".1977",".1516",".3052",".1453",".249",".0894",".0604",".0551",".0997",".1115",".2047",".172",".28018",".16624",
"광진구","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0762",".1427",".0416",".3165",".2099",".1642",".0824",".2818",".1855",".4736",".4618",".3408",".1018",".0517",".0598",".1633",".2812",".2422",".4187",".2103",".2948",".3351",".2844",".2387",".1206",".0917",".0805",".1722",".0757",".1398",".2089",".1714",".3155",".1728",".2876",".0867",".0588",".0509",".0792",".1092",".1925",".2019",".32716",".16158",
"성동구","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1821",".2195",".3014",".5261","1.093",".2081",".0939",".0881",".1579",".3031",".7705",".4166",".2626",".48",".2986",".8394",".2361",".1787",".097",".0914",".1043",".1519",".2908",".4562",".4671",".2627",".3836",".2957",".6401",".2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"구로구","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".3706",".2325",".3411",".695",".9213",".2577",".1069",".1108",".1788",".2352",".666",".2845",".3458",".2256",".1991",".7983",".2569",".1012",".0631",".0931",".1119",".1126",".238",".2781",".3997",".1736",".2617",".1843",".4099",".1322",".0642",".0931",".0461",".3263",".3436",".1558",".1269",".2136",".1691",".3943",".5587",".3658",".0912",".0509",".0691",".1463",".2995",".1747",".3857",".126",".3235",".2533",".2857",".1999",".1225",".1041",".0973",".2005",".1051",".1799",".2033",".171",".3355",".1682",".2703",".1031",".0598",".0476",".1083",".1364",".225",".1941",".30896",".20562",
"송파구","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1872",".2457",".3374",".4383","1.0097",".1919",".1125",".1235","",".3692",".8662",".4725",".2089",".6224",".1913",".8672",".2277",".1825",".0837",".0735",".142",".2044",".5094",".4849",".5631",".2978",".4335",".343",".7331",".2601",".1732",".0877",".0532",".3035",".2199",".1533","0.2196*",".1279",".1654",".5184",".4725",".3259",".1387",".0495",".0544",".1526",".297",".2036",".331",".1219",".2825",".2962",".3326",".1923",".1282",".1149",".076",".2313",".0971",".1724",".2156",".2012",".3375",".1779",".264",".109",".0651",".0528",".0907",".1116",".271",".2016",".3029",".17104",
"양재동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".2023",".245",".3919",".6141",".8927",".2941",".089",".0963",".1477",".334",".6298",".2799",".2113",".4677",".3919",".7211",".4174",".1054",".1037",".1414",".1334",".1702",".4011",".4809",".6414",".2812",".4351",".3572",".6814",".2088",".1177",".1114",".0468",".2706",".2357",".176",".1559",".2152",".2049",".5267",".4998",".2931",".1064",".0669",".0832",".1015",".2813",".2083",".4053",".1297",".3121",".3311",".2379",".1852",".1257",".1154",".0899",".157",".0887",".2023",".2622",".2182",".3363",".19",".2371",".1189",".0638",".0574",".0987",".1134",".2197",".2862",".38498",".21354",
"학장동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1786",".2305",".2947",".434",".3596",".2268",".2679",".3395",".1016",".0946",".3105",".1424",".1046",".3037",".1344",".364",".1339",".0474",".1351",".0634",".0889",".1549",".1298",".2648",".4306",".2605",".2083",".1146",".2916",".0418",".1681",".08",".0631",".2741",".2916",".4849",".1611",".2577",".316",".3704",".5361",".2421",".1153",".1353",".1285",".2657",".2163",".2208",".4364",".2423",".2858",".2431",".1858",".2723",".0735",".1464",".1118",".1687",".1938",".1949",".3011",".2525",".4423",".1666",".2052",".0651",".1199",".2377",".0687",".1853",".2672",".2825",".34506",".17816",
"덕천동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1",".1285",".1757",".3632",".278",".1407",".2171",".1848",".0526",".045",".2275",".1478",".083",".4347",".1438",".3657",".1386",".0312","","",".0724",".0978","","","","","",".0348",".2327",".0324",".1332",".0337",".0573",".4197",".2327",".2219",".1108",".1122",".1896",".247",".3942",".193",".0302",".051",".0759",".1127",".1072",".1354",".3468",".2087",".2062",".2022",".1893",".2078",".0264",".019",".0441",".0996",".1161",".1069",".2395",".1804",".3871",".1274",".1881",".0482",".0727",".0926",".0462",".1025",".2675",".3273",".27548",".10042",
"전포동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0936",".161",".2097",".3751",".314",".1403",".1693",".2142",".0868",".0594",".2183",".1618",".1176",".3991",".1552",".4323",".1303",".0628",".1399",".0838",".0813",".1029",".0862",".1967",".3431",".169",".1727",".1092",".2506","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"연산동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0962",".1462",".2102",".3877",".3123",".1673",".2155",".2175",".0964",".0577",".2671",".1526","","","",".4483",".3305","",".1041",".1099",".0849",".1297",".104",".2221",".3613",".1816",".1963",".0972",".2504",".0453",".1602",".0603",".0351",".2163",".2504",".3843",".1272",".1768",".3324",".3552",".465",".2272",".0916",".0735",".1182",".1868",".2415",".2228",".4376",".2578",".2545",".2499",".1641",".1816",".0491",".0383",".0414",".1335",".1602",".1424",".2596",".2202",".2412",".1535",".1864",".0538",".076",".115",".073",".1592",".3371",".2804",".41234",".12734",
