"±¸ºÐ","Ç×¸ñ","´ÜÀ§","2010.01 ¿ù","2010.02 ¿ù","2010.03 ¿ù","2010.04 ¿ù","2010.05 ¿ù","2010.06 ¿ù","2010.07 ¿ù","2010.08 ¿ù","2010.09 ¿ù","2010.10 ¿ù","2010.11 ¿ù","2010.12 ¿ù","2011.01 ¿ù","2011.02 ¿ù","2011.03 ¿ù","2011.04 ¿ù","2011.05 ¿ù","2011.06 ¿ù","2011.07 ¿ù","2011.08 ¿ù","2011.09 ¿ù","2011.10 ¿ù","2011.11 ¿ù","2011.12 ¿ù","2012.01 ¿ù","2012.02 ¿ù","2012.03 ¿ù","2012.04 ¿ù","2012.05 ¿ù","2012.06 ¿ù","2012.07 ¿ù","2012.08 ¿ù","2012.09 ¿ù","2012.10 ¿ù","2012.11 ¿ù","2012.12 ¿ù","2013.01 ¿ù","2013.02 ¿ù","2013.03 ¿ù","2013.04 ¿ù","2013.05 ¿ù","2013.06 ¿ù","2013.07 ¿ù","2013.08 ¿ù","2013.09 ¿ù","2013.10 ¿ù","2013.11 ¿ù","2013.12 ¿ù","2014.01 ¿ù","2014.02 ¿ù","2014.03 ¿ù","2014.04 ¿ù","2014.05 ¿ù","2014.06 ¿ù","2014.07 ¿ù","2014.08 ¿ù","2014.09 ¿ù","2014.10 ¿ù","2014.11 ¿ù","2014.12 ¿ù","2015.01 ¿ù","2015.02 ¿ù","2015.03 ¿ù","2015.04 ¿ù","2015.05 ¿ù","2015.06 ¿ù","2015.07 ¿ù","2015.08 ¿ù","2015.09 ¿ù","2015.10 ¿ù","2015.11 ¿ù","2015.12 ¿ù","2016.01 ¿ù","2016.02 ¿ù","2016.03 ¿ù","2016.04 ¿ù","2016.05 ¿ù","2016.06 ¿ù","2016.07 ¿ù","2016.08 ¿ù","2016.09 ¿ù","2016.10 ¿ù","2016.11 ¿ù","2016.12 ¿ù","2017.01 ¿ù","2017.02 ¿ù","2017.03 ¿ù","2017.04 ¿ù","2017.05 ¿ù","2017.06 ¿ù","2017.07 ¿ù","2017.08 ¿ù","2017.09 ¿ù","2017.10 ¿ù","2017.11 ¿ù","2017.12 ¿ù","2018.01 ¿ù","2018.02 ¿ù","2018.03 ¿ù","2018.04 ¿ù","2018.05 ¿ù","2018.06 ¿ù","2018.07 ¿ù","2018.08 ¿ù","2018.09 ¿ù","2018.10 ¿ù","2018.11 ¿ù","2018.12 ¿ù","2019.01 ¿ù","2019.02 ¿ù","2019.03 ¿ù","2019.04 ¿ù","2019.05 ¿ù","2019.06 ¿ù","2019.07 ¿ù","2019.08 ¿ù","2019.09 ¿ù","2019.10 ¿ù","2019.11 ¿ù","2019.12 ¿ù","2020.01 ¿ù","2020.02 ¿ù","2020.03 ¿ù","2020.04 ¿ù","2020.05 ¿ù","2020.06 ¿ù","2020.07 ¿ù","2020.08 ¿ù","2020.09 ¿ù","2020.10 ¿ù","2020.11 ¿ù","2020.12 ¿ù","2021.01 ¿ù","2021.02 ¿ù","2021.03 ¿ù","2021.04 ¿ù","2021.05 ¿ù","2021.06 ¿ù","2021.07 ¿ù","2021.08 ¿ù","2021.09 ¿ù","2021.10 ¿ù","2021.11 ¿ù","2021.12 ¿ù","2022.01 ¿ù","2022.02 ¿ù","2022.03 ¿ù","2022.04 ¿ù","2022.05 ¿ù","2022.06 ¿ù","2022.07 ¿ù","2022.08 ¿ù","2022.09 ¿ù","2022.10 ¿ù","2022.11 ¿ù","2022.12 ¿ù","2023.01 ¿ù","2023.02 ¿ù",
"¼­¿ïÆ¯º°½Ã","¿ùÆò±Õ","",".011",".016",".024",".026",".03",".033",".023",".018",".015",".014",".013",".01",".013",".012",".026",".028",".028",".031",".017",".018",".021",".014",".012",".01",".011",".015",".025",".026",".034",".036",".021",".024",".021",".017",".012",".011",".012",".018",".023",".031",".034",".033",".024",".027",".023",".017",".012",".009",".009",".016",".025",".028",".041",".037",".033",".025",".023",".017",".012",".012",".011",".016",".022",".028",".033",".038",".027",".029",".025",".019",".012",".009",".014",".018",".025",".031",".039",".037",".025",".03",".027",".018",".014",".009",".035",".018",".038",".035",".039",".041",".03",".024",".027",".02",".014",".011",".014",".018",".026",".031",".034",".035",".024",".03",".027",".018",".011",".012",".012",".018",".028",".029",".043",".039",".031",".03",".024",".021",".013",".011",".014",".018",".027",".036",".034",".044",".031",".019",".028",".022",".015",".014",".015",".022",".025",".037",".036",".041",".038",".034",".031",".022",".018",".014",".016",".026",".028",".043",".049",".036",".037",".03",".031",".023",".018",".015",".0158",".022",
"ºÎ»ê±¤¿ª½Ã","¿ùÆò±Õ","",".021",".024",".031",".033",".036",".035",".022",".02",".024",".029",".02",".018",".023",".024",".032",".038",".033",".031",".02",".025",".028",".027",".02",".019",".022",".022",".033",".038",".041",".034",".026",".027",".032",".028",".022",".018",".022",".025",".034",".04",".04",".032",".024",".029",".028",".028",".023",".02",".021",".027",".033",".037",".043",".036",".029",".027",".03",".028",".02",".02",".02",".026",".032",".036",".038",".036",".028",".033",".031",".028",".02",".018",".022",".027",".031",".038",".045",".036",".025",".036",".03",".025",".02",".018",".024",".031",".022",".042",".044",".041",".028",".027",".033",".03",".023",".02",".021",".027",".034",".039",".039",".038",".026",".025",".031",".028",".02",".019",".023",".029",".039",".037",".048",".038",".028",".03",".028",".029",".023",".018",".023",".027",".034",".044",".041",".04",".028",".026",".035",".033",".023",".022",".025",".031",".036",".043",".041",".041",".028",".034",".036",".031",".027",".021",".024",".035",".037",".041",".05",".034",".031",".03",".034",".032",".027",".022",".0236",".028",
"´ë±¸±¤¿ª½Ã","¿ùÆò±Õ","",".014",".018",".025",".03",".034",".039",".022",".022",".018",".016",".013",".013",".019",".017",".029",".039",".038",".041",".021",".021",".026",".018",".015",".014",".016",".02",".032",".038",".04",".037",".028",".026",".025",".018",".015",".013",".015",".019",".029",".036",".042",".038",".026",".028",".024",".019",".014",".013",".014",".021",".028",".036",".046",".041",".032",".025",".026",".018",".012",".014",".013",".019",".027",".034",".044",".042",".03",".031",".025",".023",".014",".011",".015",".022",".028",".035",".042",".037",".028",".033",".025",".018","0.013*",".012",".028",".024",".024",".04",".044",".047",".031",".028","0.029*","0.020*",".016",".015",".017",".023",".03",".038",".041",".043",".03",".026",".025",".02",".012",".013",".017",".024",".036",".036",".048",".044",".03",".03",".025",".022",".017",".014",".018",".023",".03",".04",".04",".045",".027",".023",".028",".026",".017",".017",".02",".025",".032",".043",".04",".045",".031",".031",".029",".024",".019",".017",".021",".032",".036",".044",".055",".041",".035",".028",".029",".027",".02",".018",".0193",".0245",
"ÀÎÃµ±¤¿ª½Ã","¿ùÆò±Õ","",".014",".018",".025",".027",".029",".032",".021",".019",".018",".018",".016",".013",".017",".016",".027",".028",".028",".031",".019",".02",".025",".02",".014",".013",".016",".02",".027",".03",".036",".035",".021",".026",".026",".022",".015",".014",".015",".02",".026",".034",".037",".034",".026",".03",".026",".021",".016",".014",".014",".021",".03",".034",".043",".035",".033",".026",".025",".019",".016",".014",".015",".02",".024",".029",".036",".039",".029",".031",".028",".024",".014",".012",".017",".021",".026",".031",".041",".037",".025",".029",".029",".02",".017",".013",".027",".023",".03",".035",".038",".037",".028",".025",".03",".024",".017",".014",".017",".022",".027",".032",".034",".034",".021",".031",".029",".022",".016",".016",".017",".023",".033",".033",".046",".041",".032",".037",".026",".024",".017",".015",".02",".023",".032",".041",".039",".044",".034",".021",".032",".028",".02",".019",".018",".026",".03",".04",".042",".044",".041",".036",".032",".026",".022",".017",".02",".029",".03",".041",".048",".036",".038",".032",".035",".027",".022",".019",".0194",".0266",
"±¤ÁÖ±¤¿ª½Ã","¿ùÆò±Õ","",".017",".019",".026",".031",".039",".037",".024",".022",".022",".022",".015",".016",".02",".02",".03",".038",".038",".038",".022",".024",".025",".021",".016",".015",".017",".022",".032",".038",".042",".037",".025",".024",".029",".024",".019",".018",".02",".024",".033",".041",".043",".041",".028",".031",".031",".023",".018",".016",".017",".024",".031",".04",".048",".043",".032",".027",".021",".023",".018",".017",".017",".026",".031",".035",".044",".042",".032",".028","0.031*",".028",".014",".014",".02",".029",".033",".039",".046",".039",".03",".037",".03",".019",".018",".016",".023",".029",".025",".041",".042",".044",".031",".03",".033",".024",".017",".017",".02",".026",".033",".036",".039",".041",".022",".027",".029",".024",".015",".018",".021",".028",".036",".036",".048",".039",".029",".031",".027",".025",".021",".019",".022",".027",".033",".043",".041",".04",".028",".021",".029",".028",".021",".018",".021",".028",".036",".045",".047",".048",".033",".03",".035",".031",".024",".022",".025",".036",".037",".042",".05",".04",".036",".029",".031",".03",".024",".021",".0233",".028",
"´ëÀü±¤¿ª½Ã","¿ùÆò±Õ","",".011",".015",".023",".027",".037",".037",".024",".022",".018",".016",".015",".012",".014",".016",".03",".034",".031",".034",".018",".022",".021",".016",".014",".012",".013",".018",".029",".034",".042",".036",".027",".023",".025",".018",".015",".011",".013",".02",".028",".035",".039",".038",".026",".027",".023",".018",".013",".011",".011",".019",".027",".034",".05",".041",".033",".026",".026",".019",".012",".012",".011",".021",".027",".029",".04",".041",".031",".03",".026",".021",".011",".009",".014",".02",".025",".038",".048",".047",".032",".039",".03",".02",".012",".012",".024",".023",".021",".043",".047",".05",".03",".025",".03",".021",".017",".015",".016",".023",".032",".039",".045",".046",".028",".031",".027",".018",".011",".011",".013",".016",".028",".03",".045",".038",".028",".029",".025",".02",".016",".013",".015",".019",".029",".038",".037",".048",".03",".022",".032",".025",".017",".015",".016",".027",".029",".04",".04",".043",".031",".033",".033",".024",".021",".018",".019",".03",".032",".042",".05",".041",".035",".027",".028",".023",".018",".015",".0172",".0235",
"¿ï»ê±¤¿ª½Ã","¿ùÆò±Õ","",".018",".021",".026",".028",".032",".028",".02",".021",".022",".025",".017",".017",".021",".022",".03",".033",".033",".032",".02",".022",".026",".024",".017",".018",".02",".021",".03",".035",".039",".031",".026",".024",".029",".024",".021",".018",".022",".025",".032",".038",".038",".03",".027",".033",".027",".026",".021",".018",".02",".025",".031",".036",".042",".035",".029",".027",".027",".025",".018",".018",".019",".024",".029",".034",".04",".035",".027",".034",".029",".026",".019",".016",".02",".026",".028",".035",".041",".034",".025",".033",".027",".023",".019",".018",".024",".028",".025",".042",".041",".039",".031",".027",".032",".028",".022",".021",".023",".03",".033",".036",".035",".033",".028",".023",".031",".027",".021",".021",".025",".03",".039",".037",".047",".038",".028",".029",".027",".029",".023",".02",".025",".028",".035",".043",".041",".039",".028",".026",".034",".034",".024",".025",".026",".034",".037",".042",".041",".04",".027",".032",".033",".032",".028",".024",".027",".036",".039",".043",".051",".035",".03",".031",".034",".032",".029",".025",".027",".0308",
"¼¼Á¾Æ¯º°ÀÚÄ¡½Ã","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".018",".025",".03",".039",".047",".043",".029",".037",".027",".018",".014",".012",".027",".025",".024",".042",".047",".052",".033",".027",".027",".02",".017",".014",".015",".022",".032",".04",".043",".046",".029",".031",".027",".019",".011",".012",".014",".02",".034",".036",".051",".044",".031",".031",".025",".021",".016",".013",".016",".021",".032",".042",".044",".05",".032",".023",".032",".024",".019",".016",".018",".03",".034",".045",".042",".047",".034",".033",".031",".024",".021",".017",".02",".032",".036",".047",".054",".044",".035",".026",".029",".023",".018",".016",".018",".0229",
"¼ö¿ø","¿ùÆò±Õ","",".009",".014",".021",".025",".032",".033",".024",".019",".017",".015",".014",".01",".011",".013",".026",".029",".03",".035",".02",".02",".022",".014",".012",".01",".011",".014",".024",".03",".036",".037",".023",".026",".021",".017",".012",".009",".01",".015",".022",".033",".036",".035",".027",".027",".022",".017",".011",".009",".008",".013",".024",".028",".041",".038",".035",".026",".023",".017",".011",".01",".01",".016",".022",".028",".036",".041",".03",".031",".028",".017",".011",".008",".011",".016",".023",".031",".039",".04",".026",".032",".025",".015",".012",".008",".041",".016",".042",".031",".036",".038","0.028*",".023",".025",".018",".014",".01",".012",".017",".026",".031",".037",".037",".028",".031",".025",".017",".01",".01",".01",".015",".025",".03",".049",".044",".033",".036",".024",".019",".012",".008",".011",".016",".024",".038",".039",".047",".033",".022",".031",".022",".015",".013",".014",".022",".027",".039",".041",".044",".039",".035",".032",".022",".018",".013",".014",".025",".028",".044",".05",".037",".037",".029",".03",".022",".016",".013",".0156",".0198",
"¾È¾ç","¿ùÆò±Õ","",".01",".013",".019",".022",".028",".028",".023",".017",".015",".014",".014",".01",".012",".013",".022",".025",".026",".03",".02",".02",".022",".013",".012",".011",".011",".015",".026",".029",".035",".04",".027",".028",".021",".018",".012",".01",".012",".016",".022",".031",".036",".035",".031",".029",".02",".016",".012",".009",".01",".015",".025",".031",".042",".035",".032",".024",".021",".017",".013",".011",".011",".016",".02",".026",".033",".038","0.028**",".026",".021",".017",".011",".008",".012",".017",".024",".03",".039",".038",".03",".035",".027",".016",".013",".008",".03",".017",".036",".034",".04",".041",".032",".024",".024",".017",".013",".01",".012",".017",".027",".03",".035",".036",".025",".029",".024",".014",".009",".01",".01",".015",".024",".026",".043",".039",".034",".034",".022",".019",".012",".01",".012",".019",".028",".038",".038",".049",".035",".022",".028",".021",".015",".013",".014",".022",".025",".037",".036",".041",".038",".033",".03",".021",".017",".013",".015",".025",".027",".042",".048",".04",".038",".031",".031",".023",".017",".014",".0147",".0194",
