"구분","항목","단위","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월",
"대흥동","Cd","",".0037",".0031",".0017",".0019",".0019",".004",".0007",".0008",".0007",".0005",".0013",".0006",".0016",".0023",".0008",".0014",".0015",".0005",".0008",".0006",".0007",".0005",".0007",".001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"성수동","Cd","",".0034",".0006",".0012",".0052",".0066",".0027",".0025",".0019",".0025",".0013",".0021",".004",".0023",".0008",".0008",".0018",".0016",".0006",".0011",".0008",".0008",".0007",".0014",".0014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"마포구","Cd","","","","","","","","","","","","","","","","","","","","","","","","","",".0012",".0014",".0006",".0011",".001",".0007",".0004",".0009",".0004",".0007",".0003",".0011",".0015",".0008",".0009",".0012",".0007",".001",".0005",".0008",".0013",".0015",".001",".001",".0009",".0007",".0006",".0008",".0013",".0007",".0008","",".0006",".0006",".0008",".0008",".0009",".0013",".001",".0007",".0004",".0003",".0002",".0002",".0001",".0005",".001",".0012",".0016",".0013",".0008",".0011",".0012",".001",".0002","",".0001",".0007",".0004",".0012",".0007",".0012",".0005",".001",".0003",".0005",".0005",".0001",".0004",".0004",".0001",".0005",".001",".0008",".0011",".0006",".0008",".0008",".0002",".0002",".0003",".0003",".0001",".0006",".0006",".0007",".0006",".0001",".0003",".0001",".0003",".0002",".0002",".0006",".0006",".0006",".0012",".00094",
"광진구","Cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0002",".0005",".0001",".0006",".0004",".0013",".0007",".0011",".0008",".0009",".0003",".0008",".0003","N.D.",".0003",".0004",".0003",".0007",".0012",".0008",".0009",".0004",".0006",".0005",".0002",".0001",".0002",".0003",".0001",".0005",".0005",".0007",".0006",".0001",".0003",".0001",".0001",".0002",".0002",".0003",".0007",".0006",".00086",".00084",
"성동구","Cd","","","","","","","","","","","","","","","","","","","","","","","","","",".0015",".0012",".0007",".0011",".0006",".0006",".0004",".0008",".0004",".0009",".0004",".0011",".0016",".001",".0008",".0011",".0006",".001",".0005",".0005",".0014",".0015",".0009",".0012",".0009",".0008",".0006",".0007",".0011",".0006",".0007",".0004",".0005",".0006",".0009",".0012",".0005",".0011",".0009",".0008",".0004",".0003",".0005",".0003",".0002",".0005",".001",".001",".0014",".0014",".0007",".0006",".0008",".0006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"구로구","Cd","",".0038",".003",".0018",".0015",".0014",".0029",".0007",".0007",".0007",".0006",".0013",".0011",".002",".0025",".001",".0021",".0015",".0006",".001",".0007",".0008",".0007",".0009",".0011",".001",".0014",".0007",".0012",".0019",".0008",".0006",".0016",".0005",".0008",".0004",".0013",".0014",".001",".0008",".0013",".0008",".0012",".0005",".0006",".0013",".0015",".0007",".001",".0009",".0007",".0006",".001",".0012",".0009",".001",".0005",".0005",".0006",".0008",".0008",".0004",".0012",".0009",".0014",".0005",".0003",".0003",".0003",".0002",".0005",".001",".001",".0015",".0014",".0006",".0009",".001",".0014",".0002",".0005",".0001",".0006",".0005",".0011",".0007",".001",".0009",".0008",".0002",".0006",".0004",".0001",".0004",".0004",".0002",".0005",".0009",".0011",".0014",".0006",".0011",".0011",".0003",".0001",".0003",".0003",".0001",".0006",".0007",".0007",".0006",".0001",".0004",".0002",".0006",".0002",".0002",".0004",".0008",".0007",".00108",".00096",
"송파구","Cd","","","","","","","","","","","","","","","","","","","","","","","","","",".0014",".0015",".0007",".0013",".0008","",".0004",".0009",".0005",".0009",".0007",".0019",".0019",".0014",".001",".0011",".0006",".0011",".0005",".0006",".0014",".0019",".0009",".0017",".0011",".001",".0007",".0007",".0011",".0006",".0015",".0004",".0005",".0008",".0009",".0011",".0006",".0014",".0009",".0008",".0004",".0003",".0004",".0002",".0003",".0006",".0009",".001",".0015",".0012",".0006",".0005",".0009",".0006",".0002",".0003",".0001",".0006",".0004",".0012","0.0005*",".0011",".0008",".0009",".0002",".0006",".0004",".0003",".0003",".0003",".0001",".0005",".001",".0006",".0007",".0005",".0007",".0005",".0002",".0001",".0002",".0004",".0001",".0005",".0005",".0007",".0006",".0001",".0003",".0001",".0001",".0002",".0002",".0003",".0005",".0007",".00088",".00086",
"방이동","Cd","",".0037",".0007",".0025",".0046",".0044",".0026",".0023",".0019",".0022",".0023",".003",".0043",".0037",".0017",".0014",".0028",".0025",".0011",".0012",".0012",".0008",".0011",".0016",".0022","","","","","",".0006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"양재동","Cd","",".0029",".0012",".0012",".0017",".0016",".0039",".0008",".0006",".0007",".0005",".0007",".001",".0015",".001",".0009",".0017",".0011",".0004",".0007",".0005",".0007",".0004",".0008",".001",".002",".0012",".0006",".001",".0007",".0006",".0006",".0009",".0005",".0007",".0005",".0018",".0016",".0012",".0008",".001",".0007",".0011",".0007",".0006",".0013",".0015",".0007",".0011",".0009",".0007",".0006",".0006",".0011",".0008",".0007",".0005",".0004",".0006",".0007",".0008",".0007",".0011",".0008",".0008",".0004",".0002",".0004",".0002",".0002",".0005",".0009",".0011",".0015",".0013",".0006",".0006",".0009",".0006",".0002",".0003",".0001",".0006",".0005",".0012",".0009",".001",".001",".0009",".0002",".0006",".0004","N.D.",".0003",".0004",".0002",".0005",".001",".0007",".001",".0005",".0006",".0004",".0002",".0001",".0002",".0003",".0001",".0005",".0007",".0008",".0015",".0001",".0003",".0001",".0002",".0002",".0002",".0003",".0006",".0007",".0011",".00096",
"학장동","Cd","",".0011",".001",".0011",".0012",".0015",".001",".0005",".0007",".0001",".0001",".0004","N.D.",".0032","N.D.","N.D.",".0002",".0002",".0002","N.D.",".0004",".0017",".0014",".001",".0011",".0013","N.D.","N.D.",".001",".001","N.D.",".0039",".001",".0003",".0012",".0009",".0019",".001",".0006",".0012",".001",".0012",".0016",".0011",".0011",".001",".0009",".0008",".0015",".0009",".0007",".0006",".0008",".0006",".0015",".0004",".0006",".0004",".0003",".0005",".0002",".0001",".0002",".0005",".0002",".0002",".0015",".0001",".0009",".0008",".002",".0011",".0005",".001",".0009",".0014",".0003",".0014","N.D.",".0005",".0007",".0006",".0006",".0014",".0008",".0003",".0008",".0008",".0009",".0004","N.D.",".0005","N.D.",".001",".0007",".0008",".0006",".0008",".0007",".0006",".0003",".0007",".0011",".0001",".0001",".0006",".0001",".0001",".0004",".0004",".0007",".0006",".0001",".0008",".0009",".0006",".0002",".0009",".0005",".0007",".0003",".00032",".00034",
