"구분","항목","단위","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월",
"대흥동","Cr","",".002",".0057",".0063",".0028",".0042",".0025",".0025",".0021",".0022",".0018",".0025",".0018",".0039",".0014",".0024",".0038",".0057",".0029",".0026",".0027",".0023",".0022",".0036",".0028","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"성수동","Cr","",".005",".0022",".0063",".0065",".0095",".0081",".0089",".0082",".0073",".0047",".0076",".0051",".0041",".0034",".0035",".0054",".0077",".0054",".0044",".0022",".0026",".0031",".0055",".0026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"마포구","Cr","","","","","","","","","","","","","","","","","","","","","","","","","",".0048",".0035",".0018",".0025",".003",".003",".0023",".0037",".002",".0037",".0017",".0028",".0027",".0026",".0027",".0038",".0034",".0045",".0022",".0028",".0041",".0045",".0027",".0037",".0029",".0025",".0024",".004",".0066",".0041",".0037","",".0021",".0025",".0051",".0015",".0024",".0017",".0012",".003",".0015",".0012",".0029",".0013",".0013",".0022",".0029",".0018",".0036",".0026",".0022",".0029",".0048",".0024",".0008","",".0012",".004",".0033",".0032",".0022",".0038",".0019",".003",".0025",".0025",".0019",".0021",".0015",".0013",".0045",".0052",".0058",".002",".0052",".0042",".0073",".0051",".003",".0018",".0021",".0014",".0016",".0031",".0019",".0025",".0036",".0004",".0023",".0009",".0015",".0019",".0017",".0023",".0044",".0032",".00392",".00242",
"광진구","Cr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0009",".0025",".001",".0034",".0032",".0032",".0029",".004",".0018",".0038",".002",".0027",".0017",".0014",".0012",".0012",".0046",".0032",".0043",".0032",".0048",".0038",".0036",".0052",".0026",".0014",".0016",".0018",".0012",".0026",".0019",".0025",".004",".0013",".0023",".0007",".0029",".0012",".0012",".0018",".004",".0027",".0035",".00242",
"성동구","Cr","","","","","","","","","","","","","","","","","","","","","","","","","",".0031",".0029",".003",".0027",".0025",".0027",".0023",".0032",".0021",".0035",".0012",".0021",".0023",".0024",".0024",".005",".0022",".0042",".002",".0034",".0037",".0039",".0023",".0024",".0016",".0023",".0019",".0031",".005",".0036",".0033",".0018",".0017",".0026",".0038",".0025",".0012",".0026",".001",".0025",".002",".0016",".002",".002",".0013",".0022",".003",".0022",".0042",".0038",".0028",".0028",".0057",".0024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"구로구","Cr","",".0033",".0067",".0067",".0031",".0044",".0033",".0026",".0022",".0029",".0023",".0035",".003",".0087",".0032",".0028",".004",".0059",".0036",".0028",".003",".0032",".0034",".0046",".0049",".0026",".0041",".0034",".0037",".0033",".0035",".0035",".0055",".0026",".0066",".0032",".0074",".0042",".0036",".0041",".0037",".0043",".0048",".0022",".004",".0051",".0066",".0029",".0042",".0045",".0047",".0033",".0044",".0053",".0037",".0033",".0027",".0027",".0034",".0047",".0027",".0027",".0023",".0014",".0036",".0017",".0011",".0019",".0016",".0017",".0031",".0052",".0028",".0054",".0042",".0025",".0027",".0047",".003",".001",".002",".0012",".0051",".0044",".0032",".0032",".0043",".002",".0027",".0023",".0035",".0023",".0017",".002",".0019",".006",".0049",".0055",".0039",".0088",".0052",".0066",".0054",".0033",".0019",".0023",".0022",".0025",".0063",".0032",".0037",".0049",".0007",".0033",".0015",".0016",".0018",".0018",".0036",".006",".0037",".00492",".0042",
"송파구","Cr","","","","","","","","","","","","","","","","","","","","","","","","","",".0027",".0029",".0025",".0031",".0025","",".0019",".0031",".0026",".004",".0014",".0034",".003",".0029",".0027",".0039",".0024",".0042",".002",".0031",".0037",".0044",".002",".0027",".0036",".0026",".0021",".0028",".0052",".0035",".0029",".002",".0016",".0029",".0037",".002",".0012",".0024",".0007",".0028",".003",".0011",".0017",".0013",".0011",".0024",".0047",".0027",".005",".0044",".0029",".0032",".0061",".0029",".0019",".0018",".0015",".0038",".0027",".0032","0.0027*",".0029",".0017",".003",".0027",".0028",".0041",".0013",".0014",".0018",".0053",".0034",".0096",".0057",".0047",".0055",".0052",".0037",".0025",".0018",".0019",".0021",".0017",".0038",".0026",".0031",".0047",".0007",".0029",".0012",".0013",".0013",".0015",".0027",".0037",".0034",".0046",".00308",
"방이동","Cr","",".0043",".0016",".0064",".0073",".0139",".008",".0086",".0079",".0076",".0049",".0068",".0049",".0038",".005",".0056",".0084",".0087",".0042",".003",".0031",".0026",".004",".0046",".0027","","","","","",".0028","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"양재동","Cr","",".003",".0033",".0032",".0029",".0032",".0025",".0027",".0023",".0025",".002",".0017",".0015",".0049",".0024",".0023",".0036",".0046",".0022",".0018",".0021",".0026",".0027",".0034",".002",".0032",".0019",".0017",".0027",".0027",".0025",".0029",".0046",".0022",".0044",".0022",".0038",".0029",".0026",".0025",".0035",".0027",".0048",".0026",".0031",".0047",".0059",".0028",".0039",".0023",".0028",".0025",".0033",".0047",".0036",".0021",".0022",".0022",".0036",".0032",".003",".0014",".0028",".0014",".0025",".0019",".0009",".0019",".0019",".0021",".0029",".0046",".0026",".0056",".0042",".0028",".0029",".0056",".0023",".0012",".0019",".0013",".0034",".0031",".0029",".0027",".0031",".0021",".0025",".0022",".0023",".0019",".0017",".0024",".0018",".0047",".006",".0037",".0027",".0068",".0049",".0034",".0051",".0023",".0017",".0017",".0018",".0013",".0038",".0027",".0029",".0041",".0004",".0024",".0011",".0012",".0012",".0011",".0019",".0043",".0031",".00466",".00298",
"학장동","Cr","",".034",".0235",".0382",".0369",".0368",".0208",".0299",".0342",".0045",".0174",".0201",".027",".0188",".0189",".0179",".0349",".0295",".0123",".0069",".0232",".006",".0173",".0327",".0258",".0266",".0439",".0324",".0195",".0224",".0189",".0235",".0178",".018",".0217",".0168",".0268",".0194",".0054",".0167",".0132",".0201",".0248",".0198",".0148",".0137",".0143",".015",".0343",".0249",".0154",".0235",".0153",".022",".0111",".0204",".0115",".0103",".013",".0305",".0104",".0128",".0088",".0188",".0123",".008",".0145",".0184",".0052",".0092",".013",".0168",".0127",".0277",".0177",".0208",".0104",".0136",".0066",".0199",".0143",".011",".0149",".0136",".0385",".0154",".0211",".0146",".0135",".0199",".0114",".0112",".014",".0134",".0128",".0161",".0218",".0328",".0096",".0141",".0086",".0072",".0141",".024",".0074",".0096",".0156",".0192",".0276",".026",".0148",".0423",".0221",".0178",".0111",".0235",".0204",".0057",".0117",".0236",".0189",".0223",".01088",
